utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 19:00:00,0,24,0,1576,8698,11142,2908,9123
2018-09-20 01:00:00,2018-09-19 20:00:00,0,0,0,1618,8694,10748,2462,9087
2018-09-20 02:00:00,2018-09-19 21:00:00,0,1,0,1615,8696,10068,1287,8968
2018-09-20 03:00:00,2018-09-19 22:00:00,0,0,0,1612,8703,8704,620,8448
2018-09-20 04:00:00,2018-09-19 23:00:00,0,0,0,1436,8702,8191,-571,7809
2018-09-20 05:00:00,2018-09-20 00:00:00,0,0,0,1328,8706,7813,-1346,7278
2018-09-20 06:00:00,2018-09-20 01:00:00,0,0,-1,1275,8707,7423,-1509,6729
2018-09-20 07:00:00,2018-09-20 02:00:00,0,0,0,1250,8709,7340,-1558,6166
2018-09-20 08:00:00,2018-09-20 03:00:00,0,0,-1,1245,8715,7261,-1541,5631
2018-09-20 09:00:00,2018-09-20 04:00:00,0,0,-1,1247,8715,7370,-1593,5309
2018-09-20 10:00:00,2018-09-20 05:00:00,0,-1,0,1288,8716,7835,-1485,5394
2018-09-20 11:00:00,2018-09-20 06:00:00,0,11,-1,1314,8717,8023,-362,5758
2018-09-20 12:00:00,2018-09-20 07:00:00,0,104,-1,1307,8722,8197,42,5922
2018-09-20 13:00:00,2018-09-20 08:00:00,0,415,0,1362,8712,8050,344,5922
2018-09-20 14:00:00,2018-09-20 09:00:00,0,773,0,1362,8709,8477,642,6238
2018-09-20 15:00:00,2018-09-20 10:00:00,0,1122,0,1368,8705,9254,1202,6718
2018-09-20 16:00:00,2018-09-20 11:00:00,0,1345,0,1371,8798,9814,1390,7469
2018-09-20 17:00:00,2018-09-20 12:00:00,0,1418,0,1169,8829,9899,1965,8345
2018-09-20 18:00:00,2018-09-20 13:00:00,0,1384,0,1252,8866,10613,2304,8856
2018-09-20 19:00:00,2018-09-20 14:00:00,0,1308,0,1293,8875,11048,2702,9305
2018-09-20 20:00:00,2018-09-20 15:00:00,0,1176,0,1556,8930,11760,3070,9790
2018-09-20 21:00:00,2018-09-20 16:00:00,0,957,0,1295,8969,11518,3121,10231
2018-09-20 22:00:00,2018-09-20 17:00:00,0,609,0,1293,9072,11558,2905,10646
2018-09-20 23:00:00,2018-09-20 18:00:00,0,182,0,1291,9146,11345,2591,10623
2018-09-21 00:00:00,2018-09-20 19:00:00,0,27,0,1296,9201,11168,2207,10337
2018-09-21 01:00:00,2018-09-20 20:00:00,0,2,0,1313,9205,11038,1550,10264
2018-09-21 02:00:00,2018-09-20 21:00:00,0,2,-1,1177,9248,10306,905,9998
2018-09-21 03:00:00,2018-09-20 22:00:00,0,0,0,1137,9297,9168,757,8773
2018-09-21 04:00:00,2018-09-20 23:00:00,0,0,0,1130,9336,8361,-6,7717
2018-09-21 05:00:00,2018-09-21 00:00:00,0,0,0,1109,9307,8182,-1097,7424
2018-09-21 06:00:00,2018-09-21 01:00:00,0,-1,-2,1050,9317,8028,-1623,6696
2018-09-21 07:00:00,2018-09-21 02:00:00,0,0,0,1043,9334,7808,-1634,5696
2018-09-21 08:00:00,2018-09-21 03:00:00,0,0,-1,1079,9344,7886,-1654,4940
2018-09-21 09:00:00,2018-09-21 04:00:00,0,-2,0,1034,9312,7894,-1670,4711
2018-09-21 10:00:00,2018-09-21 05:00:00,0,0,-3,1032,9244,7980,-1449,4761
2018-09-21 11:00:00,2018-09-21 06:00:00,0,12,0,1098,9277,8153,-400,5316
2018-09-21 12:00:00,2018-09-21 07:00:00,0,114,0,1071,9277,8304,140,5384
