utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 19:00:00,1347,27,419,2524,32098,41741,3596,33154
2018-09-20 01:00:00,2018-09-19 20:00:00,1364,27,422,2431,32132,37277,2405,32908
2018-09-20 02:00:00,2018-09-19 21:00:00,1255,27,182,1874,32166,31314,1719,30759
2018-09-20 03:00:00,2018-09-19 22:00:00,1213,28,143,1547,32191,28364,1516,27730
2018-09-20 04:00:00,2018-09-19 23:00:00,1499,2,207,1300,32019,25111,1224,25793
2018-09-20 05:00:00,2018-09-20 00:00:00,933,28,140,1347,32236,24107,1409,22968
2018-09-20 06:00:00,2018-09-20 01:00:00,717,28,142,1188,32230,23203,1415,21410
2018-09-20 07:00:00,2018-09-20 02:00:00,725,28,184,1109,32228,22653,1414,20338
2018-09-20 08:00:00,2018-09-20 03:00:00,778,28,214,1114,32260,22496,1403,19795
2018-09-20 09:00:00,2018-09-20 04:00:00,1326,28,216,1125,32283,23666,1416,20403
2018-09-20 10:00:00,2018-09-20 05:00:00,1524,27,217,1504,32268,26938,1402,23505
2018-09-20 11:00:00,2018-09-20 06:00:00,1518,34,216,1474,32280,28637,1452,26857
2018-09-20 12:00:00,2018-09-20 07:00:00,1465,226,227,1643,32283,29719,1468,27679
2018-09-20 13:00:00,2018-09-20 08:00:00,846,337,252,1760,32279,32122,1683,28868
2018-09-20 14:00:00,2018-09-20 09:00:00,719,434,215,1760,32239,35265,2223,29359
2018-09-20 15:00:00,2018-09-20 10:00:00,1048,493,214,1779,32203,38046,2523,30263
2018-09-20 16:00:00,2018-09-20 11:00:00,1206,437,212,1786,32168,39956,2672,30911
2018-09-20 17:00:00,2018-09-20 12:00:00,1206,437,212,1786,32168,39956,2672,30907
2018-09-20 18:00:00,2018-09-20 13:00:00,2014,401,726,1752,32119,46440,5077,31366
2018-09-20 19:00:00,2018-09-20 14:00:00,2561,434,695,1782,32108,48452,5263,31923
2018-09-20 20:00:00,2018-09-20 15:00:00,3333,377,692,1758,32031,49062,5190,31882
2018-09-20 21:00:00,2018-09-20 16:00:00,3484,268,688,1890,31978,49829,4843,32020
2018-09-20 22:00:00,2018-09-20 17:00:00,3640,61,685,1813,31975,47914,4780,31555
2018-09-20 23:00:00,2018-09-20 18:00:00,3358,2,489,1734,31957,47355,4380,30179
2018-09-21 00:00:00,2018-09-20 19:00:00,3679,2,201,1737,31979,46376,3455,31276
2018-09-21 01:00:00,2018-09-20 20:00:00,4048,2,198,1739,31976,41976,1897,29676
2018-09-21 02:00:00,2018-09-20 21:00:00,4269,2,200,1735,31953,35643,1438,27904
2018-09-21 03:00:00,2018-09-20 22:00:00,4374,2,202,1739,31930,30994,1385,27170
2018-09-21 04:00:00,2018-09-20 23:00:00,1114,28,144,1468,32203,25020,1438,25075
2018-09-21 05:00:00,2018-09-21 00:00:00,4912,2,204,1333,31693,23471,1338,23249
2018-09-21 06:00:00,2018-09-21 01:00:00,4891,2,209,1319,31628,22486,1314,22155
2018-09-21 07:00:00,2018-09-21 02:00:00,4842,2,211,1243,31526,22394,1365,20975
2018-09-21 08:00:00,2018-09-21 03:00:00,4764,2,217,1152,31513,22953,1383,20990
2018-09-21 09:00:00,2018-09-21 04:00:00,4308,2,220,1099,31450,24779,1364,22504
2018-09-21 10:00:00,2018-09-21 05:00:00,4136,2,220,1525,31466,27816,1374,24516
