utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 19:00:00,0,27,0,207,4671,22726,1893,11537
2018-09-20 01:00:00,2018-09-19 20:00:00,0,0,0,204,4661,21955,1377,11363
2018-09-20 02:00:00,2018-09-19 21:00:00,0,0,0,205,4674,20285,796,10976
2018-09-20 03:00:00,2018-09-19 22:00:00,0,0,-2,200,4669,18550,606,10119
2018-09-20 04:00:00,2018-09-19 23:00:00,0,-1,0,199,4679,15209,449,10695
2018-09-20 05:00:00,2018-09-20 00:00:00,0,0,-1,192,4678,13411,383,10256
2018-09-20 06:00:00,2018-09-20 01:00:00,0,0,-1,192,4683,12999,179,9330
2018-09-20 07:00:00,2018-09-20 02:00:00,0,0,0,186,4690,12766,211,8665
2018-09-20 08:00:00,2018-09-20 03:00:00,0,-1,0,188,4696,12678,160,7998
2018-09-20 09:00:00,2018-09-20 04:00:00,0,-1,0,189,4698,12319,162,8130
2018-09-20 10:00:00,2018-09-20 05:00:00,0,0,0,190,4696,12772,99,8295
2018-09-20 11:00:00,2018-09-20 06:00:00,0,0,-1,190,4697,13352,111,9499
2018-09-20 12:00:00,2018-09-20 07:00:00,0,18,-1,193,4703,14100,161,8951
2018-09-20 13:00:00,2018-09-20 08:00:00,0,297,-1,195,4698,14649,65,8799
2018-09-20 14:00:00,2018-09-20 09:00:00,0,741,-1,193,4688,15122,41,10107
2018-09-20 15:00:00,2018-09-20 10:00:00,0,1001,-1,192,4671,16798,76,10764
2018-09-20 16:00:00,2018-09-20 11:00:00,0,1113,-1,199,4667,18779,165,11413
2018-09-20 17:00:00,2018-09-20 12:00:00,0,1164,-2,202,4665,21183,442,11595
2018-09-20 18:00:00,2018-09-20 13:00:00,0,1119,-2,204,4659,22846,806,11661
2018-09-20 19:00:00,2018-09-20 14:00:00,0,1071,0,200,4663,23295,2113,11845
2018-09-20 20:00:00,2018-09-20 15:00:00,0,1012,0,200,4657,23934,2884,12041
2018-09-20 21:00:00,2018-09-20 16:00:00,0,967,0,203,4662,24172,3201,11974
2018-09-20 22:00:00,2018-09-20 17:00:00,0,766,-2,206,4662,23876,3239,11944
2018-09-20 23:00:00,2018-09-20 18:00:00,0,356,0,205,4654,23410,2918,11656
2018-09-21 00:00:00,2018-09-20 19:00:00,0,27,0,202,4656,22550,2281,11371
2018-09-21 01:00:00,2018-09-20 20:00:00,0,0,0,202,4657,22167,1270,11285
2018-09-21 02:00:00,2018-09-20 21:00:00,0,0,0,200,4662,20573,734,11098
2018-09-21 03:00:00,2018-09-20 22:00:00,0,0,-2,198,4662,18405,443,10885
2018-09-21 04:00:00,2018-09-20 23:00:00,0,0,0,195,4680,16178,163,10618
2018-09-21 05:00:00,2018-09-21 00:00:00,0,0,0,197,4681,14558,151,10379
2018-09-21 06:00:00,2018-09-21 01:00:00,0,0,-1,196,4675,13954,154,9632
2018-09-21 07:00:00,2018-09-21 02:00:00,0,-1,0,199,4674,13703,208,9146
2018-09-21 08:00:00,2018-09-21 03:00:00,0,0,-1,202,4687,13570,127,8622
2018-09-21 09:00:00,2018-09-21 04:00:00,0,-1,0,200,4689,13384,108,8468
2018-09-21 10:00:00,2018-09-21 05:00:00,0,0,0,197,4698,13433,97,8746
2018-09-21 11:00:00,2018-09-21 06:00:00,0,0,-1,198,4696,13881,142,9845
2018-09-21 12:00:00,2018-09-21 07:00:00,0,15,-2,198,4697,14562,178,9525
2018-09-21 13:00:00,2018-09-21 08:00:00,0,271,0,203,4692,15320,97,9018
2018-09-21 14:00:00,2018-09-21 09:00:00,0,700,0,200,4671,15773,54,9996
2018-09-21 15:00:00,2018-09-21 10:00:00,0,973,0,199,4657,17317,70,10508
2018-09-21 16:00:00,2018-09-21 11:00:00,0,1055,0,196,4647,18878,206,10982
2018-09-21 17:00:00,2018-09-21 12:00:00,0,1073,0,199,4651,20545,299,10964
2018-09-21 18:00:00,2018-09-21 13:00:00,0,1078,4,202,4658,21958,702,11255
2018-09-21 19:00:00,2018-09-21 14:00:00,0,1046,0,205,4656,22851,1705,11459
2018-09-21 20:00:00,2018-09-21 15:00:00,0,1004,0,196,4654,22846,2568,11766
2018-09-21 21:00:00,2018-09-21 16:00:00,0,797,-1,198,4652,22980,2768,11825
2018-09-21 22:00:00,2018-09-21 17:00:00,0,619,-1,195,4649,22522,2734,11728
2018-09-21 23:00:00,2018-09-21 18:00:00,0,257,0,197,4652,21570,2327,11467
2018-09-22 00:00:00,2018-09-21 19:00:00,0,17,-1,198,4661,20743,1235,11149
2018-09-22 01:00:00,2018-09-21 20:00:00,0,0,-2,200,4663,19997,827,11015
2018-09-22 02:00:00,2018-09-21 21:00:00,0,-1,-1,204,4663,18413,426,10978
2018-09-22 03:00:00,2018-09-21 22:00:00,0,0,0,204,4667,16701,178,10510
2018-09-22 04:00:00,2018-09-21 23:00:00,0,0,0,203,4679,15110,115,10149
2018-09-22 05:00:00,2018-09-22 00:00:00,0,0,-1,196,4684,13819,84,9573
2018-09-22 06:00:00,2018-09-22 01:00:00,0,0,0,195,4686,12548,68,9293
2018-09-22 07:00:00,2018-09-22 02:00:00,0,0,0,190,4686,12250,135,8735
2018-09-22 08:00:00,2018-09-22 03:00:00,0,0,0,193,4686,12129,97,8083
2018-09-22 09:00:00,2018-09-22 04:00:00,0,0,-1,195,4694,11998,95,7776
2018-09-22 10:00:00,2018-09-22 05:00:00,0,0,-1,194,4691,11798,82,7764
2018-09-22 11:00:00,2018-09-22 06:00:00,0,0,0,194,4702,11954,125,7756
2018-09-22 12:00:00,2018-09-22 07:00:00,0,16,-1,193,4705,12436,194,7869
2018-09-22 13:00:00,2018-09-22 08:00:00,0,282,-1,192,4704,13257,279,8173
2018-09-22 14:00:00,2018-09-22 09:00:00,0,729,0,192,4692,14215,82,9659
2018-09-22 15:00:00,2018-09-22 10:00:00,0,1003,0,179,4676,15288,52,10583
2018-09-22 16:00:00,2018-09-22 11:00:00,0,1102,0,193,4678,17158,74,10835
2018-09-22 17:00:00,2018-09-22 12:00:00,0,1120,0,192,4671,19025,395,11242
2018-09-22 18:00:00,2018-09-22 13:00:00,0,1003,0,195,4669,20051,1164,11277
2018-09-22 19:00:00,2018-09-22 14:00:00,0,1082,0,192,4671,20333,2123,11284
2018-09-22 20:00:00,2018-09-22 15:00:00,0,1008,-1,191,4665,20442,2708,11256
2018-09-22 21:00:00,2018-09-22 16:00:00,0,888,0,191,4669,20499,2795,11265
2018-09-22 22:00:00,2018-09-22 17:00:00,0,744,0,198,4663,20105,2809,11233
2018-09-22 23:00:00,2018-09-22 18:00:00,0,306,0,199,4658,19567,2192,11269
2018-09-23 00:00:00,2018-09-22 19:00:00,0,19,-1,198,4664,19277,1329,11123
2018-09-23 01:00:00,2018-09-22 20:00:00,0,-1,-3,202,4668,18509,1261,10651
2018-09-23 02:00:00,2018-09-22 21:00:00,0,0,0,197,4676,17226,522,10826
2018-09-23 03:00:00,2018-09-22 22:00:00,0,0,-1,196,4682,16024,257,10524
2018-09-23 04:00:00,2018-09-22 23:00:00,0,-1,0,197,4687,13956,136,10243
2018-09-23 05:00:00,2018-09-23 00:00:00,0,0,0,199,4695,13033,139,9372
2018-09-23 06:00:00,2018-09-23 01:00:00,0,0,0,203,4700,12068,73,8329
2018-09-23 07:00:00,2018-09-23 02:00:00,0,0,-1,205,4700,11636,80,7721
2018-09-23 08:00:00,2018-09-23 03:00:00,0,0,-1,204,4706,11248,37,7579
2018-09-23 09:00:00,2018-09-23 04:00:00,0,0,-1,201,4697,10676,38,7557
2018-09-23 10:00:00,2018-09-23 05:00:00,0,-1,0,198,4707,10420,75,7586
2018-09-23 11:00:00,2018-09-23 06:00:00,0,0,0,197,4706,10711,55,7607
2018-09-23 12:00:00,2018-09-23 07:00:00,0,15,0,195,4708,11333,40,7643
2018-09-23 13:00:00,2018-09-23 08:00:00,0,288,0,194,4713,12125,57,7874
2018-09-23 14:00:00,2018-09-23 09:00:00,0,712,0,195,4700,13054,108,8652
2018-09-23 15:00:00,2018-09-23 10:00:00,0,924,-1,196,4685,13907,88,9890
2018-09-23 16:00:00,2018-09-23 11:00:00,0,946,-2,199,4667,15551,127,10816
2018-09-23 17:00:00,2018-09-23 12:00:00,0,1045,-1,199,4672,16445,611,11257
2018-09-23 18:00:00,2018-09-23 13:00:00,0,1016,-1,197,4671,17617,1172,11483
2018-09-23 19:00:00,2018-09-23 14:00:00,0,920,-1,198,4671,18046,1693,11501
2018-09-23 20:00:00,2018-09-23 15:00:00,0,855,-1,195,4671,18415,2366,11274
2018-09-23 21:00:00,2018-09-23 16:00:00,0,675,0,191,4656,18955,2486,11182
2018-09-23 22:00:00,2018-09-23 17:00:00,0,564,0,200,4651,18596,2729,11191
2018-09-23 23:00:00,2018-09-23 18:00:00,0,197,-1,202,4656,18459,2433,11160
2018-09-24 00:00:00,2018-09-23 19:00:00,0,13,-1,200,4671,18253,1574,11272
2018-09-24 01:00:00,2018-09-23 20:00:00,0,0,0,198,4677,18090,1357,11187
2018-09-24 02:00:00,2018-09-23 21:00:00,0,0,-1,196,4678,16977,650,11090
2018-09-24 03:00:00,2018-09-23 22:00:00,0,0,-1,193,4685,15550,301,10466
2018-09-24 04:00:00,2018-09-23 23:00:00,0,0,-1,195,4678,13220,165,10390
2018-09-24 05:00:00,2018-09-24 00:00:00,0,0,0,196,4682,12785,93,9240
2018-09-24 06:00:00,2018-09-24 01:00:00,0,0,-1,196,4525,12642,62,8306
2018-09-24 07:00:00,2018-09-24 02:00:00,0,-1,0,194,4257,12576,99,7703
2018-09-24 08:00:00,2018-09-24 03:00:00,0,0,0,195,4022,12521,43,7464
2018-09-24 09:00:00,2018-09-24 04:00:00,0,0,0,196,3884,12547,36,7586
2018-09-24 10:00:00,2018-09-24 05:00:00,0,0,0,196,3786,12764,54,8386
2018-09-24 11:00:00,2018-09-24 06:00:00,0,0,0,194,3770,14079,156,9434
2018-09-24 12:00:00,2018-09-24 07:00:00,0,8,0,194,3771,15205,92,9595
2018-09-24 13:00:00,2018-09-24 08:00:00,0,196,-2,201,3769,15640,62,8981
2018-09-24 14:00:00,2018-09-24 09:00:00,0,572,-1,192,3763,16037,109,9597
2018-09-24 15:00:00,2018-09-24 10:00:00,0,717,0,197,3755,16920,143,9998
2018-09-24 16:00:00,2018-09-24 11:00:00,0,884,0,198,3740,18029,151,10394
2018-09-24 17:00:00,2018-09-24 12:00:00,0,910,0,202,3738,19701,505,10421
2018-09-24 18:00:00,2018-09-24 13:00:00,0,882,0,199,3744,20577,1178,10431
2018-09-24 19:00:00,2018-09-24 14:00:00,0,812,0,201,3742,20819,2261,10618
2018-09-24 20:00:00,2018-09-24 15:00:00,0,765,-2,199,3742,20750,2684,10833
2018-09-24 21:00:00,2018-09-24 16:00:00,0,586,0,193,3742,20937,3080,10700
