utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 18:00:00,0,7,0,31,6528,8757,3497,3669
2018-09-20 01:00:00,2018-09-19 19:00:00,0,0,0,25,6532,8905,2918,3782
2018-09-20 02:00:00,2018-09-19 20:00:00,0,0,0,28,6526,8712,2563,3714
2018-09-20 03:00:00,2018-09-19 21:00:00,0,-1,0,26,6539,8135,2287,3637
2018-09-20 04:00:00,2018-09-19 22:00:00,0,-2,0,28,6532,7085,1917,3684
2018-09-20 05:00:00,2018-09-19 23:00:00,0,0,0,25,6545,6846,1456,3657
2018-09-20 06:00:00,2018-09-20 00:00:00,0,-1,0,31,6548,6697,210,3646
2018-09-20 07:00:00,2018-09-20 01:00:00,0,0,0,25,6546,6226,1,3583
2018-09-20 08:00:00,2018-09-20 02:00:00,0,0,0,31,6541,5782,-23,3520
2018-09-20 09:00:00,2018-09-20 03:00:00,0,0,0,28,6552,5477,-38,3468
2018-09-20 10:00:00,2018-09-20 04:00:00,0,0,0,28,6553,5600,-34,3475
2018-09-20 11:00:00,2018-09-20 05:00:00,0,0,0,30,6537,6445,54,3608
2018-09-20 12:00:00,2018-09-20 06:00:00,0,0,0,26,6564,6614,253,3543
2018-09-20 13:00:00,2018-09-20 07:00:00,0,22,0,30,6555,6345,504,3379
2018-09-20 14:00:00,2018-09-20 08:00:00,0,72,0,34,6544,6426,828,3560
2018-09-20 15:00:00,2018-09-20 09:00:00,0,93,0,34,6551,7208,1519,3738
2018-09-20 16:00:00,2018-09-20 10:00:00,0,94,0,30,6538,8134,2610,3737
2018-09-20 17:00:00,2018-09-20 11:00:00,0,93,0,34,6545,8639,3541,3734
2018-09-20 18:00:00,2018-09-20 12:00:00,0,69,0,22,6522,8966,4093,3644
2018-09-20 19:00:00,2018-09-20 13:00:00,0,62,0,28,6522,8940,4456,3532
2018-09-20 20:00:00,2018-09-20 14:00:00,0,65,0,9,6502,8741,3767,3524
2018-09-20 21:00:00,2018-09-20 15:00:00,0,90,0,0,6515,8416,4374,3562
2018-09-20 22:00:00,2018-09-20 16:00:00,0,90,0,0,6498,8223,4482,3528
2018-09-20 23:00:00,2018-09-20 17:00:00,0,48,0,11,6516,8257,4453,3545
2018-09-21 00:00:00,2018-09-20 18:00:00,0,5,0,14,6499,8443,4153,3600
2018-09-21 01:00:00,2018-09-20 19:00:00,0,0,0,14,6504,8450,4095,3611
2018-09-21 02:00:00,2018-09-20 20:00:00,0,0,0,20,6509,8151,3636,3561
2018-09-21 03:00:00,2018-09-20 21:00:00,0,-2,0,11,6513,7154,3096,3644
2018-09-21 04:00:00,2018-09-20 22:00:00,0,0,0,0,6530,7158,2153,3721
2018-09-21 05:00:00,2018-09-20 23:00:00,0,0,0,0,6505,7021,1473,3734
2018-09-21 06:00:00,2018-09-21 00:00:00,0,0,0,0,6514,6565,888,3710
2018-09-21 07:00:00,2018-09-21 01:00:00,0,0,0,0,6535,6513,221,3699
2018-09-21 08:00:00,2018-09-21 02:00:00,0,0,0,0,6519,6282,-25,3684
2018-09-21 09:00:00,2018-09-21 03:00:00,0,0,0,0,6534,6095,-20,3684
2018-09-21 10:00:00,2018-09-21 04:00:00,0,0,0,0,6531,6358,-17,3670
2018-09-21 11:00:00,2018-09-21 05:00:00,0,0,0,0,6537,6923,372,3714
2018-09-21 12:00:00,2018-09-21 06:00:00,0,0,0,0,6529,7273,884,3729
2018-09-21 13:00:00,2018-09-21 07:00:00,0,16,0,0,6528,7228,1197,3715
2018-09-21 14:00:00,2018-09-21 08:00:00,0,70,0,0,6525,7434,1719,3744
2018-09-21 15:00:00,2018-09-21 09:00:00,0,95,0,8,6543,7640,2272,3727
2018-09-21 16:00:00,2018-09-21 10:00:00,0,97,0,17,6517,8652,2611,3766
2018-09-21 17:00:00,2018-09-21 11:00:00,0,89,0,14,6529,8970,3336,3731
2018-09-21 18:00:00,2018-09-21 12:00:00,0,82,0,25,6507,8954,4139,3770
2018-09-21 19:00:00,2018-09-21 13:00:00,0,54,0,25,6519,8962,4453,3786
2018-09-21 20:00:00,2018-09-21 14:00:00,0,55,0,23,6514,8938,4469,3841
2018-09-21 21:00:00,2018-09-21 15:00:00,0,41,0,28,6513,8883,4473,3887
2018-09-21 22:00:00,2018-09-21 16:00:00,0,31,0,19,6519,8950,4793,3941
2018-09-21 23:00:00,2018-09-21 17:00:00,0,19,0,23,6504,8796,4678,3926
2018-09-22 00:00:00,2018-09-21 18:00:00,0,3,0,28,6503,8387,3968,3907
2018-09-22 01:00:00,2018-09-21 19:00:00,0,0,0,28,6512,8424,3266,3938
2018-09-22 02:00:00,2018-09-21 20:00:00,0,0,0,28,6520,8344,2336,3921
2018-09-22 03:00:00,2018-09-21 21:00:00,0,0,0,28,6522,7728,1817,3943
2018-09-22 04:00:00,2018-09-21 22:00:00,0,0,0,31,6509,7432,1476,3919
2018-09-22 05:00:00,2018-09-21 23:00:00,0,0,0,28,6518,6724,1108,3770
2018-09-22 06:00:00,2018-09-22 00:00:00,0,0,0,25,6524,6376,553,3509
2018-09-22 07:00:00,2018-09-22 01:00:00,0,0,0,28,6526,5934,241,3504
2018-09-22 08:00:00,2018-09-22 02:00:00,0,0,0,28,6528,5625,47,3452
2018-09-22 09:00:00,2018-09-22 03:00:00,0,0,0,28,6531,5731,-212,3367
2018-09-22 10:00:00,2018-09-22 04:00:00,0,0,0,22,6534,5575,-189,3308
2018-09-22 11:00:00,2018-09-22 05:00:00,0,-2,0,25,6528,5729,-88,3276
2018-09-22 12:00:00,2018-09-22 06:00:00,0,-1,0,26,6537,6072,-75,3298
2018-09-22 13:00:00,2018-09-22 07:00:00,0,8,0,19,6529,6193,145,3290
2018-09-22 14:00:00,2018-09-22 08:00:00,0,47,0,28,6548,6822,448,3379
2018-09-22 15:00:00,2018-09-22 09:00:00,0,71,2,25,6523,7343,1239,3450
2018-09-22 16:00:00,2018-09-22 10:00:00,0,76,3,26,6533,7405,2104,3539
2018-09-22 17:00:00,2018-09-22 11:00:00,0,65,3,28,6532,7720,2951,3553
2018-09-22 18:00:00,2018-09-22 12:00:00,0,45,2,25,6522,7725,3423,3541
2018-09-22 19:00:00,2018-09-22 13:00:00,0,51,3,25,6552,7724,3642,3549
2018-09-22 20:00:00,2018-09-22 14:00:00,0,48,0,25,6538,7751,3656,3548
2018-09-22 21:00:00,2018-09-22 15:00:00,0,43,0,25,6464,7922,4032,3539
2018-09-22 22:00:00,2018-09-22 16:00:00,0,3,0,23,6163,7998,3998,3549
2018-09-22 23:00:00,2018-09-22 17:00:00,0,1,0,22,6110,7982,3706,3568
2018-09-23 00:00:00,2018-09-22 18:00:00,0,0,0,25,6103,7887,3392,3563
2018-09-23 01:00:00,2018-09-22 19:00:00,0,0,0,25,6097,7839,3094,3573
2018-09-23 02:00:00,2018-09-22 20:00:00,0,0,0,14,6102,7749,2092,3574
2018-09-23 03:00:00,2018-09-22 21:00:00,0,0,0,12,6113,7324,1341,3600
2018-09-23 04:00:00,2018-09-22 22:00:00,0,0,0,11,6145,6656,819,3607
2018-09-23 05:00:00,2018-09-22 23:00:00,0,0,0,17,6148,6150,174,3616
2018-09-23 06:00:00,2018-09-23 00:00:00,0,0,0,19,6092,5869,-144,3534
2018-09-23 07:00:00,2018-09-23 01:00:00,0,-2,0,20,6133,5337,-157,3331
2018-09-23 08:00:00,2018-09-23 02:00:00,0,0,0,19,6151,5285,-259,3058
2018-09-23 09:00:00,2018-09-23 03:00:00,0,0,0,17,6177,5193,-345,3051
2018-09-23 10:00:00,2018-09-23 04:00:00,0,0,0,20,6167,5131,-260,3055
2018-09-23 11:00:00,2018-09-23 05:00:00,0,0,0,19,6177,5083,-176,3033
2018-09-23 12:00:00,2018-09-23 06:00:00,0,0,0,17,6159,5428,-193,3054
2018-09-23 13:00:00,2018-09-23 07:00:00,0,2,0,20,6176,5751,-24,3048
2018-09-23 14:00:00,2018-09-23 08:00:00,0,8,0,28,6149,6529,110,3253
2018-09-23 15:00:00,2018-09-23 09:00:00,0,15,0,22,6167,6931,297,3651
2018-09-23 16:00:00,2018-09-23 10:00:00,0,37,0,25,6173,7280,457,3761
2018-09-23 17:00:00,2018-09-23 11:00:00,0,46,0,26,6155,7349,1232,3746
2018-09-23 18:00:00,2018-09-23 12:00:00,0,41,0,22,6165,7070,2308,3727
2018-09-23 19:00:00,2018-09-23 13:00:00,0,42,0,25,6145,6856,3147,3714
2018-09-23 20:00:00,2018-09-23 14:00:00,0,44,0,25,6165,6453,3812,3709
2018-09-23 21:00:00,2018-09-23 15:00:00,0,34,0,26,6168,6479,3872,3719
2018-09-23 22:00:00,2018-09-23 16:00:00,0,9,0,19,6149,6452,3767,3714
2018-09-23 23:00:00,2018-09-23 17:00:00,0,3,0,28,6173,6487,3896,3741
2018-09-24 00:00:00,2018-09-23 18:00:00,0,0,0,25,6152,6558,3833,3792
2018-09-24 01:00:00,2018-09-23 19:00:00,0,0,0,26,6168,6652,3421,3802
2018-09-24 02:00:00,2018-09-23 20:00:00,0,0,0,25,6159,6560,3068,3728
2018-09-24 03:00:00,2018-09-23 21:00:00,0,-2,0,28,6158,6299,2128,3707
2018-09-24 04:00:00,2018-09-23 22:00:00,0,0,0,25,6178,5967,1205,3633
2018-09-24 05:00:00,2018-09-23 23:00:00,0,0,0,25,6175,5324,617,3589
2018-09-24 06:00:00,2018-09-24 00:00:00,0,0,0,25,6161,5184,232,3580
2018-09-24 07:00:00,2018-09-24 01:00:00,0,0,0,28,6163,4988,194,3565
2018-09-24 08:00:00,2018-09-24 02:00:00,0,0,0,28,6169,4954,253,3555
2018-09-24 09:00:00,2018-09-24 03:00:00,0,0,0,23,6160,4956,325,3382
2018-09-24 10:00:00,2018-09-24 04:00:00,0,0,0,25,6170,5462,352,3376
2018-09-24 11:00:00,2018-09-24 05:00:00,0,0,0,28,6177,6346,519,3543
2018-09-24 12:00:00,2018-09-24 06:00:00,0,0,0,25,6167,6376,1543,3761
2018-09-24 13:00:00,2018-09-24 07:00:00,0,2,0,25,6154,6270,2031,3777
