Net generation from natural gas for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.NG.H
19:04:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.NG.H megawatthours
11/19/2021 08H,12273
11/19/2021 07H,13090
11/19/2021 06H,14760
11/19/2021 05H,15457
11/19/2021 04H,16084
11/19/2021 03H,16660
11/19/2021 02H,17401
11/19/2021 01H,18443
11/19/2021 00H,16980
11/18/2021 23H,13616
11/18/2021 22H,12333
11/18/2021 21H,12421
11/18/2021 20H,12572
11/18/2021 19H,11932
11/18/2021 18H,11749
11/18/2021 17H,12995
11/18/2021 16H,13811
11/18/2021 15H,15086
11/18/2021 14H,14678
11/18/2021 13H,13552
11/18/2021 12H,12962
11/18/2021 11H,12823
11/18/2021 10H,12745
11/18/2021 09H,13059
11/18/2021 08H,13589
11/18/2021 07H,14687
11/18/2021 06H,16056
11/18/2021 05H,16755
11/18/2021 04H,17334
11/18/2021 03H,17686
11/18/2021 02H,18154
11/18/2021 01H,17699
11/18/2021 00H,15439
11/17/2021 23H,12002
11/17/2021 22H,11073
11/17/2021 21H,10752
11/17/2021 20H,10460
11/17/2021 19H,10712
11/17/2021 18H,11373
11/17/2021 17H,11669
11/17/2021 16H,12833
11/17/2021 15H,14460
11/17/2021 14H,13899
11/17/2021 13H,13084
11/17/2021 12H,12263
11/17/2021 11H,11536
11/17/2021 10H,11536
11/17/2021 09H,11434
11/17/2021 08H,12293
11/17/2021 07H,12745
11/17/2021 06H,13349
11/17/2021 05H,13209
11/17/2021 04H,13212
11/17/2021 03H,14014
11/17/2021 02H,14335
11/17/2021 01H,13900
11/17/2021 00H,12113
11/16/2021 23H,9784
11/16/2021 22H,9480
11/16/2021 21H,9372
11/16/2021 20H,9302
11/16/2021 19H,9565
11/16/2021 18H,10379
11/16/2021 17H,10699
11/16/2021 16H,11187
11/16/2021 15H,10894
11/16/2021 14H,10306
11/16/2021 13H,9125
11/16/2021 12H,7990
11/16/2021 11H,7948
11/16/2021 10H,8529
11/16/2021 09H,9149
11/16/2021 08H,9732
11/16/2021 07H,10966
11/16/2021 06H,12044
11/16/2021 05H,14243
11/16/2021 04H,14975
11/16/2021 03H,15037
11/16/2021 02H,16063
11/16/2021 01H,16664
11/16/2021 00H,15507
11/15/2021 23H,12690
11/15/2021 22H,10988
11/15/2021 21H,9910
11/15/2021 20H,10304
11/15/2021 19H,10775
11/15/2021 18H,10845
11/15/2021 17H,10155
11/15/2021 16H,10597
11/15/2021 15H,11881
11/15/2021 14H,11568
11/15/2021 13H,10159
11/15/2021 12H,9819
11/15/2021 11H,9279
11/15/2021 10H,9087
11/15/2021 09H,9262
11/15/2021 08H,9765
11/15/2021 07H,10742
11/15/2021 06H,11614
11/15/2021 05H,13070
11/15/2021 04H,13853
11/15/2021 03H,14246
11/15/2021 02H,14669
11/15/2021 01H,13919
11/15/2021 00H,11417
11/14/2021 23H,8639
11/14/2021 22H,6326
11/14/2021 21H,6233
11/14/2021 20H,5887
11/14/2021 19H,5576
11/14/2021 18H,5339
11/14/2021 17H,5030
11/14/2021 16H,6371
11/14/2021 15H,7746
11/14/2021 14H,9334
11/14/2021 13H,8645
11/14/2021 12H,9031
11/14/2021 11H,8489
11/14/2021 10H,8769
11/14/2021 09H,9500
11/14/2021 08H,10107
11/14/2021 07H,10988
11/14/2021 06H,12925
11/14/2021 05H,13406
11/14/2021 04H,13543
11/14/2021 03H,13945
11/14/2021 02H,14500
11/14/2021 01H,14867
11/14/2021 00H,12857
11/13/2021 23H,9821
11/13/2021 22H,7909
11/13/2021 21H,7943
11/13/2021 20H,7598
11/13/2021 19H,7859
11/13/2021 18H,7868
11/13/2021 17H,7725
11/13/2021 16H,8169
11/13/2021 15H,10310
11/13/2021 14H,10689
11/13/2021 13H,10531
11/13/2021 12H,10232
11/13/2021 11H,9878
11/13/2021 10H,10444
11/13/2021 09H,11311
11/13/2021 08H,12574
11/13/2021 07H,13891
11/13/2021 06H,15450
11/13/2021 05H,16346
11/13/2021 04H,16752
11/13/2021 03H,16696
11/13/2021 02H,17345
11/13/2021 01H,18621
11/13/2021 00H,16586
11/12/2021 23H,12404
11/12/2021 22H,10098
11/12/2021 21H,9316
11/12/2021 20H,9738
11/12/2021 19H,10059
11/12/2021 18H,9993
11/12/2021 17H,9761
11/12/2021 16H,10853
11/12/2021 15H,12710
11/12/2021 14H,13031
11/12/2021 13H,12214
11/12/2021 12H,10964
11/12/2021 11H,10732
11/12/2021 10H,11279
11/12/2021 09H,12388
11/12/2021 08H,13326
11/12/2021 07H,14069
11/12/2021 06H,15490
11/12/2021 05H,16079
11/12/2021 04H,16536
11/12/2021 03H,16576
11/12/2021 02H,17707
11/12/2021 01H,18487
11/12/2021 00H,15867
11/11/2021 23H,11271
11/11/2021 22H,9710
11/11/2021 21H,8478
11/11/2021 20H,8454
11/11/2021 19H,8923
11/11/2021 18H,9109
11/11/2021 17H,9026
11/11/2021 16H,10419
11/11/2021 15H,12755
11/11/2021 14H,12847
11/11/2021 13H,12420
11/11/2021 12H,12005
11/11/2021 11H,11624
11/11/2021 10H,11851
11/11/2021 09H,12047
11/11/2021 08H,12872
11/11/2021 07H,14014
11/11/2021 06H,14617
11/11/2021 05H,15293
11/11/2021 04H,16066
11/11/2021 03H,16933
11/11/2021 02H,17057
11/11/2021 01H,16410
11/11/2021 00H,13202
11/10/2021 23H,10356
11/10/2021 22H,8507
11/10/2021 21H,8020
11/10/2021 20H,7932
11/10/2021 19H,7945
11/10/2021 18H,7909
11/10/2021 17H,8607
11/10/2021 16H,9795
11/10/2021 15H,11221
11/10/2021 14H,11190
11/10/2021 13H,10244
11/10/2021 12H,9386
11/10/2021 11H,9991
11/10/2021 10H,9932
11/10/2021 09H,9827
11/10/2021 08H,10770
11/10/2021 07H,11487
11/10/2021 06H,13364
11/10/2021 05H,14479
11/10/2021 04H,14783
11/10/2021 03H,15451
11/10/2021 02H,16254
11/10/2021 01H,15908
11/10/2021 00H,13223
11/9/2021 23H,10855
11/9/2021 22H,8671
11/9/2021 21H,8168
11/9/2021 20H,8631
11/9/2021 19H,8758
11/9/2021 18H,8714
11/9/2021 17H,9237
11/9/2021 16H,10015
11/9/2021 15H,11658
11/9/2021 14H,11297
11/9/2021 13H,10764
11/9/2021 12H,9925
11/9/2021 11H,9605
11/9/2021 10H,9438
11/9/2021 09H,10182
11/9/2021 08H,11128
11/9/2021 07H,11891
11/9/2021 06H,13236
11/9/2021 05H,13901
11/9/2021 04H,14385
11/9/2021 03H,15604
11/9/2021 02H,16887
11/9/2021 01H,16530
11/9/2021 00H,13478
11/8/2021 23H,9396
11/8/2021 22H,7242
11/8/2021 21H,7215
11/8/2021 20H,6820
11/8/2021 19H,7105
11/8/2021 18H,6951
11/8/2021 17H,7681
11/8/2021 16H,9665
11/8/2021 15H,12015
11/8/2021 14H,12158
11/8/2021 13H,11802
11/8/2021 12H,10565
11/8/2021 11H,9715
11/8/2021 10H,9291
11/8/2021 09H,8868
11/8/2021 08H,8389
11/8/2021 07H,9565
11/8/2021 06H,10458
11/8/2021 05H,11174
11/8/2021 04H,11734
11/8/2021 03H,12150
11/8/2021 02H,12382
11/8/2021 01H,11677
11/8/2021 00H,9453
11/7/2021 23H,6197
11/7/2021 22H,4572
11/7/2021 21H,3402
11/7/2021 20H,3735
11/7/2021 19H,3565
11/7/2021 18H,3665
11/7/2021 17H,4773
11/7/2021 16H,6220
11/7/2021 15H,7661
11/7/2021 14H,8228
11/7/2021 13H,7503
11/7/2021 12H,7674
11/7/2021 11H,7871
11/7/2021 10H,8042
11/7/2021 09H,8221
11/7/2021 08H,8544
11/7/2021 07H,9291
11/7/2021 06H,10599
11/7/2021 05H,11621
11/7/2021 04H,11590
11/7/2021 03H,11911
11/7/2021 02H,12452
11/7/2021 01H,11509
11/7/2021 00H,9088
11/6/2021 23H,7300
11/6/2021 22H,5751
11/6/2021 21H,5700
11/6/2021 20H,5430
11/6/2021 19H,5240
11/6/2021 18H,5502
11/6/2021 17H,5556
11/6/2021 16H,6634
11/6/2021 15H,9977
11/6/2021 14H,10847
11/6/2021 13H,10370
11/6/2021 12H,9760
11/6/2021 11H,9848
11/6/2021 10H,10452
11/6/2021 09H,10729
11/6/2021 08H,11333
11/6/2021 07H,12483
11/6/2021 06H,13773
11/6/2021 05H,14316
11/6/2021 04H,14369
11/6/2021 03H,14715
11/6/2021 02H,15632
11/6/2021 01H,15972
11/6/2021 00H,14193
11/5/2021 23H,9986
11/5/2021 22H,7679
11/5/2021 21H,7095
11/5/2021 20H,7400
11/5/2021 19H,7564
11/5/2021 18H,8085
11/5/2021 17H,7870
11/5/2021 16H,9562
11/5/2021 15H,12740
11/5/2021 14H,13288
11/5/2021 13H,11945
11/5/2021 12H,11419
11/5/2021 11H,10613
11/5/2021 10H,10246
11/5/2021 09H,10213
11/5/2021 08H,10614
11/5/2021 07H,11394
11/5/2021 06H,12014
11/5/2021 05H,12498
11/5/2021 04H,13038
11/5/2021 03H,13267
11/5/2021 02H,13759
11/5/2021 01H,14160
11/5/2021 00H,12267
11/4/2021 23H,8149
11/4/2021 22H,7257
11/4/2021 21H,7204
11/4/2021 20H,7406
11/4/2021 19H,7180
11/4/2021 18H,7966
11/4/2021 17H,8240
11/4/2021 16H,9798
11/4/2021 15H,13442
11/4/2021 14H,14936
11/4/2021 13H,13398
11/4/2021 12H,12511
11/4/2021 11H,11314
11/4/2021 10H,11267
11/4/2021 09H,10944
11/4/2021 08H,11704
11/4/2021 07H,13118
11/4/2021 06H,14662
11/4/2021 05H,15613
11/4/2021 04H,16220
11/4/2021 03H,16437
11/4/2021 02H,17370
11/4/2021 01H,17294
11/4/2021 00H,14790
11/3/2021 23H,10539
11/3/2021 22H,9013
11/3/2021 21H,8383
11/3/2021 20H,8642
11/3/2021 19H,9157
11/3/2021 18H,8774
11/3/2021 17H,9229
11/3/2021 16H,11070
