Net generation from natural gas for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NG.H
19:06:34 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NG.H megawatthours
11/19/2021 05H,5103
11/19/2021 04H,5361
11/19/2021 03H,5670
11/19/2021 02H,5585
11/19/2021 01H,5401
11/19/2021 00H,5333
11/18/2021 23H,4827
11/18/2021 22H,4461
11/18/2021 21H,4257
11/18/2021 20H,4050
11/18/2021 19H,4028
11/18/2021 18H,4018
11/18/2021 17H,4090
11/18/2021 16H,4171
11/18/2021 15H,3991
11/18/2021 14H,4572
11/18/2021 13H,4957
11/18/2021 12H,5003
11/18/2021 11H,4962
11/18/2021 10H,5160
11/18/2021 09H,5203
11/18/2021 08H,5204
11/18/2021 07H,5159
11/18/2021 06H,5096
11/18/2021 05H,5109
11/18/2021 04H,5237
11/18/2021 03H,5181
11/18/2021 02H,5186
11/18/2021 01H,5333
11/18/2021 00H,5339
11/17/2021 23H,4928
11/17/2021 22H,4733
11/17/2021 21H,4419
11/17/2021 20H,4218
11/17/2021 19H,4184
11/17/2021 18H,4187
11/17/2021 17H,4332
11/17/2021 16H,4585
11/17/2021 15H,4661
11/17/2021 14H,5629
11/17/2021 13H,6159
11/17/2021 12H,6103
11/17/2021 11H,5762
11/17/2021 10H,5898
11/17/2021 09H,5888
11/17/2021 08H,5994
11/17/2021 07H,5938
11/17/2021 06H,5932
11/17/2021 05H,6060
11/17/2021 04H,6051
11/17/2021 03H,6292
11/17/2021 02H,6243
11/17/2021 01H,6272
11/17/2021 00H,6488
11/16/2021 23H,5967
11/16/2021 22H,5450
11/16/2021 21H,5086
11/16/2021 20H,4855
11/16/2021 19H,4771
11/16/2021 18H,4599
11/16/2021 17H,4852
11/16/2021 16H,5456
11/16/2021 15H,6518
11/16/2021 14H,8329
11/16/2021 13H,9646
11/16/2021 12H,9328
11/16/2021 11H,8393
11/16/2021 10H,7773
11/16/2021 09H,7200
11/16/2021 08H,7037
11/16/2021 07H,6999
11/16/2021 06H,7037
11/16/2021 05H,7270
11/16/2021 04H,7229
11/16/2021 03H,7331
11/16/2021 02H,7677
11/16/2021 01H,8007
11/16/2021 00H,7709
11/15/2021 23H,6807
11/15/2021 22H,5926
11/15/2021 21H,5269
11/15/2021 20H,4910
11/15/2021 19H,4605
11/15/2021 18H,4406
11/15/2021 17H,4786
11/15/2021 16H,5398
11/15/2021 15H,5948
11/15/2021 14H,6883
11/15/2021 13H,8200
11/15/2021 12H,8307
11/15/2021 11H,7405
11/15/2021 10H,6208
11/15/2021 09H,6038
11/15/2021 08H,6018
11/15/2021 07H,5941
11/15/2021 06H,5779
11/15/2021 05H,5544
11/15/2021 04H,5980
