Net generation from nuclear for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.NUC.H
19:06:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.NUC.H megawatthours
11/19/2021 05H,10164
11/19/2021 04H,10175
11/19/2021 03H,10147
11/19/2021 02H,10153
11/19/2021 01H,10149
11/19/2021 00H,10150
11/18/2021 23H,10148
11/18/2021 22H,10140
11/18/2021 21H,10160
11/18/2021 20H,10146
11/18/2021 19H,10138
11/18/2021 18H,10167
11/18/2021 17H,10146
11/18/2021 16H,10161
11/18/2021 15H,10161
11/18/2021 14H,10171
11/18/2021 13H,10171
11/18/2021 12H,10197
11/18/2021 11H,10172
11/18/2021 10H,10175
11/18/2021 09H,10177
11/18/2021 08H,10178
11/18/2021 07H,10204
11/18/2021 06H,10179
11/18/2021 05H,10180
11/18/2021 04H,10176
11/18/2021 03H,10174
11/18/2021 02H,10176
11/18/2021 01H,10166
11/18/2021 00H,10170
11/17/2021 23H,10170
11/17/2021 22H,10164
11/17/2021 21H,10160
11/17/2021 20H,10179
11/17/2021 19H,10158
11/17/2021 18H,10160
11/17/2021 17H,10169
11/17/2021 16H,10177
11/17/2021 15H,10184
11/17/2021 14H,10210
11/17/2021 13H,10184
11/17/2021 12H,10186
11/17/2021 11H,10183
11/17/2021 10H,10181
11/17/2021 09H,10179
11/17/2021 08H,10204
11/17/2021 07H,10181
11/17/2021 06H,10181
11/17/2021 05H,10184
11/17/2021 04H,10193
11/17/2021 03H,10191
11/17/2021 02H,10184
11/17/2021 01H,10207
11/17/2021 00H,10189
11/16/2021 23H,10178
11/16/2021 22H,10184
11/16/2021 21H,10182
11/16/2021 20H,10184
11/16/2021 19H,10188
11/16/2021 18H,10215
11/16/2021 17H,10196
11/16/2021 16H,10194
11/16/2021 15H,10208
11/16/2021 14H,10200
11/16/2021 13H,10205
11/16/2021 12H,10199
11/16/2021 11H,10209
11/16/2021 10H,10199
11/16/2021 09H,10200
11/16/2021 08H,10200
11/16/2021 07H,10198
11/16/2021 06H,10196
11/16/2021 05H,10198
11/16/2021 04H,10195
11/16/2021 03H,10202
11/16/2021 02H,10194
11/16/2021 01H,10199
11/16/2021 00H,10195
11/15/2021 23H,10189
11/15/2021 22H,10579
11/15/2021 21H,10584
11/15/2021 20H,10580
11/15/2021 19H,10589
11/15/2021 18H,10584
11/15/2021 17H,10551
11/15/2021 16H,10526
11/15/2021 15H,10481
11/15/2021 14H,10476
11/15/2021 13H,10475
11/15/2021 12H,10471
11/15/2021 11H,10469
11/15/2021 10H,10464
11/15/2021 09H,10475
11/15/2021 08H,10466
11/15/2021 07H,10465
11/15/2021 06H,10465
11/15/2021 05H,10186
11/15/2021 04H,10190
11/15/2021 03H,10185
11/15/2021 02H,10191
11/15/2021 01H,10181
11/15/2021 00H,10192
11/14/2021 23H,10183
11/14/2021 22H,10192
11/14/2021 21H,10183
11/14/2021 20H,10187
11/14/2021 19H,10192
11/14/2021 18H,10195
11/14/2021 17H,10199
11/14/2021 16H,10193
11/14/2021 15H,10194
11/14/2021 14H,10194
11/14/2021 13H,10197
11/14/2021 12H,10200
11/14/2021 11H,10197
11/14/2021 10H,10193
11/14/2021 09H,10193
11/14/2021 08H,10195
11/14/2021 07H,10186
11/14/2021 06H,10192
11/14/2021 05H,10183
11/14/2021 04H,10181
11/14/2021 03H,10182
11/14/2021 02H,10178
11/14/2021 01H,10177
11/14/2021 00H,10167
11/13/2021 23H,10171
11/13/2021 22H,10165
11/13/2021 21H,10168
11/13/2021 20H,10163
11/13/2021 19H,10164
11/13/2021 18H,10160
11/13/2021 17H,10158
11/13/2021 16H,10162
11/13/2021 15H,10162
11/13/2021 14H,10163
11/13/2021 13H,10166
11/13/2021 12H,10163
11/13/2021 11H,10166
11/13/2021 10H,10161
11/13/2021 09H,10162
11/13/2021 08H,10162
11/13/2021 07H,10152
11/13/2021 06H,10153
11/13/2021 05H,10149
11/13/2021 04H,10139
11/13/2021 03H,10319
11/13/2021 02H,10565
11/13/2021 01H,10705
11/13/2021 00H,10812
11/12/2021 23H,10920
11/12/2021 22H,10922
11/12/2021 21H,10918
11/12/2021 20H,10920
11/12/2021 19H,10916
11/12/2021 18H,10921
11/12/2021 17H,10919
11/12/2021 16H,10913
11/12/2021 15H,10916
11/12/2021 14H,10914
11/12/2021 13H,10908
11/12/2021 12H,10910
11/12/2021 11H,10907
11/12/2021 10H,10905
11/12/2021 09H,10905
11/12/2021 08H,10906
11/12/2021 07H,10904
11/12/2021 06H,10900
11/12/2021 05H,10890
11/12/2021 04H,10898
11/12/2021 03H,10894
11/12/2021 02H,10895
11/12/2021 01H,10899
11/12/2021 00H,10897
11/11/2021 23H,10900
11/11/2021 22H,10899
11/11/2021 21H,10899
11/11/2021 20H,10906
11/11/2021 19H,10908
11/11/2021 18H,10915
11/11/2021 17H,10925
11/11/2021 16H,10931
11/11/2021 15H,10929
11/11/2021 14H,10939
11/11/2021 13H,10940
11/11/2021 12H,10937
11/11/2021 11H,10936
11/11/2021 10H,10933
11/11/2021 09H,10936
11/11/2021 08H,10934
11/11/2021 07H,10932
11/11/2021 06H,10928
11/11/2021 05H,10927
11/11/2021 04H,10927
11/11/2021 03H,10921
11/11/2021 02H,10924
11/11/2021 01H,10939
11/11/2021 00H,10920
11/10/2021 23H,10908
11/10/2021 22H,10904
11/10/2021 21H,10605
11/10/2021 20H,10901
11/10/2021 19H,10909
