Net generation from coal for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.COL.H
19:09:35 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.COL.H megawatthours
11/19/2021 06H,8749
11/19/2021 05H,9709
11/19/2021 04H,10273
11/19/2021 03H,10859
11/19/2021 02H,11856
11/19/2021 01H,12125
11/19/2021 00H,11929
11/18/2021 23H,11789
11/18/2021 22H,11482
11/18/2021 21H,11313
11/18/2021 20H,10942
11/18/2021 19H,10584
11/18/2021 18H,10539
11/18/2021 17H,10342
11/18/2021 16H,10457
11/18/2021 15H,10380
11/18/2021 14H,9998
11/18/2021 13H,9300
11/18/2021 12H,8690
11/18/2021 11H,8023
11/18/2021 10H,6326
11/18/2021 09H,5853
11/18/2021 08H,5922
11/18/2021 07H,6034
11/18/2021 06H,6446
11/18/2021 05H,6865
11/18/2021 04H,7231
11/18/2021 03H,7364
11/18/2021 02H,7932
11/18/2021 01H,8013
11/18/2021 00H,7741
11/17/2021 23H,6602
11/17/2021 22H,6553
11/17/2021 21H,6442
11/17/2021 20H,6350
11/17/2021 19H,6408
11/17/2021 18H,6421
11/17/2021 17H,6225
11/17/2021 16H,6200
11/17/2021 15H,5935
11/17/2021 14H,5889
11/17/2021 13H,5721
11/17/2021 12H,5476
11/17/2021 11H,5050
11/17/2021 10H,5176
11/17/2021 09H,5332
11/17/2021 08H,5555
11/17/2021 07H,6094
11/17/2021 06H,6299
11/17/2021 05H,6728
11/17/2021 04H,7137
11/17/2021 03H,7564
11/17/2021 02H,7350
11/17/2021 01H,7664
11/17/2021 00H,7664
11/16/2021 23H,7704
11/16/2021 22H,7668
11/16/2021 21H,7835
11/16/2021 20H,8012
11/16/2021 19H,8452
11/16/2021 18H,8433
11/16/2021 17H,7548
11/16/2021 16H,6895
11/16/2021 15H,6754
11/16/2021 14H,6681
11/16/2021 13H,6636
11/16/2021 12H,5890
11/16/2021 11H,5840
11/16/2021 10H,5749
11/16/2021 09H,5574
11/16/2021 08H,5645
11/16/2021 07H,5671
11/16/2021 06H,6236
11/16/2021 05H,7263
11/16/2021 04H,8575
11/16/2021 03H,9877
11/16/2021 02H,10745
11/16/2021 01H,12463
11/16/2021 00H,12893
11/15/2021 23H,12734
11/15/2021 22H,12486
11/15/2021 21H,12347
11/15/2021 20H,12347
11/15/2021 19H,12322
11/15/2021 18H,12098
11/15/2021 17H,11319
11/15/2021 16H,10187
11/15/2021 15H,9363
11/15/2021 14H,8989
11/15/2021 13H,8115
11/15/2021 12H,7253
11/15/2021 11H,7042
11/15/2021 10H,7171
11/15/2021 09H,7204
11/15/2021 08H,7627
11/15/2021 07H,7148
11/15/2021 06H,7176
11/15/2021 05H,8264
11/15/2021 04H,8644
11/15/2021 03H,9270
11/15/2021 02H,10388
11/15/2021 01H,10806
11/15/2021 00H,10920
11/14/2021 23H,11574
11/14/2021 22H,11515
11/14/2021 21H,11460
11/14/2021 20H,11622
11/14/2021 19H,11586
11/14/2021 18H,11590
11/14/2021 17H,11072
11/14/2021 16H,10339
11/14/2021 15H,8699
11/14/2021 14H,7749
11/14/2021 13H,7137
11/14/2021 12H,6299
11/14/2021 11H,6351
11/14/2021 10H,6542
11/14/2021 09H,6560
11/14/2021 08H,6814
11/14/2021 07H,7488
11/14/2021 06H,8134
11/14/2021 05H,8300
11/14/2021 04H,8279
11/14/2021 03H,8093
11/14/2021 02H,8351
11/14/2021 01H,9266
11/14/2021 00H,10106
11/13/2021 23H,9656
11/13/2021 22H,9624
11/13/2021 21H,9662
11/13/2021 20H,9696
11/13/2021 19H,10535
11/13/2021 18H,10974
11/13/2021 17H,11092
11/13/2021 16H,11031
11/13/2021 15H,10780
11/13/2021 14H,10822
11/13/2021 13H,11210
11/13/2021 12H,11137
11/13/2021 11H,10843
11/13/2021 10H,10794
11/13/2021 09H,10947
11/13/2021 08H,11203
11/13/2021 07H,11673
11/13/2021 06H,11379
11/13/2021 05H,11233
11/13/2021 04H,10985
11/13/2021 03H,10675
11/13/2021 02H,10377
11/13/2021 01H,9578
11/13/2021 00H,8124
11/12/2021 23H,6724
11/12/2021 22H,6238
11/12/2021 21H,6242
11/12/2021 20H,6265
11/12/2021 19H,6436
11/12/2021 18H,6769
11/12/2021 17H,6631
11/12/2021 16H,6728
11/12/2021 15H,6789
11/12/2021 14H,6531
11/12/2021 13H,6244
11/12/2021 12H,5974
11/12/2021 11H,5475
11/12/2021 10H,5254
11/12/2021 09H,5272
