Net generation from natural gas for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.NG.H
19:09:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.NG.H megawatthours
11/19/2021 06H,2647
11/19/2021 05H,3138
11/19/2021 04H,3902
11/19/2021 03H,4972
11/19/2021 02H,5656
11/19/2021 01H,7387
11/19/2021 00H,8589
11/18/2021 23H,8527
11/18/2021 22H,8268
11/18/2021 21H,8393
11/18/2021 20H,9055
11/18/2021 19H,9853
11/18/2021 18H,10330
11/18/2021 17H,10391
11/18/2021 16H,10728
11/18/2021 15H,9578
11/18/2021 14H,8582
11/18/2021 13H,7525
11/18/2021 12H,5681
11/18/2021 11H,4224
11/18/2021 10H,3788
11/18/2021 09H,3227
11/18/2021 08H,2859
11/18/2021 07H,2474
11/18/2021 06H,2277
11/18/2021 05H,2280
11/18/2021 04H,2447
11/18/2021 03H,2461
11/18/2021 02H,2569
11/18/2021 01H,2867
11/18/2021 00H,3402
11/17/2021 23H,2942
11/17/2021 22H,2498
11/17/2021 21H,2311
11/17/2021 20H,2401
11/17/2021 19H,2150
11/17/2021 18H,2275
11/17/2021 17H,2267
11/17/2021 16H,2346
11/17/2021 15H,2296
11/17/2021 14H,2162
11/17/2021 13H,2251
11/17/2021 12H,1865
11/17/2021 11H,1548
11/17/2021 10H,1502
11/17/2021 09H,1448
11/17/2021 08H,1450
11/17/2021 07H,1378
11/17/2021 06H,1467
11/17/2021 05H,1938
11/17/2021 04H,2197
11/17/2021 03H,2498
11/17/2021 02H,2787
11/17/2021 01H,2722
11/17/2021 00H,2624
11/16/2021 23H,2685
11/16/2021 22H,2736
11/16/2021 21H,2753
11/16/2021 20H,2491
11/16/2021 19H,2531
11/16/2021 18H,3096
11/16/2021 17H,3257
11/16/2021 16H,3214
11/16/2021 15H,2745
11/16/2021 14H,2659
11/16/2021 13H,2573
11/16/2021 12H,2317
11/16/2021 11H,1918
11/16/2021 10H,1860
11/16/2021 09H,1808
11/16/2021 08H,1751
11/16/2021 07H,1714
11/16/2021 06H,1899
11/16/2021 05H,1971
11/16/2021 04H,2463
11/16/2021 03H,3474
11/16/2021 02H,4806
11/16/2021 01H,5894
11/16/2021 00H,7476
11/15/2021 23H,8901
11/15/2021 22H,8932
11/15/2021 21H,9191
11/15/2021 20H,8956
11/15/2021 19H,8525
11/15/2021 18H,7790
11/15/2021 17H,7408
11/15/2021 16H,6864
11/15/2021 15H,5102
11/15/2021 14H,4338
11/15/2021 13H,4030
11/15/2021 12H,3342
11/15/2021 11H,2415
11/15/2021 10H,2073
11/15/2021 09H,2088
11/15/2021 08H,2302
11/15/2021 07H,2231
11/15/2021 06H,2174
11/15/2021 05H,2339
11/15/2021 04H,3142
11/15/2021 03H,4106
11/15/2021 02H,5564
11/15/2021 01H,7185
11/15/2021 00H,8849
11/14/2021 23H,8037
11/14/2021 22H,7961
11/14/2021 21H,8007
11/14/2021 20H,7677
11/14/2021 19H,7802
11/14/2021 18H,7274
11/14/2021 17H,6110
11/14/2021 16H,6155
11/14/2021 15H,5863
11/14/2021 14H,4659
11/14/2021 13H,3959
11/14/2021 12H,3183
11/14/2021 11H,2650
11/14/2021 10H,2174
11/14/2021 09H,2115
11/14/2021 08H,2542
11/14/2021 07H,2374
11/14/2021 06H,2267
11/14/2021 05H,2443
11/14/2021 04H,1948
11/14/2021 03H,2119
11/14/2021 02H,2179
11/14/2021 01H,2779
11/14/2021 00H,3439
11/13/2021 23H,2897
11/13/2021 22H,2500
11/13/2021 21H,2184
11/13/2021 20H,2607
11/13/2021 19H,2873
11/13/2021 18H,4024
11/13/2021 17H,5248
11/13/2021 16H,6474
11/13/2021 15H,6266
11/13/2021 14H,6472
11/13/2021 13H,6644
11/13/2021 12H,6271
11/13/2021 11H,6281
11/13/2021 10H,6909
11/13/2021 09H,6329
11/13/2021 08H,6483
11/13/2021 07H,5388
11/13/2021 06H,5883
11/13/2021 05H,6655
11/13/2021 04H,6615
11/13/2021 03H,5935
11/13/2021 02H,5645
11/13/2021 01H,5402
11/13/2021 00H,5317
11/12/2021 23H,3939
11/12/2021 22H,3632
11/12/2021 21H,3398
11/12/2021 20H,2989
11/12/2021 19H,2785
11/12/2021 18H,2861
11/12/2021 17H,2650
11/12/2021 16H,2615
11/12/2021 15H,2671
11/12/2021 14H,2470
11/12/2021 13H,2506
11/12/2021 12H,2574
11/12/2021 11H,2334
11/12/2021 10H,2022
11/12/2021 09H,2032
11/12/2021 08H,2207
11/12/2021 07H,2223
11/12/2021 06H,2088
11/12/2021 05H,2198
11/12/2021 04H,2836
11/12/2021 03H,4323
11/12/2021 02H,6146
11/12/2021 01H,7093
11/12/2021 00H,7210
11/11/2021 23H,5569
11/11/2021 22H,4231
11/11/2021 21H,3937
11/11/2021 20H,4006
11/11/2021 19H,3868
11/11/2021 18H,4233
11/11/2021 17H,4579
11/11/2021 16H,4824
11/11/2021 15H,4032
11/11/2021 14H,2911
11/11/2021 13H,2734
11/11/2021 12H,2367
11/11/2021 11H,2204
11/11/2021 10H,2231
11/11/2021 09H,2182
11/11/2021 08H,2259
11/11/2021 07H,2180
11/11/2021 06H,2404
11/11/2021 05H,2476
11/11/2021 04H,2556
11/11/2021 03H,2361
11/11/2021 02H,2369
11/11/2021 01H,2443
11/11/2021 00H,2105
11/10/2021 23H,1939
11/10/2021 22H,1771
11/10/2021 21H,1860
11/10/2021 20H,1976
11/10/2021 19H,1879
11/10/2021 18H,1875
11/10/2021 17H,2112
11/10/2021 16H,2359
11/10/2021 15H,2007
11/10/2021 14H,2078
11/10/2021 13H,2008
11/10/2021 12H,1847
11/10/2021 11H,1712
11/10/2021 10H,1708
11/10/2021 09H,1714
11/10/2021 08H,1803
11/10/2021 07H,2321
11/10/2021 06H,2657
11/10/2021 05H,3438
11/10/2021 04H,4024
11/10/2021 03H,4851
11/10/2021 02H,5969
11/10/2021 01H,7231
11/10/2021 00H,8865
11/9/2021 23H,9037
11/9/2021 22H,8569
11/9/2021 21H,8583
11/9/2021 20H,7847
11/9/2021 19H,7705
11/9/2021 18H,7916
11/9/2021 17H,7750
11/9/2021 16H,8106
11/9/2021 15H,7479
11/9/2021 14H,6565
11/9/2021 13H,5670
11/9/2021 12H,4261
11/9/2021 11H,2964
11/9/2021 10H,2555
11/9/2021 09H,2514
11/9/2021 08H,2349
11/9/2021 07H,2307
11/9/2021 06H,2312
11/9/2021 05H,2404
11/9/2021 04H,2547
11/9/2021 03H,2926
11/9/2021 02H,3001
11/9/2021 01H,3794
11/9/2021 00H,4795
11/8/2021 23H,4477
11/8/2021 22H,3754
11/8/2021 21H,3377
11/8/2021 20H,3334
11/8/2021 19H,3365
11/8/2021 18H,3535
11/8/2021 17H,3773
11/8/2021 16H,3427
11/8/2021 15H,3079
11/8/2021 14H,2701
11/8/2021 13H,2452
11/8/2021 12H,2065
11/8/2021 11H,1474
11/8/2021 10H,1431
11/8/2021 09H,1461
11/8/2021 08H,1414
11/8/2021 07H,1383
11/8/2021 06H,1346
11/8/2021 05H,1331
11/8/2021 04H,1333
11/8/2021 03H,1316
11/8/2021 02H,1327
11/8/2021 01H,1455
11/8/2021 00H,1537
11/7/2021 23H,1550
11/7/2021 22H,1577
11/7/2021 21H,1704
11/7/2021 20H,1804
11/7/2021 19H,1860
11/7/2021 18H,1927
11/7/2021 17H,2424
11/7/2021 16H,2567
11/7/2021 15H,1985
11/7/2021 14H,1735
11/7/2021 13H,1608
11/7/2021 12H,1635
11/7/2021 11H,1660
11/7/2021 10H,1680
11/7/2021 09H,1671
11/7/2021 08H,1689
11/7/2021 07H,1633
11/7/2021 06H,1687
11/7/2021 05H,1754
11/7/2021 04H,1834
11/7/2021 03H,2029
11/7/2021 02H,2187
11/7/2021 01H,2357
11/7/2021 00H,2699
11/6/2021 23H,3443
11/6/2021 22H,3706
11/6/2021 21H,4225
11/6/2021 20H,4802
11/6/2021 19H,5564
11/6/2021 18H,7011
11/6/2021 17H,7367
11/6/2021 16H,7615
11/6/2021 15H,6274
11/6/2021 14H,5341
11/6/2021 13H,5098
11/6/2021 12H,4669
11/6/2021 11H,3857
11/6/2021 10H,3112
11/6/2021 09H,2696
11/6/2021 08H,2473
11/6/2021 07H,2531
