Net generation from petroleum for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.OIL.H
19:10:08 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.OIL.H megawatthours
11/19/2021 06H,0
11/19/2021 05H,0
11/19/2021 04H,0
11/19/2021 03H,0
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,0
11/18/2021 23H,0
11/18/2021 22H,9
11/18/2021 21H,0
11/18/2021 20H,0
11/18/2021 19H,0
11/18/2021 18H,1
11/18/2021 17H,15
11/18/2021 16H,64
11/18/2021 15H,1
11/18/2021 14H,0
11/18/2021 13H,0
11/18/2021 12H,0
11/18/2021 11H,0
11/18/2021 10H,0
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,0
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,0
11/18/2021 03H,0
11/18/2021 02H,0
11/18/2021 01H,0
11/18/2021 00H,0
11/17/2021 23H,0
11/17/2021 22H,0
11/17/2021 21H,0
11/17/2021 20H,0
11/17/2021 19H,0
11/17/2021 18H,0
11/17/2021 17H,0
11/17/2021 16H,0
11/17/2021 15H,0
11/17/2021 14H,0
11/17/2021 13H,0
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,0
11/17/2021 09H,0
11/17/2021 08H,0
11/17/2021 07H,0
11/17/2021 06H,0
11/17/2021 05H,0
11/17/2021 04H,0
11/17/2021 03H,0
11/17/2021 02H,0
11/17/2021 01H,0
11/17/2021 00H,0
11/16/2021 23H,0
11/16/2021 22H,0
11/16/2021 21H,0
11/16/2021 20H,0
11/16/2021 19H,0
11/16/2021 18H,0
11/16/2021 17H,0
11/16/2021 16H,3
11/16/2021 15H,6
11/16/2021 14H,0
11/16/2021 13H,0
11/16/2021 12H,0
11/16/2021 11H,0
11/16/2021 10H,0
11/16/2021 09H,0
11/16/2021 08H,0
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,0
11/16/2021 04H,0
11/16/2021 03H,0
11/16/2021 02H,0
11/16/2021 01H,32
11/16/2021 00H,54
11/15/2021 23H,54
11/15/2021 22H,54
11/15/2021 21H,54
11/15/2021 20H,111
11/15/2021 19H,123
11/15/2021 18H,106
11/15/2021 17H,79
11/15/2021 16H,13
11/15/2021 15H,0
11/15/2021 14H,0
11/15/2021 13H,0
11/15/2021 12H,0
11/15/2021 11H,0
11/15/2021 10H,0
11/15/2021 09H,0
11/15/2021 08H,0
11/15/2021 07H,0
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,0
11/15/2021 02H,81
11/15/2021 01H,94
11/15/2021 00H,150
11/14/2021 23H,94
11/14/2021 22H,13
11/14/2021 21H,0
11/14/2021 20H,0
11/14/2021 19H,0
11/14/2021 18H,0
11/14/2021 17H,0
11/14/2021 16H,0
11/14/2021 15H,0
11/14/2021 14H,6
11/14/2021 13H,12
11/14/2021 12H,14
11/14/2021 11H,0
11/14/2021 10H,0
11/14/2021 09H,0
11/14/2021 08H,0
11/14/2021 07H,0
11/14/2021 06H,0
11/14/2021 05H,0
11/14/2021 04H,0
11/14/2021 03H,0
11/14/2021 02H,0
11/14/2021 01H,0
11/14/2021 00H,0
11/13/2021 23H,0
11/13/2021 22H,0
11/13/2021 21H,0
11/13/2021 20H,0
11/13/2021 19H,0
11/13/2021 18H,0
11/13/2021 17H,0
11/13/2021 16H,0
11/13/2021 15H,5
11/13/2021 14H,13
11/13/2021 13H,9
11/13/2021 12H,8
11/13/2021 11H,14
11/13/2021 10H,24
11/13/2021 09H,23
11/13/2021 08H,23
11/13/2021 07H,12
11/13/2021 06H,12
11/13/2021 05H,12
11/13/2021 04H,21
11/13/2021 03H,12
11/13/2021 02H,12
11/13/2021 01H,12
11/13/2021 00H,30
11/12/2021 23H,13
11/12/2021 22H,13
11/12/2021 21H,13
11/12/2021 20H,11
11/12/2021 19H,3
11/12/2021 18H,3
11/12/2021 17H,3
11/12/2021 16H,16
11/12/2021 15H,13
11/12/2021 14H,19
11/12/2021 13H,21
11/12/2021 12H,0
11/12/2021 11H,0
11/12/2021 10H,0
11/12/2021 09H,0
11/12/2021 08H,0
11/12/2021 07H,0
11/12/2021 06H,0
11/12/2021 05H,0
11/12/2021 04H,74
11/12/2021 03H,91
11/12/2021 02H,95
