Net generation from coal for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.COL.H
19:12:31 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.COL.H megawatthours
11/19/2021 05H,12033
11/19/2021 04H,13074
11/19/2021 03H,13759
11/19/2021 02H,14087
11/19/2021 01H,14190
11/19/2021 00H,14232
11/18/2021 23H,14242
11/18/2021 22H,13539
11/18/2021 21H,13587
11/18/2021 20H,13142
11/18/2021 19H,13014
11/18/2021 18H,13654
11/18/2021 17H,13320
11/18/2021 16H,13426
11/18/2021 15H,13458
11/18/2021 14H,13314
11/18/2021 13H,13473
11/18/2021 12H,13930
11/18/2021 11H,12508
11/18/2021 10H,11776
11/18/2021 09H,11762
11/18/2021 08H,11544
11/18/2021 07H,11311
11/18/2021 06H,11724
11/18/2021 05H,12911
11/18/2021 04H,12877
11/18/2021 03H,13919
11/18/2021 02H,14675
11/18/2021 01H,14455
11/18/2021 00H,14604
11/17/2021 23H,15510
11/17/2021 22H,14916
11/17/2021 21H,14626
11/17/2021 20H,14248
11/17/2021 19H,14211
11/17/2021 18H,14228
11/17/2021 17H,14110
11/17/2021 16H,14054
11/17/2021 15H,14101
11/17/2021 14H,13925
11/17/2021 13H,14126
11/17/2021 12H,14190
11/17/2021 11H,13452
11/17/2021 10H,12835
11/17/2021 09H,12777
11/17/2021 08H,12466
11/17/2021 07H,12214
11/17/2021 06H,12726
11/17/2021 05H,16369
11/17/2021 04H,13443
11/17/2021 03H,14413
11/17/2021 02H,14826
11/17/2021 01H,14810
11/17/2021 00H,15087
11/16/2021 23H,15304
11/16/2021 22H,15331
11/16/2021 21H,15301
11/16/2021 20H,15649
11/16/2021 19H,15812
11/16/2021 18H,16308
11/16/2021 17H,16380
11/16/2021 16H,16562
11/16/2021 15H,16761
11/16/2021 14H,16758
11/16/2021 13H,17051
11/16/2021 12H,17465
11/16/2021 11H,16661
11/16/2021 10H,15983
11/16/2021 09H,15767
11/16/2021 08H,15417
11/16/2021 07H,15438
11/16/2021 06H,15340
11/16/2021 05H,12824
11/16/2021 04H,17051
11/16/2021 03H,17430
11/16/2021 02H,17588
11/16/2021 01H,17397
11/16/2021 00H,17606
11/15/2021 23H,17735
11/15/2021 22H,17308
11/15/2021 21H,16775
11/15/2021 20H,16898
11/15/2021 19H,16340
11/15/2021 18H,16688
11/15/2021 17H,16624
11/15/2021 16H,16890
11/15/2021 15H,16721
11/15/2021 14H,16459
11/15/2021 13H,16143
11/15/2021 12H,15187
11/15/2021 11H,14205
11/15/2021 10H,13600
11/15/2021 09H,13179
11/15/2021 08H,12871
11/15/2021 07H,12594
11/15/2021 06H,12642
11/15/2021 05H,11657
11/15/2021 04H,13010
11/15/2021 03H,13521
11/15/2021 02H,13503
11/15/2021 01H,13669
11/15/2021 00H,13677
11/14/2021 23H,13386
11/14/2021 22H,13304
11/14/2021 21H,12747
11/14/2021 20H,12977
11/14/2021 19H,12950
11/14/2021 18H,12966
11/14/2021 17H,13089
11/14/2021 16H,13240
11/14/2021 15H,13123
11/14/2021 14H,12712
11/14/2021 13H,12461
11/14/2021 12H,12175
11/14/2021 11H,11870
11/14/2021 10H,11674
11/14/2021 09H,11613
11/14/2021 08H,11464
11/14/2021 07H,11223
11/14/2021 06H,11274
11/14/2021 05H,11635
11/14/2021 04H,12364
11/14/2021 03H,12699
11/14/2021 02H,12845
11/14/2021 01H,12926
11/14/2021 00H,12938
11/13/2021 23H,12941
11/13/2021 22H,12714
11/13/2021 21H,12485
11/13/2021 20H,12562
11/13/2021 19H,12413
11/13/2021 18H,12400
11/13/2021 17H,12508
11/13/2021 16H,12711
11/13/2021 15H,12627
11/13/2021 14H,12433
11/13/2021 13H,12204
11/13/2021 12H,11768
11/13/2021 11H,11368
11/13/2021 10H,11185
11/13/2021 09H,11148
11/13/2021 08H,11037
11/13/2021 07H,11091
11/13/2021 06H,11087
11/13/2021 05H,11459
11/13/2021 04H,11827
11/13/2021 03H,12480
11/13/2021 02H,12718
11/13/2021 01H,12685
11/13/2021 00H,12550
11/12/2021 23H,12634
11/12/2021 22H,12535
11/12/2021 21H,13603
11/12/2021 20H,13408
11/12/2021 19H,13342
11/12/2021 18H,13208
11/12/2021 17H,13438
11/12/2021 16H,13527
11/12/2021 15H,13395
11/12/2021 14H,13416
11/12/2021 13H,13214
11/12/2021 12H,12818
11/12/2021 11H,12357
11/12/2021 10H,11400
11/12/2021 09H,10105
11/12/2021 08H,9892
11/12/2021 07H,10431
11/12/2021 06H,11212
11/12/2021 05H,12532
11/12/2021 04H,12507
11/12/2021 03H,13291
11/12/2021 02H,13583
11/12/2021 01H,13662
11/12/2021 00H,13720
11/11/2021 23H,14160
11/11/2021 22H,13908
11/11/2021 21H,13699
11/11/2021 20H,13726
11/11/2021 19H,13525
11/11/2021 18H,13733
11/11/2021 17H,13744
11/11/2021 16H,13828
11/11/2021 15H,13588
11/11/2021 14H,13417
11/11/2021 13H,13409
11/11/2021 12H,13143
11/11/2021 11H,12844
11/11/2021 10H,11854
11/11/2021 09H,10646
11/11/2021 08H,10462
11/11/2021 07H,10562
11/11/2021 06H,11054
11/11/2021 05H,12779
11/11/2021 04H,13454
11/11/2021 03H,14210
11/11/2021 02H,14441
11/11/2021 01H,14565
11/11/2021 00H,14754
11/10/2021 23H,14727
11/10/2021 22H,14212
11/10/2021 21H,14294
11/10/2021 20H,14689
11/10/2021 19H,14761
11/10/2021 18H,14831
11/10/2021 17H,14641
11/10/2021 16H,14371
11/10/2021 15H,14206
11/10/2021 14H,13969
11/10/2021 13H,14065
11/10/2021 12H,14028
11/10/2021 11H,13742
11/10/2021 10H,13138
11/10/2021 09H,12530
11/10/2021 08H,12001
11/10/2021 07H,11944
11/10/2021 06H,12329
11/10/2021 05H,13013
11/10/2021 04H,13208
11/10/2021 03H,13988
11/10/2021 02H,14604
11/10/2021 01H,14766
11/10/2021 00H,14656
11/9/2021 23H,14840
11/9/2021 22H,14724
11/9/2021 21H,14246
11/9/2021 20H,14671
11/9/2021 19H,14138
11/9/2021 18H,14383
11/9/2021 17H,14457
11/9/2021 16H,14562
11/9/2021 15H,14346
11/9/2021 14H,14594
11/9/2021 13H,14373
11/9/2021 12H,14128
11/9/2021 11H,13571
11/9/2021 10H,12896
11/9/2021 09H,12427
11/9/2021 08H,12088
11/9/2021 07H,12091
11/9/2021 06H,12390
11/9/2021 05H,11500
11/9/2021 04H,13585
11/9/2021 03H,14246
11/9/2021 02H,14464
11/9/2021 01H,14491
11/9/2021 00H,14348
11/8/2021 23H,14215
11/8/2021 22H,13867
11/8/2021 21H,13852
11/8/2021 20H,13860
11/8/2021 19H,13833
11/8/2021 18H,13751
11/8/2021 17H,13599
11/8/2021 16H,13505
11/8/2021 15H,13228
11/8/2021 14H,13141
11/8/2021 13H,13034
11/8/2021 12H,13014
11/8/2021 11H,12700
11/8/2021 10H,12362
11/8/2021 09H,12147
11/8/2021 08H,12125
11/8/2021 07H,12220
11/8/2021 06H,11841
11/8/2021 05H,11620
11/8/2021 04H,10914
11/8/2021 03H,11887
11/8/2021 02H,11860
11/8/2021 01H,11899
11/8/2021 00H,11827
11/7/2021 23H,11894
11/7/2021 22H,12051
11/7/2021 21H,11226
11/7/2021 20H,11061
11/7/2021 19H,11283
11/7/2021 18H,11437
11/7/2021 17H,11621
11/7/2021 16H,11694
11/7/2021 15H,11755
11/7/2021 14H,11672
11/7/2021 13H,11953
11/7/2021 12H,11745
11/7/2021 11H,11054
11/7/2021 10H,10908
11/7/2021 09H,11096
11/7/2021 08H,11108
11/7/2021 07H,11145
11/7/2021 06H,10980
11/7/2021 05H,11027
11/7/2021 04H,12632
11/7/2021 03H,10910
11/7/2021 02H,11035
11/7/2021 01H,10956
11/7/2021 00H,11582
11/6/2021 23H,11366
11/6/2021 22H,11077
11/6/2021 21H,10936
11/6/2021 20H,10593
11/6/2021 19H,10371
11/6/2021 18H,10306
11/6/2021 17H,10258
11/6/2021 16H,10602
11/6/2021 15H,11028
11/6/2021 14H,11364
11/6/2021 13H,11902
11/6/2021 12H,12113
11/6/2021 11H,11527
11/6/2021 10H,11612
11/6/2021 09H,11319
11/6/2021 08H,11373
11/6/2021 07H,11263
11/6/2021 06H,11487
11/6/2021 05H,11586
11/6/2021 04H,12460
11/6/2021 03H,13289
11/6/2021 02H,13883
11/6/2021 01H,14010
11/6/2021 00H,13951
11/5/2021 23H,13752
11/5/2021 22H,13569
11/5/2021 21H,13325
11/5/2021 20H,13117
11/5/2021 19H,13221
11/5/2021 18H,13284
11/5/2021 17H,13446
11/5/2021 16H,13352
11/5/2021 15H,13748
11/5/2021 14H,14142
11/5/2021 13H,14607
11/5/2021 12H,14899
11/5/2021 11H,14482
11/5/2021 10H,13131
11/5/2021 09H,12587
11/5/2021 08H,12409
11/5/2021 07H,12151
11/5/2021 06H,12063
11/5/2021 05H,11786
11/5/2021 04H,13053
11/5/2021 03H,12583
11/5/2021 02H,12699
11/5/2021 01H,13122
11/5/2021 00H,13617
11/4/2021 23H,13960
11/4/2021 22H,13286
11/4/2021 21H,13071
11/4/2021 20H,13112
11/4/2021 19H,13164
11/4/2021 18H,13085
11/4/2021 17H,12949
11/4/2021 16H,12952
11/4/2021 15H,13413
11/4/2021 14H,14034
11/4/2021 13H,14364
11/4/2021 12H,14513
11/4/2021 11H,13640
11/4/2021 10H,12454
11/4/2021 09H,11802
11/4/2021 08H,12137
11/4/2021 07H,12431
11/4/2021 06H,12817
11/4/2021 05H,12729
11/4/2021 04H,12666
11/4/2021 03H,13346
11/4/2021 02H,13163
11/4/2021 01H,13415
11/4/2021 00H,13270
11/3/2021 23H,13449
11/3/2021 22H,13835
11/3/2021 21H,13675
11/3/2021 20H,13174
11/3/2021 19H,13338
11/3/2021 18H,13825
11/3/2021 17H,13702
11/3/2021 16H,13851
11/3/2021 15H,13880
11/3/2021 14H,13774
11/3/2021 13H,14220
11/3/2021 12H,14150
11/3/2021 11H,13466
11/3/2021 10H,12355
11/3/2021 09H,11820
11/3/2021 08H,11907
11/3/2021 07H,12325
11/3/2021 06H,12536
11/3/2021 05H,12182
11/3/2021 04H,12172
11/3/2021 03H,13537
11/3/2021 02H,13904
11/3/2021 01H,13841
11/3/2021 00H,13834
11/2/2021 23H,13928
11/2/2021 22H,13158
11/2/2021 21H,12693
11/2/2021 20H,12785
11/2/2021 19H,12853
11/2/2021 18H,12892
11/2/2021 17H,12896
11/2/2021 16H,12959
11/2/2021 15H,13316
11/2/2021 14H,13130
11/2/2021 13H,13103
11/2/2021 12H,12992
11/2/2021 11H,12208
11/2/2021 10H,11353
11/2/2021 09H,11041
11/2/2021 08H,10893
11/2/2021 07H,10924
11/2/2021 06H,10776
11/2/2021 05H,11342
11/2/2021 04H,10207
11/2/2021 03H,13081
11/2/2021 02H,13225
11/2/2021 01H,13304
11/2/2021 00H,13343
11/1/2021 23H,13635
11/1/2021 22H,13716
11/1/2021 21H,13370
11/1/2021 20H,13268
11/1/2021 19H,13247
11/1/2021 18H,13493
11/1/2021 17H,13512
11/1/2021 16H,13308
11/1/2021 15H,13202
11/1/2021 14H,13166
11/1/2021 13H,13045
11/1/2021 12H,12972
11/1/2021 11H,12397
11/1/2021 10H,11368
11/1/2021 09H,10674
11/1/2021 08H,10425
11/1/2021 07H,10343
11/1/2021 06H,10128
11/1/2021 05H,10036
11/1/2021 04H,10482
11/1/2021 03H,10923
11/1/2021 02H,10868
11/1/2021 01H,10941
11/1/2021 00H,10943
10/31/2021 23H,10851
10/31/2021 22H,10576
10/31/2021 21H,10491
10/31/2021 20H,10370
10/31/2021 19H,10319
10/31/2021 18H,10801
10/31/2021 17H,10635
10/31/2021 16H,10513
10/31/2021 15H,10511
10/31/2021 14H,10387
10/31/2021 13H,10277
10/31/2021 12H,10251
10/31/2021 11H,10255
