Net generation from natural gas for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NG.H
19:12:44 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NG.H megawatthours
11/19/2021 05H,25915
11/19/2021 04H,30694
11/19/2021 03H,32497
11/19/2021 02H,35230
11/19/2021 01H,37338
11/19/2021 00H,37768
11/18/2021 23H,38787
11/18/2021 22H,38022
11/18/2021 21H,35186
11/18/2021 20H,33209
11/18/2021 19H,32780
11/18/2021 18H,33279
11/18/2021 17H,32724
11/18/2021 16H,32007
11/18/2021 15H,30806
11/18/2021 14H,32703
11/18/2021 13H,33640
11/18/2021 12H,34414
11/18/2021 11H,31469
11/18/2021 10H,28026
11/18/2021 09H,25554
11/18/2021 08H,24920
11/18/2021 07H,23707
11/18/2021 06H,24414
11/18/2021 05H,29861
11/18/2021 04H,26945
11/18/2021 03H,28885
11/18/2021 02H,33615
11/18/2021 01H,35498
11/18/2021 00H,35998
11/17/2021 23H,37364
11/17/2021 22H,37922
11/17/2021 21H,35502
11/17/2021 20H,33643
11/17/2021 19H,33000
11/17/2021 18H,33627
11/17/2021 17H,33265
11/17/2021 16H,34040
11/17/2021 15H,34923
11/17/2021 14H,35672
11/17/2021 13H,37078
11/17/2021 12H,38248
11/17/2021 11H,35250
11/17/2021 10H,31431
11/17/2021 09H,29410
11/17/2021 08H,29028
11/17/2021 07H,28638
11/17/2021 06H,29043
11/17/2021 05H,31771
11/17/2021 04H,30714
11/17/2021 03H,32854
11/17/2021 02H,35614
11/17/2021 01H,38220
11/17/2021 00H,40068
11/16/2021 23H,40997
11/16/2021 22H,40208
11/16/2021 21H,37014
11/16/2021 20H,35436
11/16/2021 19H,34838
11/16/2021 18H,34116
11/16/2021 17H,34161
11/16/2021 16H,36183
11/16/2021 15H,38524
11/16/2021 14H,39923
11/16/2021 13H,41535
11/16/2021 12H,44861
11/16/2021 11H,41064
11/16/2021 10H,36371
11/16/2021 09H,32520
11/16/2021 08H,31630
11/16/2021 07H,31539
11/16/2021 06H,31291
11/16/2021 05H,29705
11/16/2021 04H,33847
11/16/2021 03H,36924
11/16/2021 02H,39996
11/16/2021 01H,42469
