Net generation from nuclear for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.NUC.H
19:12:51 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.NUC.H megawatthours
11/19/2021 05H,31068
11/19/2021 04H,30319
11/19/2021 03H,30296
11/19/2021 02H,30283
11/19/2021 01H,30297
11/19/2021 00H,30258
11/18/2021 23H,30241
11/18/2021 22H,30250
11/18/2021 21H,30230
11/18/2021 20H,30222
11/18/2021 19H,30400
11/18/2021 18H,30490
11/18/2021 17H,30844
11/18/2021 16H,31186
11/18/2021 15H,31202
11/18/2021 14H,31109
11/18/2021 13H,31015
11/18/2021 12H,30955
11/18/2021 11H,30942
11/18/2021 10H,30929
11/18/2021 09H,30948
11/18/2021 08H,30919
11/18/2021 07H,31093
11/18/2021 06H,31066
11/18/2021 05H,32147
11/18/2021 04H,31067
11/18/2021 03H,31148
11/18/2021 02H,31159
11/18/2021 01H,31146
11/18/2021 00H,31132
11/17/2021 23H,31138
11/17/2021 22H,31151
11/17/2021 21H,31128
11/17/2021 20H,31123
11/17/2021 19H,31108
11/17/2021 18H,31110
11/17/2021 17H,31999
11/17/2021 16H,31967
11/17/2021 15H,31989
11/17/2021 14H,31774
11/17/2021 13H,31604
11/17/2021 12H,31456
11/17/2021 11H,31464
11/17/2021 10H,31665
11/17/2021 09H,31702
11/17/2021 08H,31943
11/17/2021 07H,32105
11/17/2021 06H,32176
11/17/2021 05H,30952
11/17/2021 04H,32164
11/17/2021 03H,32140
11/17/2021 02H,32150
11/17/2021 01H,32154
11/17/2021 00H,32142
11/16/2021 23H,32159
11/16/2021 22H,32137
11/16/2021 21H,32127
11/16/2021 20H,32098
11/16/2021 19H,32072
11/16/2021 18H,32009
11/16/2021 17H,31823
11/16/2021 16H,31586
11/16/2021 15H,31566
11/16/2021 14H,31551
11/16/2021 13H,31531
11/16/2021 12H,31265
11/16/2021 11H,31188
11/16/2021 10H,31184
11/16/2021 09H,31086
11/16/2021 08H,30994
11/16/2021 07H,30939
11/16/2021 06H,30911
11/16/2021 05H,30242
11/16/2021 04H,30839
11/16/2021 03H,30926
11/16/2021 02H,30777
11/16/2021 01H,30722
11/16/2021 00H,30768
11/15/2021 23H,30732
11/15/2021 22H,30700
11/15/2021 21H,30550
11/15/2021 20H,30554
11/15/2021 19H,30556
11/15/2021 18H,30555
11/15/2021 17H,30566
11/15/2021 16H,30549
11/15/2021 15H,30534
11/15/2021 14H,30542
11/15/2021 13H,30541
11/15/2021 12H,30518
11/15/2021 11H,30492
11/15/2021 10H,30459
11/15/2021 09H,30429
11/15/2021 08H,30422
11/15/2021 07H,30362
11/15/2021 06H,30294
11/15/2021 05H,30724
11/15/2021 04H,30209
11/15/2021 03H,30191
11/15/2021 02H,30184
11/15/2021 01H,30161
11/15/2021 00H,30150
11/14/2021 23H,30090
11/14/2021 22H,29999
11/14/2021 21H,29880
11/14/2021 20H,29793
11/14/2021 19H,29630
11/14/2021 18H,29494
11/14/2021 17H,29336
11/14/2021 16H,29229
11/14/2021 15H,29070
11/14/2021 14H,29044
11/14/2021 13H,28969
11/14/2021 12H,28929
11/14/2021 11H,28982
11/14/2021 10H,29827
11/14/2021 09H,30572
11/14/2021 08H,30747
