Net generation from nuclear for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NUC.H
19:14:23 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NUC.H megawatthours
11/19/2021 05H,11483
11/19/2021 04H,11481
11/19/2021 03H,11479
11/19/2021 02H,11476
11/19/2021 01H,11476
11/19/2021 00H,11474
11/18/2021 23H,11480
11/18/2021 22H,11478
11/18/2021 21H,11475
11/18/2021 20H,11475
11/18/2021 19H,11469
11/18/2021 18H,11467
11/18/2021 17H,11466
11/18/2021 16H,11468
11/18/2021 15H,11469
11/18/2021 14H,11464
11/18/2021 13H,11463
11/18/2021 12H,11468
11/18/2021 11H,11456
11/18/2021 10H,11453
11/18/2021 09H,11449
11/18/2021 08H,11446
11/18/2021 07H,11447
11/18/2021 06H,11447
11/18/2021 05H,11438
11/18/2021 04H,11430
11/18/2021 03H,11418
11/18/2021 02H,11414
11/18/2021 01H,11420
11/18/2021 00H,11416
11/17/2021 23H,11413
11/17/2021 22H,11413
11/17/2021 21H,11405
11/17/2021 20H,11405
11/17/2021 19H,11398
11/17/2021 18H,11398
11/17/2021 17H,11398
11/17/2021 16H,11399
11/17/2021 15H,11403
11/17/2021 14H,11409
11/17/2021 13H,11412
11/17/2021 12H,11417
11/17/2021 11H,11418
11/17/2021 10H,11423
11/17/2021 09H,11427
11/17/2021 08H,11428
11/17/2021 07H,11430
11/17/2021 06H,11429
11/17/2021 05H,11425
11/17/2021 04H,11423
11/17/2021 03H,11417
11/17/2021 02H,11412
11/17/2021 01H,11411
11/17/2021 00H,11414
11/16/2021 23H,11412
11/16/2021 22H,11412
11/16/2021 21H,11413
11/16/2021 20H,11406
11/16/2021 19H,11429
11/16/2021 18H,11438
11/16/2021 17H,11451
11/16/2021 16H,11479
11/16/2021 15H,11467
11/16/2021 14H,11470
11/16/2021 13H,11471
11/16/2021 12H,11470
11/16/2021 11H,11475
11/16/2021 10H,11476
11/16/2021 09H,11473
11/16/2021 08H,11473
11/16/2021 07H,11472
11/16/2021 06H,11467
11/16/2021 05H,11459
11/16/2021 04H,11455
11/16/2021 03H,11447
11/16/2021 02H,11455
11/16/2021 01H,11453
11/16/2021 00H,11453
11/15/2021 23H,11445
11/15/2021 22H,11447
11/15/2021 21H,11447
11/15/2021 20H,11452
11/15/2021 19H,11455
11/15/2021 18H,11460
11/15/2021 17H,11471
11/15/2021 16H,11480
11/15/2021 15H,11480
11/15/2021 14H,11482
11/15/2021 13H,11480
11/15/2021 12H,11462
11/15/2021 11H,11400
11/15/2021 10H,11354
11/15/2021 09H,11356
11/15/2021 08H,11356
11/15/2021 07H,11370
11/15/2021 06H,11393
11/15/2021 05H,11401
11/15/2021 04H,11442
11/15/2021 03H,11643
11/15/2021 02H,11752
11/15/2021 01H,11747
11/15/2021 00H,11751
11/14/2021 23H,11751
11/14/2021 22H,11746
11/14/2021 21H,11751
11/14/2021 20H,11750
11/14/2021 19H,11750
11/14/2021 18H,11750
11/14/2021 17H,11753
11/14/2021 16H,11758
11/14/2021 15H,11763
11/14/2021 14H,11767
11/14/2021 13H,11768
11/14/2021 12H,11775
11/14/2021 11H,11746
11/14/2021 10H,11668
11/14/2021 09H,11634
11/14/2021 08H,11637
11/14/2021 07H,11647
11/14/2021 06H,11701
11/14/2021 05H,11766
11/14/2021 04H,11764
11/14/2021 03H,11762
11/14/2021 02H,11762
11/14/2021 01H,11758
11/14/2021 00H,11756
11/13/2021 23H,11749
11/13/2021 22H,11750
11/13/2021 21H,11749
11/13/2021 20H,11750
11/13/2021 19H,11752
11/13/2021 18H,11752
11/13/2021 17H,11750
11/13/2021 16H,11753
11/13/2021 15H,11758
11/13/2021 14H,11767
11/13/2021 13H,11774
11/13/2021 12H,11768
11/13/2021 11H,11770
11/13/2021 10H,11771
11/13/2021 09H,11766
11/13/2021 08H,11766
11/13/2021 07H,11764
11/13/2021 06H,11763
11/13/2021 05H,11761
11/13/2021 04H,11757
11/13/2021 03H,11754
11/13/2021 02H,11752
11/13/2021 01H,11752
11/13/2021 00H,11746
11/12/2021 23H,11742
11/12/2021 22H,11742
11/12/2021 21H,11740
11/12/2021 20H,11744
11/12/2021 19H,11747
11/12/2021 18H,11747
11/12/2021 17H,11750
11/12/2021 16H,11751
11/12/2021 15H,11764
11/12/2021 14H,11761
11/12/2021 13H,11755
11/12/2021 12H,11754
11/12/2021 11H,11755
11/12/2021 10H,11752
11/12/2021 09H,11750
11/12/2021 08H,11748
11/12/2021 07H,11742
11/12/2021 06H,11722
11/12/2021 05H,11708
11/12/2021 04H,11734
11/12/2021 03H,11727
11/12/2021 02H,11727
11/12/2021 01H,11720
11/12/2021 00H,11716
11/11/2021 23H,11715
11/11/2021 22H,11709
11/11/2021 21H,11710
11/11/2021 20H,11705
11/11/2021 19H,11707
11/11/2021 18H,11703
11/11/2021 17H,11704
11/11/2021 16H,11710
11/11/2021 15H,11711
11/11/2021 14H,11713
11/11/2021 13H,11711
11/11/2021 12H,11714
11/11/2021 11H,11663
11/11/2021 10H,11597
11/11/2021 09H,11567
11/11/2021 08H,11567
11/11/2021 07H,11598
11/11/2021 06H,11678
11/11/2021 05H,11712
11/11/2021 04H,11707
11/11/2021 03H,11706
11/11/2021 02H,11706
11/11/2021 01H,11701
11/11/2021 00H,11706
11/10/2021 23H,11710
11/10/2021 22H,11706
11/10/2021 21H,11713
11/10/2021 20H,11713
11/10/2021 19H,11713
11/10/2021 18H,11724
11/10/2021 17H,11728
11/10/2021 16H,11737
11/10/2021 15H,11748
11/10/2021 14H,11748
11/10/2021 13H,11746
11/10/2021 12H,11746
11/10/2021 11H,11744
11/10/2021 10H,11745
11/10/2021 09H,11740
11/10/2021 08H,11743
11/10/2021 07H,11743
11/10/2021 06H,11743
11/10/2021 05H,11740
11/10/2021 04H,11739
11/10/2021 03H,11737
11/10/2021 02H,11730
11/10/2021 01H,11727
11/10/2021 00H,11724
11/9/2021 23H,11725
11/9/2021 22H,11722
11/9/2021 21H,11723
11/9/2021 20H,11726
11/9/2021 19H,11728
11/9/2021 18H,11724
11/9/2021 17H,11727
11/9/2021 16H,11731
11/9/2021 15H,11738
11/9/2021 14H,11741
11/9/2021 13H,11739
11/9/2021 12H,11741
11/9/2021 11H,11742
11/9/2021 10H,11739
11/9/2021 09H,11737
11/9/2021 08H,11736
11/9/2021 07H,11732
11/9/2021 06H,11729
11/9/2021 05H,11727
11/9/2021 04H,11720
11/9/2021 03H,11717
11/9/2021 02H,11712
11/9/2021 01H,11710
11/9/2021 00H,11708
11/8/2021 23H,11704
11/8/2021 22H,11705
11/8/2021 21H,11713
11/8/2021 20H,11715
11/8/2021 19H,11721
11/8/2021 18H,11721
11/8/2021 17H,11722
11/8/2021 16H,11737
11/8/2021 15H,11747
11/8/2021 14H,11749
11/8/2021 13H,11747
11/8/2021 12H,11751
11/8/2021 11H,11751
11/8/2021 10H,11750
11/8/2021 09H,11753
11/8/2021 08H,11743
11/8/2021 07H,11737
11/8/2021 06H,11732
11/8/2021 05H,11725
11/8/2021 04H,11715
11/8/2021 03H,11701
11/8/2021 02H,11691
11/8/2021 01H,11682
11/8/2021 00H,11678
11/7/2021 23H,11674
11/7/2021 22H,11673
11/7/2021 21H,11673
11/7/2021 20H,11682
11/7/2021 19H,11687
11/7/2021 18H,11694
11/7/2021 17H,11698
11/7/2021 16H,11703
11/7/2021 15H,11711
11/7/2021 14H,11713
11/7/2021 13H,11712
11/7/2021 12H,11712
11/7/2021 11H,11711
11/7/2021 10H,11706
11/7/2021 09H,11704
11/7/2021 08H,11697
11/7/2021 07H,11693
11/7/2021 06H,11683
11/7/2021 05H,11678
11/7/2021 04H,11670
11/7/2021 03H,11661
11/7/2021 02H,11657
11/7/2021 01H,11647
11/7/2021 00H,11643
11/6/2021 23H,11642
11/6/2021 22H,11637
11/6/2021 21H,11635
11/6/2021 20H,11635
11/6/2021 19H,11631
11/6/2021 18H,11629
11/6/2021 17H,11633
11/6/2021 16H,11633
11/6/2021 15H,11634
11/6/2021 14H,11629
11/6/2021 13H,11610
11/6/2021 12H,11593
11/6/2021 11H,11588
11/6/2021 10H,11592
11/6/2021 09H,11591
11/6/2021 08H,11592
11/6/2021 07H,11587
11/6/2021 06H,11583
11/6/2021 05H,11284
11/6/2021 04H,11317
11/6/2021 03H,11415
11/6/2021 02H,11413
11/6/2021 01H,11414
11/6/2021 00H,11411
11/5/2021 23H,11399
11/5/2021 22H,11377
11/5/2021 21H,11376
11/5/2021 20H,11378
11/5/2021 19H,11379
11/5/2021 18H,11387
11/5/2021 17H,11421
11/5/2021 16H,11428
11/5/2021 15H,11428
11/5/2021 14H,11428
11/5/2021 13H,11428
11/5/2021 12H,11407
11/5/2021 11H,11320
11/5/2021 10H,11247
11/5/2021 09H,11231
11/5/2021 08H,11214
11/5/2021 07H,11171
11/5/2021 06H,11284
11/5/2021 05H,11284
11/5/2021 04H,11317
11/5/2021 03H,11415
11/5/2021 02H,11413
11/5/2021 01H,11414
11/5/2021 00H,11411
11/4/2021 23H,11399
11/4/2021 22H,11377
11/4/2021 21H,11376
11/4/2021 20H,11378
11/4/2021 19H,11379
11/4/2021 18H,11387
11/4/2021 17H,11421
11/4/2021 16H,11428
11/4/2021 15H,11428
11/4/2021 14H,11428
11/4/2021 13H,11428
11/4/2021 12H,11407
11/4/2021 11H,11320
11/4/2021 10H,11247
11/4/2021 09H,11231
11/4/2021 08H,11214
11/4/2021 07H,11171
11/4/2021 06H,11230
11/4/2021 05H,11268
11/4/2021 04H,11266
11/4/2021 03H,11265
11/4/2021 02H,11259
11/4/2021 01H,11269
11/4/2021 00H,11269
11/3/2021 23H,11262
11/3/2021 22H,11198
11/3/2021 21H,11123
11/3/2021 20H,11117
11/3/2021 19H,11088
11/3/2021 18H,11079
11/3/2021 17H,11083
11/3/2021 16H,11079
11/3/2021 15H,11046
11/3/2021 14H,11040
11/3/2021 13H,11042
11/3/2021 12H,11056
11/3/2021 11H,11062
11/3/2021 10H,11047
11/3/2021 09H,11050
11/3/2021 08H,10950
11/3/2021 07H,10895
11/3/2021 06H,10869
11/3/2021 05H,10868
11/3/2021 04H,10875
11/3/2021 03H,10862
11/3/2021 02H,10876
11/3/2021 01H,10880
11/3/2021 00H,10882
11/2/2021 23H,10881
11/2/2021 22H,10905
11/2/2021 21H,10892
11/2/2021 20H,10897
11/2/2021 19H,10891
11/2/2021 18H,10858
11/2/2021 17H,10750
11/2/2021 16H,10725
11/2/2021 15H,10742
11/2/2021 14H,10752
11/2/2021 13H,10750
11/2/2021 12H,10755
11/2/2021 11H,10713
11/2/2021 10H,10596
11/2/2021 09H,10573
11/2/2021 08H,10575
