Net generation from hydro for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.WAT.H
19:18:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.WAT.H megawatthours
11/19/2021 07H,13677
11/19/2021 06H,15429
11/19/2021 05H,16656
11/19/2021 04H,17043
11/19/2021 03H,17417
11/19/2021 02H,17484
11/19/2021 01H,16585
11/19/2021 00H,18991
11/18/2021 23H,14821
11/18/2021 22H,14812
11/18/2021 21H,14577
11/18/2021 20H,14698
11/18/2021 19H,14261
11/18/2021 18H,14640
11/18/2021 17H,15032
11/18/2021 16H,15944
11/18/2021 15H,16005
11/18/2021 14H,13935
11/18/2021 13H,12675
11/18/2021 12H,12631
11/18/2021 11H,12860
11/18/2021 10H,12728
11/18/2021 09H,12983
11/18/2021 08H,13317
11/18/2021 07H,13901
11/18/2021 06H,15226
11/18/2021 05H,16124
11/18/2021 04H,16611
11/18/2021 03H,17049
11/18/2021 02H,16844
11/18/2021 01H,15447
11/18/2021 00H,14142
11/17/2021 23H,13480
11/17/2021 22H,13515
11/17/2021 21H,13648
11/17/2021 20H,13832
11/17/2021 19H,14628
11/17/2021 18H,15506
11/17/2021 17H,16107
11/17/2021 16H,16594
11/17/2021 15H,16619
11/17/2021 14H,14719
11/17/2021 13H,12442
11/17/2021 12H,12495
11/17/2021 11H,12324
11/17/2021 10H,12359
11/17/2021 09H,12285
11/17/2021 08H,13579
11/17/2021 07H,14389
11/17/2021 06H,15481
11/17/2021 05H,15990
11/17/2021 04H,16675
11/17/2021 03H,16985
11/17/2021 02H,16794
11/17/2021 01H,14794
11/17/2021 00H,12421
11/16/2021 23H,11448
11/16/2021 22H,10914
11/16/2021 21H,11119
11/16/2021 20H,11084
11/16/2021 19H,11682
11/16/2021 18H,12839
11/16/2021 17H,13942
11/16/2021 16H,15052
11/16/2021 15H,14816
11/16/2021 14H,12629
11/16/2021 13H,10828
11/16/2021 12H,10629
11/16/2021 11H,10512
11/16/2021 10H,10266
11/16/2021 09H,10529
11/16/2021 08H,11334
11/16/2021 07H,11958
11/16/2021 06H,13273
11/16/2021 05H,13726
11/16/2021 04H,14396
11/16/2021 03H,15440
11/16/2021 02H,16053
11/16/2021 01H,14723
11/16/2021 00H,12763
11/15/2021 23H,12158
11/15/2021 22H,11751
11/15/2021 21H,11745
11/15/2021 20H,12023
11/15/2021 19H,12134
11/15/2021 18H,12430
11/15/2021 17H,12488
11/15/2021 16H,12962
11/15/2021 15H,12875
11/15/2021 14H,11271
11/15/2021 13H,10302
11/15/2021 12H,9884
11/15/2021 11H,9971
11/15/2021 10H,9983
11/15/2021 09H,10124
11/15/2021 08H,10159
11/15/2021 07H,10680
11/15/2021 06H,11307
11/15/2021 05H,12227
11/15/2021 04H,12869
11/15/2021 03H,13216
11/15/2021 02H,13111
11/15/2021 01H,12149
11/15/2021 00H,11141
11/14/2021 23H,10575
11/14/2021 22H,10608
11/14/2021 21H,10895
11/14/2021 20H,11112
11/14/2021 19H,11398
11/14/2021 18H,11143
11/14/2021 17H,10583
11/14/2021 16H,10893
11/14/2021 15H,10374
11/14/2021 14H,9660
11/14/2021 13H,9335
11/14/2021 12H,9437
11/14/2021 11H,9556
11/14/2021 10H,9822
11/14/2021 09H,9911
11/14/2021 08H,10521
11/14/2021 07H,11535
11/14/2021 06H,13294
11/14/2021 05H,14712
11/14/2021 04H,15731
11/14/2021 03H,16427
11/14/2021 02H,16358
11/14/2021 01H,15348
11/14/2021 00H,12793
11/13/2021 23H,11698
11/13/2021 22H,11678
11/13/2021 21H,11708
11/13/2021 20H,11930
11/13/2021 19H,11967
11/13/2021 18H,11992
11/13/2021 17H,11508
11/13/2021 16H,10886
11/13/2021 15H,11491
11/13/2021 14H,10438
11/13/2021 13H,9081
11/13/2021 12H,9576
11/13/2021 11H,9449
11/13/2021 10H,9125
11/13/2021 09H,9709
11/13/2021 08H,9724
11/13/2021 07H,10745
11/13/2021 06H,12095
11/13/2021 05H,12822
11/13/2021 04H,14217
11/13/2021 03H,15321
11/13/2021 02H,14365
11/13/2021 01H,13748
11/13/2021 00H,11987
11/12/2021 23H,11699
11/12/2021 22H,12023
11/12/2021 21H,11963
11/12/2021 20H,12278
11/12/2021 19H,12009
11/12/2021 18H,12011
11/12/2021 17H,11905
11/12/2021 16H,12345
11/12/2021 15H,12445
11/12/2021 14H,10388
11/12/2021 13H,9436
11/12/2021 12H,9422
11/12/2021 11H,9592
11/12/2021 10H,9506
11/12/2021 09H,9688
11/12/2021 08H,10573
11/12/2021 07H,11719
11/12/2021 06H,13339
11/12/2021 05H,14545
11/12/2021 04H,15500
11/12/2021 03H,16300
11/12/2021 02H,16512
11/12/2021 01H,15721
11/12/2021 00H,14406
11/11/2021 23H,12727
11/11/2021 22H,12556
11/11/2021 21H,12740
11/11/2021 20H,12677
11/11/2021 19H,13162
11/11/2021 18H,13207
11/11/2021 17H,13736
11/11/2021 16H,13898
11/11/2021 15H,14120
11/11/2021 14H,11881
11/11/2021 13H,10510
11/11/2021 12H,10187
11/11/2021 11H,10323
11/11/2021 10H,10763
11/11/2021 09H,11081
11/11/2021 08H,11466
11/11/2021 07H,12321
11/11/2021 06H,13889
11/11/2021 05H,14806
11/11/2021 04H,15736
11/11/2021 03H,16312
11/11/2021 02H,16348
11/11/2021 01H,14967
11/11/2021 00H,13318
11/10/2021 23H,11935
11/10/2021 22H,11799
11/10/2021 21H,11870
11/10/2021 20H,12003
11/10/2021 19H,12222
11/10/2021 18H,12919
11/10/2021 17H,13547
11/10/2021 16H,14409
11/10/2021 15H,14142
11/10/2021 14H,11457
11/10/2021 13H,9846
11/10/2021 12H,9505
11/10/2021 11H,9307
11/10/2021 10H,9395
11/10/2021 09H,9700
11/10/2021 08H,10440
11/10/2021 07H,11276
11/10/2021 06H,13180
11/10/2021 05H,14032
11/10/2021 04H,14876
11/10/2021 03H,15365
11/10/2021 02H,15101
11/10/2021 01H,14344
11/10/2021 00H,12375
11/9/2021 23H,11026
11/9/2021 22H,11042
11/9/2021 21H,10976
11/9/2021 20H,11107
11/9/2021 19H,11837
11/9/2021 18H,12473
11/9/2021 17H,13171
11/9/2021 16H,14636
11/9/2021 15H,14355
11/9/2021 14H,12174
11/9/2021 13H,11058
11/9/2021 12H,11054
11/9/2021 11H,10504
11/9/2021 10H,10346
11/9/2021 09H,10206
11/9/2021 08H,11290
11/9/2021 07H,11654
11/9/2021 06H,13458
11/9/2021 05H,14524
11/9/2021 04H,15102
11/9/2021 03H,15154
11/9/2021 02H,15477
11/9/2021 01H,14635
11/9/2021 00H,13540
11/8/2021 23H,12670
11/8/2021 22H,12801
11/8/2021 21H,12757
11/8/2021 20H,13260
11/8/2021 19H,13806
11/8/2021 18H,14290
11/8/2021 17H,14988
11/8/2021 16H,15579
11/8/2021 15H,15310
11/8/2021 14H,13167
11/8/2021 13H,11663
11/8/2021 12H,10893
11/8/2021 11H,10556
11/8/2021 10H,10544
11/8/2021 09H,10573
11/8/2021 08H,9702
11/8/2021 07H,10417
11/8/2021 06H,11882
11/8/2021 05H,12700
11/8/2021 04H,13862
11/8/2021 03H,14329
11/8/2021 02H,14099
11/8/2021 01H,12488
11/8/2021 00H,10956
11/7/2021 23H,9826
11/7/2021 22H,9681
