Net generation from coal for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.COL.H
19:20:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.COL.H megawatthours
11/19/2021 06H,4071
11/19/2021 05H,4069
11/19/2021 04H,4163
11/19/2021 03H,4279
11/19/2021 02H,4335
11/19/2021 01H,4536
11/19/2021 00H,4547
11/18/2021 23H,3918
11/18/2021 22H,4338
11/18/2021 21H,4231
11/18/2021 20H,3526
11/18/2021 19H,4166
11/18/2021 18H,4105
11/18/2021 17H,4044
11/18/2021 16H,3913
11/18/2021 15H,3729
11/18/2021 14H,3622
11/18/2021 13H,3713
11/18/2021 12H,3604
11/18/2021 11H,3792
11/18/2021 10H,3663
11/18/2021 09H,3660
11/18/2021 08H,3595
11/18/2021 07H,3654
11/18/2021 06H,3649
11/18/2021 05H,3611
11/18/2021 04H,3647
11/18/2021 03H,3646
11/18/2021 02H,3653
11/18/2021 01H,3875
11/18/2021 00H,3620
11/17/2021 23H,3615
11/17/2021 22H,4108
11/17/2021 21H,3816
11/17/2021 20H,3637
11/17/2021 19H,3721
11/17/2021 18H,3792
11/17/2021 17H,3882
11/17/2021 16H,3816
11/17/2021 15H,3737
11/17/2021 14H,3084
11/17/2021 13H,3556
11/17/2021 12H,3917
11/17/2021 11H,3632
11/17/2021 10H,3757
11/17/2021 09H,3791
11/17/2021 08H,3771
11/17/2021 07H,3796
11/17/2021 06H,3805
11/17/2021 05H,3907
11/17/2021 04H,3980
11/17/2021 03H,3931
11/17/2021 02H,4015
11/17/2021 01H,3949
11/17/2021 00H,4027
11/16/2021 23H,4277
11/16/2021 22H,4236
11/16/2021 21H,3876
11/16/2021 20H,3761
11/16/2021 19H,3721
11/16/2021 18H,3756
11/16/2021 17H,3843
11/16/2021 16H,3970
11/16/2021 15H,4026
11/16/2021 14H,4006
11/16/2021 13H,4119
11/16/2021 12H,4046
11/16/2021 11H,3900
11/16/2021 10H,3802
11/16/2021 09H,3797
11/16/2021 08H,3792
11/16/2021 07H,3762
11/16/2021 06H,3851
11/16/2021 05H,3963
11/16/2021 04H,4066
11/16/2021 03H,4042
11/16/2021 02H,3967
11/16/2021 01H,3737
11/16/2021 00H,3502
11/15/2021 23H,4071
11/15/2021 22H,3829
11/15/2021 21H,3781
11/15/2021 20H,3609
11/15/2021 19H,3607
11/15/2021 18H,3609
11/15/2021 17H,3621
11/15/2021 16H,3665
11/15/2021 15H,3843
11/15/2021 14H,4101
11/15/2021 13H,4289
11/15/2021 12H,4093
11/15/2021 11H,3950
11/15/2021 10H,3889
11/15/2021 09H,3889
11/15/2021 08H,3877
11/15/2021 07H,3780
11/15/2021 06H,3737
11/15/2021 05H,3865
11/15/2021 04H,4033
11/15/2021 03H,4074
11/15/2021 02H,4078
11/15/2021 01H,4240
11/15/2021 00H,4262
11/14/2021 23H,4014
11/14/2021 22H,3975
11/14/2021 21H,3975
11/14/2021 20H,3975
11/14/2021 19H,3961
11/14/2021 18H,3978
11/14/2021 17H,3939
11/14/2021 16H,3939
11/14/2021 15H,4017
11/14/2021 14H,4044
11/14/2021 13H,3935
11/14/2021 12H,3899
11/14/2021 11H,3830
11/14/2021 10H,3859
11/14/2021 09H,3854
11/14/2021 08H,3837
11/14/2021 07H,3827
11/14/2021 06H,3826
11/14/2021 05H,3945
11/14/2021 04H,3967
11/14/2021 03H,3939
11/14/2021 02H,3854
11/14/2021 01H,4080
11/14/2021 00H,4132
11/13/2021 23H,4084
11/13/2021 22H,4073
11/13/2021 21H,3834
11/13/2021 20H,3789
11/13/2021 19H,3778
11/13/2021 18H,3785
11/13/2021 17H,3779
11/13/2021 16H,3741
11/13/2021 15H,3637
11/13/2021 14H,3650
11/13/2021 13H,3639
11/13/2021 12H,3672
11/13/2021 11H,3640
11/13/2021 10H,3642
11/13/2021 09H,3632
11/13/2021 08H,3548
11/13/2021 07H,3540
11/13/2021 06H,3702
11/13/2021 05H,3697
11/13/2021 04H,3744
11/13/2021 03H,3718
11/13/2021 02H,3795
11/13/2021 01H,4236
11/13/2021 00H,4257
11/12/2021 23H,4142
11/12/2021 22H,3826
11/12/2021 21H,3801
11/12/2021 20H,3753
11/12/2021 19H,3744
11/12/2021 18H,3711
11/12/2021 17H,3694
11/12/2021 16H,3658
11/12/2021 15H,3511
11/12/2021 14H,3172
11/12/2021 13H,3402
11/12/2021 12H,3639
11/12/2021 11H,3572
11/12/2021 10H,3405
11/12/2021 09H,3340
11/12/2021 08H,3262
11/12/2021 07H,3360
11/12/2021 06H,3434
11/12/2021 05H,3565
11/12/2021 04H,3560
11/12/2021 03H,3575
11/12/2021 02H,3563
11/12/2021 01H,3558
11/12/2021 00H,3566
11/11/2021 23H,3564
11/11/2021 22H,3546
11/11/2021 21H,3565
11/11/2021 20H,3558
11/11/2021 19H,3562
11/11/2021 18H,3482
11/11/2021 17H,3499
11/11/2021 16H,3586
11/11/2021 15H,3655
11/11/2021 14H,3698
11/11/2021 13H,3712
11/11/2021 12H,3674
11/11/2021 11H,3610
11/11/2021 10H,3567
11/11/2021 09H,3530
11/11/2021 08H,3519
11/11/2021 07H,3561
11/11/2021 06H,3559
11/11/2021 05H,3580
11/11/2021 04H,3700
11/11/2021 03H,3719
11/11/2021 02H,3657
11/11/2021 01H,3224
11/11/2021 00H,3259
11/10/2021 23H,3611
11/10/2021 22H,3531
11/10/2021 21H,3468
11/10/2021 20H,3461
11/10/2021 19H,3472
11/10/2021 18H,3469
11/10/2021 17H,3500
11/10/2021 16H,3651
11/10/2021 15H,3732
11/10/2021 14H,3693
11/10/2021 13H,3051
11/10/2021 12H,3684
11/10/2021 11H,4002
11/10/2021 10H,3968
11/10/2021 09H,3985
11/10/2021 08H,3966
11/10/2021 07H,3939
11/10/2021 06H,3979
11/10/2021 05H,4049
11/10/2021 04H,4227
11/10/2021 03H,4264
11/10/2021 02H,4194
11/10/2021 01H,3943
11/10/2021 00H,4173
11/9/2021 23H,3840
11/9/2021 22H,3977
11/9/2021 21H,4090
11/9/2021 20H,4096
11/9/2021 19H,4090
11/9/2021 18H,4040
11/9/2021 17H,3967
11/9/2021 16H,3999
11/9/2021 15H,3961
11/9/2021 14H,3817
11/9/2021 13H,4442
11/9/2021 12H,4139
11/9/2021 11H,3724
11/9/2021 10H,4014
11/9/2021 09H,3925
11/9/2021 08H,3862
11/9/2021 07H,3817
11/9/2021 06H,3961
11/9/2021 05H,4058
11/9/2021 04H,4210
11/9/2021 03H,4248
11/9/2021 02H,4221
11/9/2021 01H,3892
11/9/2021 00H,4105
11/8/2021 23H,4026
11/8/2021 22H,3952
11/8/2021 21H,3928
11/8/2021 20H,3861
11/8/2021 19H,3857
11/8/2021 18H,3855
11/8/2021 17H,3849
11/8/2021 16H,3884
11/8/2021 15H,3494
11/8/2021 14H,3398
11/8/2021 13H,4196
11/8/2021 12H,4218
11/8/2021 11H,3839
11/8/2021 10H,3728
11/8/2021 09H,3851
11/8/2021 08H,3867
11/8/2021 07H,3877
11/8/2021 06H,3877
11/8/2021 05H,3883
11/8/2021 04H,3999
11/8/2021 03H,4159
11/8/2021 02H,4123
11/8/2021 01H,3967
11/8/2021 00H,3750
11/7/2021 23H,4364
11/7/2021 22H,4090
11/7/2021 21H,3788
11/7/2021 20H,3787
11/7/2021 19H,3793
11/7/2021 18H,3884
11/7/2021 17H,4007
11/7/2021 16H,4063
11/7/2021 15H,4184
11/7/2021 14H,4121
11/7/2021 13H,4071
11/7/2021 12H,4028
11/7/2021 11H,3908
11/7/2021 10H,3968
11/7/2021 09H,3858
11/7/2021 08H,3837
11/7/2021 07H,3626
11/7/2021 06H,3876
11/7/2021 05H,3950
11/7/2021 04H,4087
11/7/2021 03H,4080
11/7/2021 02H,3779
11/7/2021 01H,3286
11/7/2021 00H,3608
11/6/2021 23H,4201
11/6/2021 22H,4032
11/6/2021 21H,3981
11/6/2021 20H,3944
11/6/2021 19H,3953
11/6/2021 18H,3986
11/6/2021 17H,3887
11/6/2021 16H,3702
11/6/2021 15H,3660
11/6/2021 14H,3560
11/6/2021 13H,3504
11/6/2021 12H,3476
11/6/2021 11H,3357
11/6/2021 10H,3245
11/6/2021 09H,3832
11/6/2021 08H,3895
11/6/2021 07H,3664
11/6/2021 06H,3789
11/6/2021 05H,3788
11/6/2021 04H,4013
11/6/2021 03H,4286
11/6/2021 02H,4333
11/6/2021 01H,4306
11/6/2021 00H,4459
11/5/2021 23H,4184
11/5/2021 22H,4401
11/5/2021 21H,4278
11/5/2021 20H,4001
11/5/2021 19H,4014
11/5/2021 18H,4002
11/5/2021 17H,3989
11/5/2021 16H,4064
11/5/2021 15H,4244
11/5/2021 14H,4236
11/5/2021 13H,4185
11/5/2021 12H,4076
11/5/2021 11H,3733
11/5/2021 10H,3978
11/5/2021 09H,3856
11/5/2021 08H,3847
11/5/2021 07H,3848
11/5/2021 06H,3852
11/5/2021 05H,3813
11/5/2021 04H,3966
11/5/2021 03H,4185
11/5/2021 02H,4360
11/5/2021 01H,4437
11/5/2021 00H,4445
11/4/2021 23H,4325
11/4/2021 22H,4207
11/4/2021 21H,4189
11/4/2021 20H,4202
11/4/2021 19H,4224
11/4/2021 18H,4241
11/4/2021 17H,4237
11/4/2021 16H,4247
11/4/2021 15H,4234
11/4/2021 14H,4251
11/4/2021 13H,4230
11/4/2021 12H,4236
11/4/2021 11H,4178
11/4/2021 10H,3967
11/4/2021 09H,3876
11/4/2021 08H,3874
11/4/2021 07H,3836
11/4/2021 06H,3875
11/4/2021 05H,3843
11/4/2021 04H,3889
11/4/2021 03H,3864
11/4/2021 02H,4015
11/4/2021 01H,3865
11/4/2021 00H,4008
11/3/2021 23H,3794
11/3/2021 22H,3607
11/3/2021 21H,3522
11/3/2021 20H,3509
11/3/2021 19H,3522
11/3/2021 18H,3556
11/3/2021 17H,3559
11/3/2021 16H,3736
11/3/2021 15H,3752
11/3/2021 14H,3730
11/3/2021 13H,3697
11/3/2021 12H,3722
