Net generation from other for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.OTH.H
19:20:33 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.OTH.H megawatthours
11/19/2021 06H,69
11/19/2021 05H,69
11/19/2021 04H,68
11/19/2021 03H,71
11/19/2021 02H,69
11/19/2021 01H,65
11/19/2021 00H,57
11/18/2021 23H,46
11/18/2021 22H,35
11/18/2021 21H,24
11/18/2021 20H,19
11/18/2021 19H,19
11/18/2021 18H,21
11/18/2021 17H,22
11/18/2021 16H,17
11/18/2021 15H,17
11/18/2021 14H,17
11/18/2021 13H,17
11/18/2021 12H,16
11/18/2021 11H,14
11/18/2021 10H,15
11/18/2021 09H,15
11/18/2021 08H,15
11/18/2021 07H,14
11/18/2021 06H,12
11/18/2021 05H,12
11/18/2021 04H,13
11/18/2021 03H,15
11/18/2021 02H,15
11/18/2021 01H,15
11/18/2021 00H,16
11/17/2021 23H,16
11/17/2021 22H,15
11/17/2021 21H,14
11/17/2021 20H,14
11/17/2021 19H,14
11/17/2021 18H,13
11/17/2021 17H,13
11/17/2021 16H,13
11/17/2021 15H,15
11/17/2021 14H,16
11/17/2021 13H,16
11/17/2021 12H,16
11/17/2021 11H,14
11/17/2021 10H,14
11/17/2021 09H,15
11/17/2021 08H,13
11/17/2021 07H,12
11/17/2021 06H,14
11/17/2021 05H,14
11/17/2021 04H,14
11/17/2021 03H,16
11/17/2021 02H,17
11/17/2021 01H,16
11/17/2021 00H,17
11/16/2021 23H,15
11/16/2021 22H,14
11/16/2021 21H,14
11/16/2021 20H,15
11/16/2021 19H,15
11/16/2021 18H,16
11/16/2021 17H,14
11/16/2021 16H,14
11/16/2021 15H,14
11/16/2021 14H,16
11/16/2021 13H,16
11/16/2021 12H,16
11/16/2021 11H,15
11/16/2021 10H,15
11/16/2021 09H,15
11/16/2021 08H,15
11/16/2021 07H,14
11/16/2021 06H,13
11/16/2021 05H,13
11/16/2021 04H,14
11/16/2021 03H,15
11/16/2021 02H,16
11/16/2021 01H,16
11/16/2021 00H,16
11/15/2021 23H,14
11/15/2021 22H,15
11/15/2021 21H,15
11/15/2021 20H,15
11/15/2021 19H,15
11/15/2021 18H,14
11/15/2021 17H,14
11/15/2021 16H,15
11/15/2021 15H,15
11/15/2021 14H,18
11/15/2021 13H,18
11/15/2021 12H,18
11/15/2021 11H,18
11/15/2021 10H,15
11/15/2021 09H,15
11/15/2021 08H,14
11/15/2021 07H,15
11/15/2021 06H,15
11/15/2021 05H,14
11/15/2021 04H,14
11/15/2021 03H,14
11/15/2021 02H,15
11/15/2021 01H,15
11/15/2021 00H,15
11/14/2021 23H,15
11/14/2021 22H,14
11/14/2021 21H,14
11/14/2021 20H,14
11/14/2021 19H,14
11/14/2021 18H,15
11/14/2021 17H,15
11/14/2021 16H,14
11/14/2021 15H,15
11/14/2021 14H,14
11/14/2021 13H,14
11/14/2021 12H,14
11/14/2021 11H,14
11/14/2021 10H,14
11/14/2021 09H,15
11/14/2021 08H,15
11/14/2021 07H,15
11/14/2021 06H,15
11/14/2021 05H,15
11/14/2021 04H,13
11/14/2021 03H,13
11/14/2021 02H,14
11/14/2021 01H,16
11/14/2021 00H,15
11/13/2021 23H,15
11/13/2021 22H,14
11/13/2021 21H,14
11/13/2021 20H,15
11/13/2021 19H,15
11/13/2021 18H,15
11/13/2021 17H,14
11/13/2021 16H,14
11/13/2021 15H,14
11/13/2021 14H,15
11/13/2021 13H,15
11/13/2021 12H,15
11/13/2021 11H,15
11/13/2021 10H,15
11/13/2021 09H,15
11/13/2021 08H,15
11/13/2021 07H,15
11/13/2021 06H,15
11/13/2021 05H,14
11/13/2021 04H,13
11/13/2021 03H,13
11/13/2021 02H,14
