Net generation from hydro for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.WAT.H
19:21:40 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.WAT.H megawatthours
11/19/2021 07H,564
11/19/2021 06H,699
11/19/2021 05H,739
11/19/2021 04H,738
11/19/2021 03H,971
11/19/2021 02H,928
11/19/2021 01H,819
11/19/2021 00H,388
11/18/2021 23H,295
11/18/2021 22H,242
11/18/2021 21H,145
11/18/2021 20H,150
11/18/2021 19H,149
11/18/2021 18H,152
11/18/2021 17H,163
11/18/2021 16H,406
11/18/2021 15H,812
11/18/2021 14H,595
11/18/2021 13H,351
11/18/2021 12H,299
11/18/2021 11H,300
11/18/2021 10H,310
11/18/2021 09H,353
11/18/2021 08H,372
11/18/2021 07H,507
11/18/2021 06H,602
11/18/2021 05H,607
11/18/2021 04H,804
11/18/2021 03H,786
11/18/2021 02H,898
11/18/2021 01H,863
11/18/2021 00H,440
11/17/2021 23H,325
11/17/2021 22H,182
11/17/2021 21H,161
11/17/2021 20H,191
11/17/2021 19H,94
11/17/2021 18H,169
11/17/2021 17H,312
11/17/2021 16H,472
11/17/2021 15H,735
11/17/2021 14H,646
11/17/2021 13H,418
11/17/2021 12H,289
11/17/2021 11H,294
11/17/2021 10H,315
11/17/2021 09H,311
11/17/2021 08H,340
11/17/2021 07H,412
11/17/2021 06H,396
11/17/2021 05H,772
11/17/2021 04H,818
11/17/2021 03H,776
11/17/2021 02H,778
11/17/2021 01H,753
11/17/2021 00H,436
11/16/2021 23H,294
11/16/2021 22H,181
11/16/2021 21H,168
11/16/2021 20H,168
11/16/2021 19H,182
11/16/2021 18H,222
11/16/2021 17H,251
11/16/2021 16H,470
11/16/2021 15H,650
11/16/2021 14H,601
11/16/2021 13H,330
11/16/2021 12H,177
11/16/2021 11H,181
11/16/2021 10H,220
11/16/2021 09H,227
11/16/2021 08H,305
11/16/2021 07H,390
11/16/2021 06H,576
11/16/2021 05H,660
11/16/2021 04H,788
11/16/2021 03H,856
11/16/2021 02H,934
11/16/2021 01H,756
11/16/2021 00H,684
11/15/2021 23H,362
11/15/2021 22H,209
11/15/2021 21H,165
11/15/2021 20H,161
11/15/2021 19H,160
11/15/2021 18H,137
11/15/2021 17H,141
11/15/2021 16H,331
11/15/2021 15H,581
11/15/2021 14H,555
