Net generation from natural gas for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.NG.H
19:21:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.NG.H megawatthours
11/19/2021 07H,4632
11/19/2021 06H,5082
11/19/2021 05H,5362
11/19/2021 04H,5587
11/19/2021 03H,5756
11/19/2021 02H,5776
11/19/2021 01H,5581
11/19/2021 00H,4920
11/18/2021 23H,4205
11/18/2021 22H,3803
11/18/2021 21H,3573
11/18/2021 20H,3345
11/18/2021 19H,3283
11/18/2021 18H,3393
11/18/2021 17H,3794
11/18/2021 16H,4037
11/18/2021 15H,4430
11/18/2021 14H,4325
11/18/2021 13H,4070
11/18/2021 12H,3643
11/18/2021 11H,3560
11/18/2021 10H,3469
11/18/2021 09H,3456
11/18/2021 08H,3608
11/18/2021 07H,4073
11/18/2021 06H,4312
11/18/2021 05H,4821
11/18/2021 04H,5231
11/18/2021 03H,5386
11/18/2021 02H,5389
11/18/2021 01H,5146
11/18/2021 00H,4368
11/17/2021 23H,3925
11/17/2021 22H,3861
11/17/2021 21H,3763
11/17/2021 20H,3569
11/17/2021 19H,3533
11/17/2021 18H,4010
11/17/2021 17H,4270
11/17/2021 16H,4476
11/17/2021 15H,4556
11/17/2021 14H,4203
11/17/2021 13H,3878
11/17/2021 12H,3632
11/17/2021 11H,3525
11/17/2021 10H,3503
11/17/2021 09H,3142
11/17/2021 08H,3345
11/17/2021 07H,4068
11/17/2021 06H,4768
11/17/2021 05H,5050
11/17/2021 04H,5113
11/17/2021 03H,5060
11/17/2021 02H,5351
11/17/2021 01H,5281
11/17/2021 00H,4711
11/16/2021 23H,3823
11/16/2021 22H,4071
11/16/2021 21H,3444
11/16/2021 20H,3383
11/16/2021 19H,3534
11/16/2021 18H,3866
11/16/2021 17H,3671
11/16/2021 16H,3798
11/16/2021 15H,4080
11/16/2021 14H,3824
11/16/2021 13H,3388
11/16/2021 12H,3216
11/16/2021 11H,3180
11/16/2021 10H,3157
11/16/2021 09H,3167
11/16/2021 08H,3459
11/16/2021 07H,3860
11/16/2021 06H,4403
11/16/2021 05H,4999
11/16/2021 04H,5456
11/16/2021 03H,5674
11/16/2021 02H,5969
11/16/2021 01H,5802
11/16/2021 00H,5327
11/15/2021 23H,4328
11/15/2021 22H,3776
11/15/2021 21H,3511
