Net generation from nuclear for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.NUC.H
19:21:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.NUC.H megawatthours
11/19/2021 07H,3986
11/19/2021 06H,3989
11/19/2021 05H,3984
11/19/2021 04H,3987
11/19/2021 03H,3981
11/19/2021 02H,3981
11/19/2021 01H,3979
11/19/2021 00H,3979
11/18/2021 23H,3975
11/18/2021 22H,3975
11/18/2021 21H,3973
11/18/2021 20H,3976
11/18/2021 19H,3981
11/18/2021 18H,3988
11/18/2021 17H,3997
11/18/2021 16H,4000
11/18/2021 15H,3999
11/18/2021 14H,4002
11/18/2021 13H,3997
11/18/2021 12H,3998
11/18/2021 11H,3990
11/18/2021 10H,3994
11/18/2021 09H,3992
11/18/2021 08H,3988
11/18/2021 07H,3993
11/18/2021 06H,3984
11/18/2021 05H,3985
11/18/2021 04H,3981
11/18/2021 03H,3980
11/18/2021 02H,3981
11/18/2021 01H,3977
11/18/2021 00H,3979
11/17/2021 23H,3977
11/17/2021 22H,3979
11/17/2021 21H,3976
11/17/2021 20H,3977
11/17/2021 19H,3987
11/17/2021 18H,3991
11/17/2021 17H,3999
11/17/2021 16H,3994
11/17/2021 15H,4000
11/17/2021 14H,4000
11/17/2021 13H,3998
11/17/2021 12H,3997
11/17/2021 11H,3990
11/17/2021 10H,3987
11/17/2021 09H,3973
11/17/2021 08H,3943
11/17/2021 07H,3940
11/17/2021 06H,3980
11/17/2021 05H,3978
11/17/2021 04H,3974
11/17/2021 03H,3975
11/17/2021 02H,3975
11/17/2021 01H,3975
11/17/2021 00H,3976
11/16/2021 23H,3977
11/16/2021 22H,3981
11/16/2021 21H,3977
11/16/2021 20H,3973
11/16/2021 19H,3985
11/16/2021 18H,3984
11/16/2021 17H,3987
11/16/2021 16H,3989
11/16/2021 15H,3990
11/16/2021 14H,3988
11/16/2021 13H,3995
11/16/2021 12H,3992
11/16/2021 11H,3992
11/16/2021 10H,3993
11/16/2021 09H,3992
11/16/2021 08H,3987
11/16/2021 07H,3991
11/16/2021 06H,3988
11/16/2021 05H,3979
11/16/2021 04H,3981
11/16/2021 03H,3972
11/16/2021 02H,3973
11/16/2021 01H,3976
11/16/2021 00H,3977
11/15/2021 23H,3977
11/15/2021 22H,3973
11/15/2021 21H,3978
11/15/2021 20H,3977
11/15/2021 19H,3984
11/15/2021 18H,3986
11/15/2021 17H,3987
11/15/2021 16H,3995
11/15/2021 15H,3994
11/15/2021 14H,3998
11/15/2021 13H,3994
11/15/2021 12H,3990
11/15/2021 11H,3994
11/15/2021 10H,3988
11/15/2021 09H,3986
11/15/2021 08H,3984
11/15/2021 07H,3984
11/15/2021 06H,3984
11/15/2021 05H,3989
11/15/2021 04H,3982
11/15/2021 03H,3982
11/15/2021 02H,3979
11/15/2021 01H,3975
