Net generation from other for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.OTH.H
19:22:01 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.OTH.H megawatthours
11/19/2021 07H,38
11/19/2021 06H,38
11/19/2021 05H,56
11/19/2021 04H,58
11/19/2021 03H,38
11/19/2021 02H,67
11/19/2021 01H,76
11/19/2021 00H,47
11/18/2021 23H,36
11/18/2021 22H,34
11/18/2021 21H,30
11/18/2021 20H,18
11/18/2021 19H,8
11/18/2021 18H,7
11/18/2021 17H,15
11/18/2021 16H,36
11/18/2021 15H,52
11/18/2021 14H,52
11/18/2021 13H,38
11/18/2021 12H,35
11/18/2021 11H,39
11/18/2021 10H,36
11/18/2021 09H,37
11/18/2021 08H,38
11/18/2021 07H,35
11/18/2021 06H,36
11/18/2021 05H,54
11/18/2021 04H,59
11/18/2021 03H,46
11/18/2021 02H,67
11/18/2021 01H,57
11/18/2021 00H,36
11/17/2021 23H,37
11/17/2021 22H,36
11/17/2021 21H,37
11/17/2021 20H,34
11/17/2021 19H,17
11/17/2021 18H,15
11/17/2021 17H,19
11/17/2021 16H,38
11/17/2021 15H,48
11/17/2021 14H,48
11/17/2021 13H,39
11/17/2021 12H,39
11/17/2021 11H,64
11/17/2021 10H,57
11/17/2021 09H,53
11/17/2021 08H,37
11/17/2021 07H,38
11/17/2021 06H,38
11/17/2021 05H,56
11/17/2021 04H,61
11/17/2021 03H,37
11/17/2021 02H,37
11/17/2021 01H,36
11/17/2021 00H,35
11/16/2021 23H,36
11/16/2021 22H,35
11/16/2021 21H,35
11/16/2021 20H,35
11/16/2021 19H,16
11/16/2021 18H,15
11/16/2021 17H,19
11/16/2021 16H,37
11/16/2021 15H,49
11/16/2021 14H,48
11/16/2021 13H,39
11/16/2021 12H,39
11/16/2021 11H,38
11/16/2021 10H,39
11/16/2021 09H,39
11/16/2021 08H,44
11/16/2021 07H,53
11/16/2021 06H,47
11/16/2021 05H,59
11/16/2021 04H,60
11/16/2021 03H,38
11/16/2021 02H,36
11/16/2021 01H,34
11/16/2021 00H,36
11/15/2021 23H,34
11/15/2021 22H,35
11/15/2021 21H,36
11/15/2021 20H,34
11/15/2021 19H,36
11/15/2021 18H,23
11/15/2021 17H,15
11/15/2021 16H,38
11/15/2021 15H,48
11/15/2021 14H,59
11/15/2021 13H,48
11/15/2021 12H,39
11/15/2021 11H,37
11/15/2021 10H,37
11/15/2021 09H,36
11/15/2021 08H,38
11/15/2021 07H,32
11/15/2021 06H,30
11/15/2021 05H,33
11/15/2021 04H,29
11/15/2021 03H,31
11/15/2021 02H,41
11/15/2021 01H,63
11/15/2021 00H,41
11/14/2021 23H,31
11/14/2021 22H,31
11/14/2021 21H,32
11/14/2021 20H,22
11/14/2021 19H,21
11/14/2021 18H,21
11/14/2021 17H,25
11/14/2021 16H,31
11/14/2021 15H,31
11/14/2021 14H,42
11/14/2021 13H,39
11/14/2021 12H,32
11/14/2021 11H,28
11/14/2021 10H,29
11/14/2021 09H,30
11/14/2021 08H,32
11/14/2021 07H,30
11/14/2021 06H,33
11/14/2021 05H,29
11/14/2021 04H,32
11/14/2021 03H,53
11/14/2021 02H,72
11/14/2021 01H,60
11/14/2021 00H,39
11/13/2021 23H,30
11/13/2021 22H,32
11/13/2021 21H,30
11/13/2021 20H,10
11/13/2021 19H,1
11/13/2021 18H,2
11/13/2021 17H,5
11/13/2021 16H,30
11/13/2021 15H,42
11/13/2021 14H,50
11/13/2021 13H,41
11/13/2021 12H,33
11/13/2021 11H,28
11/13/2021 10H,28
11/13/2021 09H,29
11/13/2021 08H,31
11/13/2021 07H,32
11/13/2021 06H,32
11/13/2021 05H,51
11/13/2021 04H,52
11/13/2021 03H,32
11/13/2021 02H,68
11/13/2021 01H,70
11/13/2021 00H,39
11/12/2021 23H,30
11/12/2021 22H,33
11/12/2021 21H,27
11/12/2021 20H,7
11/12/2021 19H,2
11/12/2021 18H,2
11/12/2021 17H,4
11/12/2021 16H,33
11/12/2021 15H,40
11/12/2021 14H,51
11/12/2021 13H,43
11/12/2021 12H,31
11/12/2021 11H,28
11/12/2021 10H,29
11/12/2021 09H,29
11/12/2021 08H,30
11/12/2021 07H,32
11/12/2021 06H,31
11/12/2021 05H,51
11/12/2021 04H,55
11/12/2021 03H,32
11/12/2021 02H,41
11/12/2021 01H,40
11/12/2021 00H,30
11/11/2021 23H,32
11/11/2021 22H,30
11/11/2021 21H,31
11/11/2021 20H,6
11/11/2021 19H,3
11/11/2021 18H,-1
11/11/2021 17H,5
11/11/2021 16H,30
11/11/2021 15H,41
11/11/2021 14H,48
11/11/2021 13H,39
11/11/2021 12H,30
11/11/2021 11H,28
11/11/2021 10H,28
11/11/2021 09H,29
11/11/2021 08H,30
11/11/2021 07H,31
11/11/2021 06H,33
11/11/2021 05H,50
11/11/2021 04H,55
11/11/2021 03H,33
11/11/2021 02H,50
11/11/2021 01H,71
11/11/2021 00H,51
11/10/2021 23H,31
11/10/2021 22H,31
11/10/2021 21H,30
11/10/2021 20H,5
11/10/2021 19H,3
11/10/2021 18H,2
11/10/2021 17H,5
11/10/2021 16H,29
11/10/2021 15H,70
11/10/2021 14H,50
11/10/2021 13H,42
11/10/2021 12H,31
11/10/2021 11H,28
11/10/2021 10H,27
11/10/2021 09H,31
11/10/2021 08H,30
11/10/2021 07H,33
11/10/2021 06H,31
11/10/2021 05H,52
11/10/2021 04H,54
11/10/2021 03H,33
11/10/2021 02H,40
11/10/2021 01H,41
11/10/2021 00H,31
11/9/2021 23H,29
11/9/2021 22H,31
11/9/2021 21H,30
11/9/2021 20H,7
11/9/2021 19H,0
11/9/2021 18H,2
11/9/2021 17H,4
11/9/2021 16H,31
11/9/2021 15H,43
11/9/2021 14H,50
11/9/2021 13H,42
11/9/2021 12H,31
11/9/2021 11H,28
11/9/2021 10H,29
11/9/2021 09H,29
11/9/2021 08H,32
11/9/2021 07H,31
11/9/2021 06H,31
11/9/2021 05H,52
11/9/2021 04H,52
11/9/2021 03H,33
11/9/2021 02H,55
11/9/2021 01H,71
11/9/2021 00H,53
11/8/2021 23H,30
11/8/2021 22H,31
11/8/2021 21H,29
11/8/2021 20H,6
11/8/2021 19H,0
11/8/2021 18H,1
11/8/2021 17H,5
11/8/2021 16H,30
11/8/2021 15H,42
11/8/2021 14H,48
11/8/2021 13H,42
11/8/2021 12H,31
11/8/2021 11H,28
11/8/2021 10H,45
11/8/2021 09H,58
11/8/2021 08H,50
11/8/2021 07H,29
11/8/2021 06H,33
11/8/2021 05H,49
11/8/2021 04H,56
11/8/2021 03H,30
11/8/2021 02H,42
11/8/2021 01H,38
11/8/2021 00H,32
11/7/2021 23H,30
11/7/2021 22H,31
11/7/2021 21H,28
11/7/2021 20H,6
11/7/2021 19H,0
11/7/2021 18H,1
11/7/2021 17H,5
11/7/2021 16H,31
11/7/2021 15H,41
11/7/2021 14H,49
11/7/2021 13H,42
11/7/2021 12H,30
11/7/2021 11H,29
11/7/2021 10H,27
11/7/2021 09H,31
11/7/2021 08H,30
11/7/2021 07H,32
11/7/2021 06H,31
11/7/2021 05H,51
11/7/2021 04H,53
11/7/2021 03H,32
11/7/2021 02H,39
11/7/2021 01H,41
11/7/2021 00H,30
11/6/2021 23H,29
11/6/2021 22H,32
11/6/2021 21H,29
11/6/2021 20H,7
11/6/2021 19H,0
11/6/2021 18H,2
11/6/2021 17H,4
11/6/2021 16H,32
11/6/2021 15H,40
11/6/2021 14H,50
11/6/2021 13H,41
11/6/2021 12H,31
11/6/2021 11H,28
11/6/2021 10H,30
11/6/2021 09H,30
11/6/2021 08H,31
11/6/2021 07H,32
11/6/2021 06H,31
11/6/2021 05H,51
11/6/2021 04H,54
11/6/2021 03H,33
11/6/2021 02H,40
11/6/2021 01H,43
11/6/2021 00H,28
11/5/2021 23H,32
11/5/2021 22H,31
11/5/2021 21H,31
11/5/2021 20H,6
11/5/2021 19H,1
11/5/2021 18H,1
11/5/2021 17H,6
11/5/2021 16H,30
11/5/2021 15H,40
11/5/2021 14H,51
11/5/2021 13H,41
11/5/2021 12H,33
11/5/2021 11H,26
11/5/2021 10H,30
11/5/2021 09H,28
11/5/2021 08H,33
11/5/2021 07H,30
11/5/2021 06H,32
11/5/2021 05H,49
11/5/2021 04H,57
11/5/2021 03H,30
11/5/2021 02H,40
11/5/2021 01H,42
11/5/2021 00H,30
11/4/2021 23H,32
11/4/2021 22H,30
11/4/2021 21H,30
11/4/2021 20H,5
11/4/2021 19H,29
11/4/2021 18H,21
11/4/2021 17H,5
11/4/2021 16H,31
11/4/2021 15H,41
11/4/2021 14H,49
11/4/2021 13H,42
11/4/2021 12H,31
11/4/2021 11H,29
11/4/2021 10H,28
11/4/2021 09H,30
11/4/2021 08H,31
11/4/2021 07H,32
11/4/2021 06H,31
11/4/2021 05H,52
11/4/2021 04H,53
11/4/2021 03H,33
11/4/2021 02H,40
11/4/2021 01H,40
11/4/2021 00H,31
11/3/2021 23H,29
11/3/2021 22H,33
11/3/2021 21H,28
11/3/2021 20H,9
11/3/2021 19H,0
11/3/2021 18H,2
11/3/2021 17H,4
11/3/2021 16H,31
11/3/2021 15H,41
11/3/2021 14H,51
11/3/2021 13H,40
11/3/2021 12H,32
11/3/2021 11H,28
11/3/2021 10H,29
11/3/2021 09H,28
11/3/2021 08H,33
11/3/2021 07H,31
11/3/2021 06H,32
11/3/2021 05H,50
11/3/2021 04H,56
11/3/2021 03H,31
11/3/2021 02H,59
11/3/2021 01H,70
11/3/2021 00H,42
11/2/2021 23H,30
11/2/2021 22H,30
11/2/2021 21H,32
11/2/2021 20H,21
11/2/2021 19H,21
11/2/2021 18H,3
11/2/2021 17H,5
11/2/2021 16H,30
11/2/2021 15H,42
11/2/2021 14H,44
11/2/2021 13H,40
11/2/2021 12H,29
11/2/2021 11H,28
11/2/2021 10H,27
11/2/2021 09H,28
11/2/2021 08H,32
11/2/2021 07H,30
11/2/2021 06H,31
11/2/2021 05H,31
11/2/2021 04H,31
11/2/2021 03H,31
11/2/2021 02H,50
11/2/2021 01H,71
11/2/2021 00H,51
11/1/2021 23H,30
11/1/2021 22H,30
11/1/2021 21H,32
11/1/2021 20H,22
11/1/2021 19H,21
11/1/2021 18H,21
11/1/2021 17H,24
11/1/2021 16H,29
11/1/2021 15H,33
11/1/2021 14H,38
11/1/2021 13H,40
11/1/2021 12H,31
11/1/2021 11H,21
11/1/2021 10H,21
11/1/2021 09H,29
11/1/2021 08H,30
11/1/2021 07H,28
11/1/2021 06H,31
11/1/2021 05H,30
11/1/2021 04H,37
11/1/2021 03H,41
11/1/2021 02H,62
11/1/2021 01H,70
11/1/2021 00H,36
10/31/2021 23H,30
10/31/2021 22H,30
10/31/2021 21H,31
10/31/2021 20H,27
10/31/2021 19H,21
10/31/2021 18H,21
10/31/2021 17H,26
10/31/2021 16H,26
10/31/2021 15H,29
10/31/2021 14H,29
10/31/2021 13H,29
10/31/2021 12H,30
10/31/2021 11H,27
10/31/2021 10H,29
10/31/2021 09H,27
10/31/2021 08H,28
10/31/2021 07H,27
10/31/2021 06H,29
10/31/2021 05H,29
10/31/2021 04H,57
10/31/2021 03H,64
10/31/2021 02H,53
10/31/2021 01H,41
10/31/2021 00H,29
10/30/2021 23H,29
10/30/2021 22H,28
10/30/2021 21H,30
10/30/2021 20H,27
10/30/2021 19H,22
10/30/2021 18H,21
10/30/2021 17H,27
10/30/2021 16H,26
10/30/2021 15H,31
10/30/2021 14H,30
10/30/2021 13H,30
10/30/2021 12H,31
10/30/2021 11H,28
10/30/2021 10H,30
10/30/2021 09H,28
10/30/2021 08H,29
10/30/2021 07H,29
10/30/2021 06H,32
10/30/2021 05H,29
10/30/2021 04H,39
10/30/2021 03H,41
10/30/2021 02H,40
10/30/2021 01H,59
10/30/2021 00H,62
10/29/2021 23H,39
10/29/2021 22H,31
10/29/2021 21H,29
10/29/2021 20H,27
10/29/2021 19H,24
10/29/2021 18H,21
10/29/2021 17H,27
10/29/2021 16H,27
10/29/2021 15H,31
10/29/2021 14H,30
10/29/2021 13H,32
10/29/2021 12H,30
10/29/2021 11H,31
10/29/2021 10H,28
10/29/2021 09H,30
10/29/2021 08H,29
10/29/2021 07H,30
10/29/2021 06H,29
10/29/2021 05H,33
10/29/2021 04H,37
10/29/2021 03H,42
10/29/2021 02H,40
10/29/2021 01H,39
10/29/2021 00H,31
10/28/2021 23H,32
10/28/2021 22H,31
10/28/2021 21H,30
10/28/2021 20H,24
10/28/2021 19H,-3
10/28/2021 18H,-3
10/28/2021 17H,20
10/28/2021 16H,59
10/28/2021 15H,51
10/28/2021 14H,33
10/28/2021 13H,30
10/28/2021 12H,33
10/28/2021 11H,27
10/28/2021 10H,30
10/28/2021 09H,29
10/28/2021 08H,29
10/28/2021 07H,29
10/28/2021 06H,32
10/28/2021 05H,32
10/28/2021 04H,61
10/28/2021 03H,61
10/28/2021 02H,58
10/28/2021 01H,43
10/28/2021 00H,31
10/27/2021 23H,32
10/27/2021 22H,29
10/27/2021 21H,33
10/27/2021 20H,20
10/27/2021 19H,-2
10/27/2021 18H,-4
10/27/2021 17H,19
10/27/2021 16H,57
10/27/2021 15H,63
10/27/2021 14H,53
10/27/2021 13H,31
10/27/2021 12H,31
10/27/2021 11H,29
10/27/2021 10H,30
10/27/2021 09H,29
10/27/2021 08H,29
10/27/2021 07H,30
10/27/2021 06H,31
10/27/2021 05H,32
10/27/2021 04H,63
10/27/2021 03H,64
10/27/2021 02H,63
10/27/2021 01H,44
10/27/2021 00H,31
10/26/2021 23H,32
10/26/2021 22H,31
10/26/2021 21H,30
10/26/2021 20H,22
10/26/2021 19H,3
10/26/2021 18H,25
10/26/2021 17H,29
10/26/2021 16H,32
10/26/2021 15H,35
10/26/2021 14H,30
10/26/2021 13H,31
10/26/2021 12H,30
10/26/2021 11H,32
10/26/2021 10H,28
10/26/2021 09H,29
10/26/2021 08H,29
10/26/2021 07H,30
10/26/2021 06H,29
10/26/2021 05H,39
10/26/2021 04H,61
10/26/2021 03H,60
10/26/2021 02H,56
10/26/2021 01H,44
10/26/2021 00H,32
10/25/2021 23H,29
10/25/2021 22H,31
10/25/2021 21H,30
10/25/2021 20H,21
10/25/2021 19H,4
10/25/2021 18H,3
10/25/2021 17H,8
10/25/2021 16H,33
10/25/2021 15H,33
10/25/2021 14H,30
10/25/2021 13H,31
10/25/2021 12H,30
10/25/2021 11H,29
10/25/2021 10H,28
10/25/2021 09H,30
10/25/2021 08H,29
10/25/2021 07H,29
10/25/2021 06H,30
10/25/2021 05H,33
10/25/2021 04H,61
10/25/2021 03H,59
10/25/2021 02H,58
10/25/2021 01H,44
10/25/2021 00H,31
10/24/2021 23H,31
10/24/2021 22H,31
10/24/2021 21H,30
10/24/2021 20H,22
10/24/2021 19H,-1
10/24/2021 18H,-4
10/24/2021 17H,2
10/24/2021 16H,26
10/24/2021 15H,31
10/24/2021 14H,28
10/24/2021 13H,27
10/24/2021 12H,31
10/24/2021 11H,27
10/24/2021 10H,29
10/24/2021 09H,29
10/24/2021 08H,29
10/24/2021 07H,27
10/24/2021 06H,31
10/24/2021 05H,32
10/24/2021 04H,60
10/24/2021 03H,60
10/24/2021 02H,58
10/24/2021 01H,42
10/24/2021 00H,30
10/23/2021 23H,33
10/23/2021 22H,29
10/23/2021 21H,32
10/23/2021 20H,19
10/23/2021 19H,1
10/23/2021 18H,-5
10/23/2021 17H,4
10/23/2021 16H,27
10/23/2021 15H,31
10/23/2021 14H,30
10/23/2021 13H,32
10/23/2021 12H,30
10/23/2021 11H,30
10/23/2021 10H,28
10/23/2021 09H,31
10/23/2021 08H,28
10/23/2021 07H,29
10/23/2021 06H,31
10/23/2021 05H,33
10/23/2021 04H,60
10/23/2021 03H,62
10/23/2021 02H,57
10/23/2021 01H,42
10/23/2021 00H,31
10/22/2021 23H,32
10/22/2021 22H,30
10/22/2021 21H,29
10/22/2021 20H,23
10/22/2021 19H,-2
10/22/2021 18H,-5
10/22/2021 17H,4
10/22/2021 16H,27
10/22/2021 15H,31
10/22/2021 14H,31
10/22/2021 13H,36
10/22/2021 12H,33
10/22/2021 11H,28
10/22/2021 10H,31
10/22/2021 09H,27
10/22/2021 08H,30
10/22/2021 07H,28
10/22/2021 06H,33
10/22/2021 05H,30
10/22/2021 04H,63
10/22/2021 03H,59
10/22/2021 02H,60
10/22/2021 01H,41
10/22/2021 00H,32
10/21/2021 23H,30
10/21/2021 22H,31
10/21/2021 21H,29
10/21/2021 20H,30
10/21/2021 19H,20
10/21/2021 18H,23
10/21/2021 17H,26
10/21/2021 16H,27
10/21/2021 15H,33
10/21/2021 14H,31
10/21/2021 13H,31
10/21/2021 12H,30
10/21/2021 11H,30
10/21/2021 10H,29
10/21/2021 09H,29
10/21/2021 08H,30
10/21/2021 07H,29
10/21/2021 06H,31
10/21/2021 05H,31
10/21/2021 04H,39
10/21/2021 03H,40
10/21/2021 02H,41
10/21/2021 01H,41
10/21/2021 00H,29
10/20/2021 23H,33
10/20/2021 22H,29
10/20/2021 21H,30
10/20/2021 20H,28
10/20/2021 19H,22
10/20/2021 18H,22
10/20/2021 17H,27
10/20/2021 16H,27
10/20/2021 15H,31
10/20/2021 14H,32
10/20/2021 13H,30
10/20/2021 12H,33
10/20/2021 11H,29
10/20/2021 10H,29
10/20/2021 09H,29
10/20/2021 08H,29
10/20/2021 07H,29
10/20/2021 06H,31
10/20/2021 05H,30
10/20/2021 04H,40
10/20/2021 03H,41
10/20/2021 02H,38
10/20/2021 01H,41
10/20/2021 00H,31
10/19/2021 23H,32
10/19/2021 22H,31
10/19/2021 21H,30
10/19/2021 20H,23
10/19/2021 19H,-3
10/19/2021 18H,-3
10/19/2021 17H,2
10/19/2021 16H,25
10/19/2021 15H,29
10/19/2021 14H,31
10/19/2021 13H,31
10/19/2021 12H,31
10/19/2021 11H,29
10/19/2021 10H,29
10/19/2021 09H,28
10/19/2021 08H,30
10/19/2021 07H,28
10/19/2021 06H,32
10/19/2021 05H,30
10/19/2021 04H,62
10/19/2021 03H,60
10/19/2021 02H,59
10/19/2021 01H,42
10/19/2021 00H,30
10/18/2021 23H,29
10/18/2021 22H,30
10/18/2021 21H,28
10/18/2021 20H,23
10/18/2021 19H,-3
10/18/2021 18H,-7
10/18/2021 17H,4
10/18/2021 16H,24
10/18/2021 15H,32
10/18/2021 14H,31
10/18/2021 13H,31
10/18/2021 12H,31
10/18/2021 11H,30
10/18/2021 10H,30
10/18/2021 09H,28
10/18/2021 08H,30
10/18/2021 07H,29
10/18/2021 06H,32
10/18/2021 05H,32
10/18/2021 04H,63
10/18/2021 03H,59
10/18/2021 02H,57
10/18/2021 01H,44
10/18/2021 00H,31
10/17/2021 23H,30
10/17/2021 22H,31
10/17/2021 21H,31
10/17/2021 20H,21
10/17/2021 19H,0
10/17/2021 18H,-5
10/17/2021 17H,3
10/17/2021 16H,27
10/17/2021 15H,32
10/17/2021 14H,31
10/17/2021 13H,32
10/17/2021 12H,30
10/17/2021 11H,31
10/17/2021 10H,28
10/17/2021 09H,31
10/17/2021 08H,28
10/17/2021 07H,30
10/17/2021 06H,31
10/17/2021 05H,34
10/17/2021 04H,62
10/17/2021 03H,61
10/17/2021 02H,57
10/17/2021 01H,44
10/17/2021 00H,30
10/16/2021 23H,32
10/16/2021 22H,31
10/16/2021 21H,29
10/16/2021 20H,24
10/16/2021 19H,-2
10/16/2021 18H,-3
10/16/2021 17H,2
10/16/2021 16H,25
10/16/2021 15H,29
10/16/2021 14H,31
10/16/2021 13H,29
10/16/2021 12H,30
10/16/2021 11H,27
10/16/2021 10H,29
10/16/2021 09H,28
10/16/2021 08H,30
10/16/2021 07H,28
10/16/2021 06H,30
10/16/2021 05H,32
10/16/2021 04H,60
10/16/2021 03H,60
10/16/2021 02H,59
10/16/2021 01H,50
10/16/2021 00H,30
10/15/2021 23H,32
10/15/2021 22H,29
10/15/2021 21H,31
10/15/2021 20H,21
10/15/2021 19H,-2
10/15/2021 18H,-4
10/15/2021 17H,4
10/15/2021 16H,25
10/15/2021 15H,31
10/15/2021 14H,30
10/15/2021 13H,32
10/15/2021 12H,30
10/15/2021 11H,28
10/15/2021 10H,29
10/15/2021 09H,28
10/15/2021 08H,30
10/15/2021 07H,28
10/15/2021 06H,32
10/15/2021 05H,32
10/15/2021 04H,61
10/15/2021 03H,59
10/15/2021 02H,59
10/15/2021 01H,43
10/15/2021 00H,30
10/14/2021 23H,39
10/14/2021 22H,30
10/14/2021 21H,30
10/14/2021 20H,22
10/14/2021 19H,-2
10/14/2021 18H,-4
10/14/2021 17H,3
10/14/2021 16H,26
10/14/2021 15H,31
10/14/2021 14H,31
10/14/2021 13H,31
