Net generation from solar for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390116&sdid=EBA.SW-ALL.NG.SUN.H
19:22:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.NG.SUN.H megawatthours
11/19/2021 07H,14
11/19/2021 06H,25
11/19/2021 05H,35
11/19/2021 04H,46
11/19/2021 03H,33
11/19/2021 02H,27
11/19/2021 01H,42
11/19/2021 00H,502
11/18/2021 23H,1296
11/18/2021 22H,1427
11/18/2021 21H,1425
11/18/2021 20H,1402
11/18/2021 19H,1428
11/18/2021 18H,1481
11/18/2021 17H,1364
11/18/2021 16H,1061
11/18/2021 15H,276
11/18/2021 14H,34
11/18/2021 13H,23
11/18/2021 12H,16
11/18/2021 11H,13
11/18/2021 10H,13
11/18/2021 09H,17
11/18/2021 08H,14
11/18/2021 07H,13
11/18/2021 06H,16
11/18/2021 05H,16
11/18/2021 04H,20
11/18/2021 03H,24
11/18/2021 02H,30
11/18/2021 01H,39
11/18/2021 00H,483
11/17/2021 23H,1061
11/17/2021 22H,926
11/17/2021 21H,1005
11/17/2021 20H,1015
11/17/2021 19H,1038
11/17/2021 18H,987
11/17/2021 17H,910
11/17/2021 16H,707
11/17/2021 15H,226
11/17/2021 14H,10
11/17/2021 13H,-1
11/17/2021 12H,-2
11/17/2021 11H,-1
11/17/2021 10H,2
11/17/2021 09H,10
11/17/2021 08H,13
11/17/2021 07H,12
11/17/2021 06H,9
11/17/2021 05H,14
11/17/2021 04H,25
11/17/2021 03H,28
11/17/2021 02H,29
11/17/2021 01H,30
11/17/2021 00H,407
11/16/2021 23H,695
11/16/2021 22H,977
11/16/2021 21H,1100
11/16/2021 20H,1203
11/16/2021 19H,1187
11/16/2021 18H,1245
11/16/2021 17H,1096
11/16/2021 16H,811
11/16/2021 15H,280
11/16/2021 14H,58
11/16/2021 13H,46
11/16/2021 12H,48
11/16/2021 11H,52
11/16/2021 10H,50
11/16/2021 09H,47
11/16/2021 08H,29
11/16/2021 07H,46
11/16/2021 06H,35
11/16/2021 05H,32
11/16/2021 04H,46
11/16/2021 03H,76
11/16/2021 02H,53
11/16/2021 01H,92
11/16/2021 00H,629
11/15/2021 23H,1317
11/15/2021 22H,1447
11/15/2021 21H,1409
11/15/2021 20H,1373
11/15/2021 19H,1393
11/15/2021 18H,1452
11/15/2021 17H,1401
11/15/2021 16H,888
11/15/2021 15H,275
11/15/2021 14H,10
11/15/2021 13H,-1
11/15/2021 12H,-1
11/15/2021 11H,-1
11/15/2021 10H,-1
11/15/2021 09H,-2
11/15/2021 08H,-1
11/15/2021 07H,-1
11/15/2021 06H,-1
11/15/2021 05H,-1
11/15/2021 04H,1
11/15/2021 03H,9
11/15/2021 02H,12
11/15/2021 01H,77
11/15/2021 00H,671
11/14/2021 23H,1394
11/14/2021 22H,1530
11/14/2021 21H,1509
11/14/2021 20H,1473
11/14/2021 19H,1497
11/14/2021 18H,1559
11/14/2021 17H,1490
11/14/2021 16H,1077
11/14/2021 15H,297
11/14/2021 14H,11
11/14/2021 13H,-2
11/14/2021 12H,-1
11/14/2021 11H,5
11/14/2021 10H,12
11/14/2021 09H,1
11/14/2021 08H,-1
11/14/2021 07H,0
11/14/2021 06H,2
11/14/2021 05H,4
11/14/2021 04H,7
11/14/2021 03H,16
11/14/2021 02H,18
11/14/2021 01H,87
11/14/2021 00H,686
11/13/2021 23H,1419
11/13/2021 22H,1542
11/13/2021 21H,1479
11/13/2021 20H,1428
11/13/2021 19H,1457
11/13/2021 18H,1525
11/13/2021 17H,1471
11/13/2021 16H,1075
11/13/2021 15H,299
11/13/2021 14H,9
11/13/2021 13H,0
11/13/2021 12H,4
11/13/2021 11H,9
11/13/2021 10H,4
11/13/2021 09H,4
11/13/2021 08H,0
11/13/2021 07H,2
11/13/2021 06H,1
11/13/2021 05H,1
11/13/2021 04H,1
11/13/2021 03H,13
11/13/2021 02H,41
11/13/2021 01H,116
11/13/2021 00H,760
11/12/2021 23H,1506
11/12/2021 22H,1651
11/12/2021 21H,1604
11/12/2021 20H,1567
11/12/2021 19H,1584
11/12/2021 18H,1653
11/12/2021 17H,1601
11/12/2021 16H,1195
11/12/2021 15H,402
11/12/2021 14H,65
11/12/2021 13H,72
11/12/2021 12H,69
11/12/2021 11H,74
11/12/2021 10H,49
11/12/2021 09H,47
11/12/2021 08H,49
11/12/2021 07H,42
11/12/2021 06H,45
11/12/2021 05H,29
11/12/2021 04H,30
11/12/2021 03H,48
11/12/2021 02H,55
11/12/2021 01H,123
11/12/2021 00H,752
11/11/2021 23H,1502
11/11/2021 22H,1626
11/11/2021 21H,1610
11/11/2021 20H,1576
11/11/2021 19H,1587
11/11/2021 18H,1649
11/11/2021 17H,1588
11/11/2021 16H,1209
11/11/2021 15H,411
11/11/2021 14H,64
11/11/2021 13H,41
11/11/2021 12H,41
11/11/2021 11H,25
11/11/2021 10H,19
11/11/2021 09H,11
11/11/2021 08H,11
11/11/2021 07H,10
11/11/2021 06H,18
11/11/2021 05H,25
11/11/2021 04H,35
11/11/2021 03H,41
11/11/2021 02H,51
11/11/2021 01H,48
11/11/2021 00H,749
11/10/2021 23H,1473
11/10/2021 22H,1600
11/10/2021 21H,1556
11/10/2021 20H,1517
11/10/2021 19H,1510
11/10/2021 18H,1537
11/10/2021 17H,1387
11/10/2021 16H,1124
11/10/2021 15H,357
11/10/2021 14H,18
11/10/2021 13H,2
11/10/2021 12H,3
11/10/2021 11H,-1
11/10/2021 10H,-2
11/10/2021 09H,-1
