Net generation from solar for Tennessee (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390117&sdid=EBA.TEN-ALL.NG.SUN.H
19:23:41 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.TEN-ALL.NG.SUN.H megawatthours
11/19/2021 06H,-1
11/19/2021 05H,0
11/19/2021 04H,-1
11/19/2021 03H,-2
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,-2
11/18/2021 23H,30
11/18/2021 22H,217
11/18/2021 21H,327
11/18/2021 20H,331
11/18/2021 19H,243
11/18/2021 18H,145
11/18/2021 17H,129
11/18/2021 16H,70
11/18/2021 15H,34
11/18/2021 14H,4
11/18/2021 13H,-6
11/18/2021 12H,0
11/18/2021 11H,0
11/18/2021 10H,-2
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,-1
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,-4
11/18/2021 03H,-1
11/18/2021 02H,-1
11/18/2021 01H,-1
11/18/2021 00H,0
11/17/2021 23H,17
11/17/2021 22H,177
11/17/2021 21H,218
11/17/2021 20H,193
11/17/2021 19H,217
11/17/2021 18H,248
11/17/2021 17H,219
11/17/2021 16H,232
11/17/2021 15H,227
11/17/2021 14H,108
11/17/2021 13H,2
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,-2
11/17/2021 09H,-2
11/17/2021 08H,0
11/17/2021 07H,-1
11/17/2021 06H,-1
11/17/2021 05H,-2
11/17/2021 04H,0
11/17/2021 03H,0
11/17/2021 02H,-2
11/17/2021 01H,0
11/17/2021 00H,0
11/16/2021 23H,13
11/16/2021 22H,120
11/16/2021 21H,176
11/16/2021 20H,235
11/16/2021 19H,286
11/16/2021 18H,291
11/16/2021 17H,232
11/16/2021 16H,160
11/16/2021 15H,106
11/16/2021 14H,50
11/16/2021 13H,-1
11/16/2021 12H,0
11/16/2021 11H,-2
11/16/2021 10H,0
11/16/2021 09H,0
11/16/2021 08H,-2
