Net generation from nuclear for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NUC.H
19:02:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NUC.H megawatthours
11/19/2021 05H,89351
11/19/2021 04H,88697
11/19/2021 03H,88627
11/19/2021 02H,88624
11/19/2021 01H,88644
11/19/2021 00H,88606
11/18/2021 23H,88601
11/18/2021 22H,88605
11/18/2021 21H,88589
11/18/2021 20H,88568
11/18/2021 19H,88735
11/18/2021 18H,88880
11/18/2021 17H,89212
11/18/2021 16H,89597
11/18/2021 15H,89587
11/18/2021 14H,89536
11/18/2021 13H,89460
11/18/2021 12H,89432
11/18/2021 11H,89368
11/18/2021 10H,89276
11/18/2021 09H,89266
11/18/2021 08H,89276
11/18/2021 07H,89432
11/18/2021 06H,89456
11/18/2021 05H,90491
11/18/2021 04H,89392
11/18/2021 03H,86138
11/18/2021 02H,89395
11/18/2021 01H,89427
11/18/2021 00H,89412
11/17/2021 23H,89405
11/17/2021 22H,89413
11/17/2021 21H,89308
11/17/2021 20H,89294
11/17/2021 19H,89204
11/17/2021 18H,89166
11/17/2021 17H,90156
11/17/2021 16H,90115
11/17/2021 15H,90159
11/17/2021 14H,89978
11/17/2021 13H,89770
11/17/2021 12H,89698
11/17/2021 11H,89654
11/17/2021 10H,89784
11/17/2021 09H,89806
11/17/2021 08H,90031
11/17/2021 07H,90249
11/17/2021 06H,90355
11/17/2021 05H,89082
11/17/2021 04H,90310
11/17/2021 03H,90237
11/17/2021 02H,90088
11/17/2021 01H,90023
11/17/2021 00H,89931
11/16/2021 23H,89924
11/16/2021 22H,89902
11/16/2021 21H,89803
11/16/2021 20H,89705
11/16/2021 19H,89733
11/16/2021 18H,89658
11/16/2021 17H,89460
11/16/2021 16H,89212
11/16/2021 15H,89146
11/16/2021 14H,89088
11/16/2021 13H,89100
11/16/2021 12H,88886
11/16/2021 11H,88795
11/16/2021 10H,88688
11/16/2021 09H,88480
11/16/2021 08H,88459
11/16/2021 07H,88375
11/16/2021 06H,88503
11/16/2021 05H,87786
11/16/2021 04H,88304
11/16/2021 03H,88388
11/16/2021 02H,88405
11/16/2021 01H,88382
11/16/2021 00H,88415
11/15/2021 23H,88425
11/15/2021 22H,88782
11/15/2021 21H,88609
11/15/2021 20H,88562
11/15/2021 19H,88553
11/15/2021 18H,88572
11/15/2021 17H,88538
11/15/2021 16H,88440
11/15/2021 15H,88289
11/15/2021 14H,88200
11/15/2021 13H,88152
11/15/2021 12H,88144
11/15/2021 11H,88053
11/15/2021 10H,88045
11/15/2021 09H,88130
11/15/2021 08H,88244
11/15/2021 07H,88272
11/15/2021 06H,88267
11/15/2021 05H,88386
11/15/2021 04H,88009
11/15/2021 03H,88234
11/15/2021 02H,88349
11/15/2021 01H,88296
11/15/2021 00H,88295
11/14/2021 23H,88237
11/14/2021 22H,88168
11/14/2021 21H,88024
11/14/2021 20H,87838
11/14/2021 19H,87571
11/14/2021 18H,87388
11/14/2021 17H,87093
11/14/2021 16H,86932
11/14/2021 15H,86737
11/14/2021 14H,86682
11/14/2021 13H,86620
11/14/2021 12H,86554
11/14/2021 11H,86526
11/14/2021 10H,87288
11/14/2021 09H,87933
11/14/2021 08H,88086
11/14/2021 07H,88030
11/14/2021 06H,88042
11/14/2021 05H,87771
11/14/2021 04H,87917
11/14/2021 03H,87852
11/14/2021 02H,87611
11/14/2021 01H,87613
11/14/2021 00H,87549
