Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
19:02:28 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
11/19/2021 05H,7564
11/19/2021 04H,8107
11/19/2021 03H,9037
11/19/2021 02H,9018
11/19/2021 01H,9235
11/19/2021 00H,8329
11/18/2021 23H,7998
11/18/2021 22H,7867
11/18/2021 21H,7842
11/18/2021 20H,7596
11/18/2021 19H,7756
11/18/2021 18H,7776
11/18/2021 17H,7786
11/18/2021 16H,8043
11/18/2021 15H,7973
11/18/2021 14H,7981
11/18/2021 13H,7873
11/18/2021 12H,7664
11/18/2021 11H,7538
11/18/2021 10H,7063
11/18/2021 09H,7141
11/18/2021 08H,7161
11/18/2021 07H,7184
11/18/2021 06H,7260
11/18/2021 05H,7950
11/18/2021 04H,8053
11/18/2021 03H,7840
11/18/2021 02H,9178
11/18/2021 01H,9309
11/18/2021 00H,8572
11/17/2021 23H,8155
11/17/2021 22H,8063
11/17/2021 21H,8061
11/17/2021 20H,7750
11/17/2021 19H,7631
11/17/2021 18H,7721
11/17/2021 17H,7559
11/17/2021 16H,8246
11/17/2021 15H,8257
11/17/2021 14H,8006
11/17/2021 13H,7765
11/17/2021 12H,7703
11/17/2021 11H,7568
11/17/2021 10H,7526
11/17/2021 09H,7485
11/17/2021 08H,7563
11/17/2021 07H,7587
11/17/2021 06H,7997
11/17/2021 05H,8217
11/17/2021 04H,8772
11/17/2021 03H,8474
11/17/2021 02H,8797
11/17/2021 01H,8628
11/17/2021 00H,8036
11/16/2021 23H,7910
11/16/2021 22H,7980
11/16/2021 21H,7718
11/16/2021 20H,7669
11/16/2021 19H,7551
11/16/2021 18H,7605
11/16/2021 17H,7417
11/16/2021 16H,8455
11/16/2021 15H,8461
11/16/2021 14H,8052
11/16/2021 13H,7668
11/16/2021 12H,7554
11/16/2021 11H,7334
11/16/2021 10H,7016
11/16/2021 09H,7139
11/16/2021 08H,7309
11/16/2021 07H,7398
11/16/2021 06H,7489
11/16/2021 05H,7566
11/16/2021 04H,7771
11/16/2021 03H,8170
11/16/2021 02H,9021
11/16/2021 01H,8999
11/16/2021 00H,8965
11/15/2021 23H,8230
11/15/2021 22H,8142
11/15/2021 21H,7973
11/15/2021 20H,7968
11/15/2021 19H,7930
11/15/2021 18H,7770
11/15/2021 17H,7695
11/15/2021 16H,8053
11/15/2021 15H,8209
11/15/2021 14H,7791
11/15/2021 13H,7647
11/15/2021 12H,7443
11/15/2021 11H,7413
11/15/2021 10H,7379
11/15/2021 09H,7301
11/15/2021 08H,7212
11/15/2021 07H,7309
11/15/2021 06H,7329
11/15/2021 05H,7415
11/15/2021 04H,7534
11/15/2021 03H,7645
11/15/2021 02H,8335
11/15/2021 01H,8837
11/15/2021 00H,8643
11/14/2021 23H,7740
11/14/2021 22H,7380
11/14/2021 21H,7354
11/14/2021 20H,7295
11/14/2021 19H,7424
11/14/2021 18H,7426
11/14/2021 17H,7499
11/14/2021 16H,7471
11/14/2021 15H,7650
11/14/2021 14H,7355
11/14/2021 13H,7655
11/14/2021 12H,7511
11/14/2021 11H,7416
11/14/2021 10H,7289
11/14/2021 09H,7290
11/14/2021 08H,7253
11/14/2021 07H,7248
11/14/2021 06H,7270
11/14/2021 05H,6863
11/14/2021 04H,7655
11/14/2021 03H,7775
11/14/2021 02H,8372
11/14/2021 01H,8605
11/14/2021 00H,8567
11/13/2021 23H,7817
11/13/2021 22H,7568
11/13/2021 21H,7552
11/13/2021 20H,7495
11/13/2021 19H,7459
11/13/2021 18H,7537
11/13/2021 17H,8180
11/13/2021 16H,8412
11/13/2021 15H,7632
11/13/2021 14H,7284
11/13/2021 13H,7221
11/13/2021 12H,7157
11/13/2021 11H,6912
11/13/2021 10H,6895
11/13/2021 09H,6607
11/13/2021 08H,6527
11/13/2021 07H,6523
11/13/2021 06H,6823
11/13/2021 05H,7193
11/13/2021 04H,8357
11/13/2021 03H,8948
11/13/2021 02H,9223
11/13/2021 01H,9197
11/13/2021 00H,9216
11/12/2021 23H,8302
11/12/2021 22H,8096
11/12/2021 21H,7948
11/12/2021 20H,7967
11/12/2021 19H,7950
11/12/2021 18H,7860
11/12/2021 17H,7832
11/12/2021 16H,7899
11/12/2021 15H,8064
11/12/2021 14H,7962
11/12/2021 13H,7982
11/12/2021 12H,7961
11/12/2021 11H,7790
11/12/2021 10H,7503
11/12/2021 09H,7149
11/12/2021 08H,7197
11/12/2021 07H,7327
11/12/2021 06H,7509
11/12/2021 05H,7631
11/12/2021 04H,8272
11/12/2021 03H,9016
11/12/2021 02H,9095
11/12/2021 01H,9274
11/12/2021 00H,8951
11/11/2021 23H,8175
11/11/2021 22H,7940
11/11/2021 21H,7858
11/11/2021 20H,7882
11/11/2021 19H,7788
11/11/2021 18H,7778
11/11/2021 17H,7660
11/11/2021 16H,7776
11/11/2021 15H,7913
11/11/2021 14H,7763
11/11/2021 13H,7777
11/11/2021 12H,7658
11/11/2021 11H,7341
11/11/2021 10H,6864
11/11/2021 09H,6669
11/11/2021 08H,6792
11/11/2021 07H,7191
11/11/2021 06H,7532
11/11/2021 05H,7901
11/11/2021 04H,8578
11/11/2021 03H,8705
11/11/2021 02H,9152
11/11/2021 01H,8969
11/11/2021 00H,8649
11/10/2021 23H,8032
11/10/2021 22H,7945
11/10/2021 21H,7944
11/10/2021 20H,7868
11/10/2021 19H,7920
11/10/2021 18H,7933
11/10/2021 17H,7819
11/10/2021 16H,8420
11/10/2021 15H,8525
11/10/2021 14H,8095
11/10/2021 13H,7781
11/10/2021 12H,7526
11/10/2021 11H,7184
11/10/2021 10H,7003
11/10/2021 09H,6853
11/10/2021 08H,7138
11/10/2021 07H,7492
11/10/2021 06H,7433
11/10/2021 05H,8065
11/10/2021 04H,7985
11/10/2021 03H,8354
11/10/2021 02H,9202
11/10/2021 01H,9064
11/10/2021 00H,8650
11/9/2021 23H,8141
11/9/2021 22H,8034
11/9/2021 21H,8123
11/9/2021 20H,8112
11/9/2021 19H,8052
11/9/2021 18H,7815
11/9/2021 17H,7731
11/9/2021 16H,7831
11/9/2021 15H,7889
11/9/2021 14H,7921
11/9/2021 13H,7945
11/9/2021 12H,7879
11/9/2021 11H,7742
11/9/2021 10H,7108
11/9/2021 09H,6941
11/9/2021 08H,6630
11/9/2021 07H,6755
11/9/2021 06H,7591
11/9/2021 05H,7942
11/9/2021 04H,8277
11/9/2021 03H,8791
11/9/2021 02H,9418
11/9/2021 01H,9412
11/9/2021 00H,8658
11/8/2021 23H,8273
11/8/2021 22H,8024
11/8/2021 21H,8008
11/8/2021 20H,7867
11/8/2021 19H,7835
11/8/2021 18H,7865
11/8/2021 17H,7821
11/8/2021 16H,7930
11/8/2021 15H,8026
11/8/2021 14H,7970
11/8/2021 13H,7772
11/8/2021 12H,7681
11/8/2021 11H,7606
11/8/2021 10H,7365
11/8/2021 09H,7430
11/8/2021 08H,7416
11/8/2021 07H,7400
11/8/2021 06H,7607
11/8/2021 05H,7580
11/8/2021 04H,8229
11/8/2021 03H,8206
11/8/2021 02H,8673
11/8/2021 01H,8837
11/8/2021 00H,8181
11/7/2021 23H,7510
11/7/2021 22H,7218
11/7/2021 21H,7282
11/7/2021 20H,6847
11/7/2021 19H,6779
11/7/2021 18H,6800
11/7/2021 17H,6967
11/7/2021 16H,7538
11/7/2021 15H,7713
11/7/2021 14H,7692
11/7/2021 13H,7525
11/7/2021 12H,7319
11/7/2021 11H,7301
11/7/2021 10H,6715
11/7/2021 09H,6640
11/7/2021 08H,6946
11/7/2021 07H,6784
11/7/2021 06H,7245
11/7/2021 05H,7999
11/7/2021 04H,8493
11/7/2021 03H,8726
11/7/2021 02H,9205
11/7/2021 01H,9472
11/7/2021 00H,9179
11/6/2021 23H,8347
11/6/2021 22H,8286
11/6/2021 21H,8042
11/6/2021 20H,8032
11/6/2021 19H,8130
11/6/2021 18H,8092
11/6/2021 17H,8233
11/6/2021 16H,8364
11/6/2021 15H,8535
11/6/2021 14H,8746
11/6/2021 13H,8462
11/6/2021 12H,8262
11/6/2021 11H,7845
11/6/2021 10H,7739
11/6/2021 09H,7694
11/6/2021 08H,7658
11/6/2021 07H,7843
11/6/2021 06H,7968
11/6/2021 05H,8333
11/6/2021 04H,9570
11/6/2021 03H,9655
11/6/2021 02H,10270
11/6/2021 01H,10721
11/6/2021 00H,10632
11/5/2021 23H,10149
11/5/2021 22H,9828
11/5/2021 21H,9556
11/5/2021 20H,9566
11/5/2021 19H,9656
11/5/2021 18H,9811
11/5/2021 17H,10014
11/5/2021 16H,10117
11/5/2021 15H,10347
11/5/2021 14H,10377
11/5/2021 13H,10442
11/5/2021 12H,10560
11/5/2021 11H,10341
11/5/2021 10H,9899
11/5/2021 09H,8997
11/5/2021 08H,9083
11/5/2021 07H,9117
11/5/2021 06H,9237
11/5/2021 05H,9833
11/5/2021 04H,9657
11/5/2021 03H,10766
11/5/2021 02H,11249
11/5/2021 01H,12332
11/5/2021 00H,12121
11/4/2021 23H,11705
11/4/2021 22H,11060
11/4/2021 21H,10727
11/4/2021 20H,10620
11/4/2021 19H,10714
11/4/2021 18H,10742
11/4/2021 17H,10760
11/4/2021 16H,10935
11/4/2021 15H,11199
11/4/2021 14H,11643
11/4/2021 13H,11123
11/4/2021 12H,11014
11/4/2021 11H,10702
11/4/2021 10H,9667
11/4/2021 09H,9441
11/4/2021 08H,9253
11/4/2021 07H,9280
11/4/2021 06H,9397
11/4/2021 05H,9740
11/4/2021 04H,9938
11/4/2021 03H,10713
11/4/2021 02H,11518
11/4/2021 01H,11804
11/4/2021 00H,11651
11/3/2021 23H,11030
11/3/2021 22H,10705
11/3/2021 21H,10487
11/3/2021 20H,10377
