Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
19:02:48 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
11/19/2021 05H,49408
11/19/2021 04H,48822
11/19/2021 03H,48302
11/19/2021 02H,47160
11/19/2021 01H,45298
11/19/2021 00H,42753
11/18/2021 23H,44887
11/18/2021 22H,47302
11/18/2021 21H,49623
11/18/2021 20H,51044
11/18/2021 19H,52052
11/18/2021 18H,52264
11/18/2021 17H,53700
11/18/2021 16H,53421
11/18/2021 15H,55162
11/18/2021 14H,59036
11/18/2021 13H,60478
11/18/2021 12H,60225
11/18/2021 11H,62109
11/18/2021 10H,65229
11/18/2021 09H,67196
11/18/2021 08H,68538
11/18/2021 07H,70451
11/18/2021 06H,71156
11/18/2021 05H,73850
11/18/2021 04H,74592
11/18/2021 03H,74097
11/18/2021 02H,73509
11/18/2021 01H,72358
11/18/2021 00H,72068
11/17/2021 23H,71225
11/17/2021 22H,69165
11/17/2021 21H,68658
11/17/2021 20H,69637
11/17/2021 19H,70172
11/17/2021 18H,70435
11/17/2021 17H,69520
11/17/2021 16H,69819
11/17/2021 15H,70818
11/17/2021 14H,73033
11/17/2021 13H,73044
11/17/2021 12H,72859
11/17/2021 11H,72891
11/17/2021 10H,72406
11/17/2021 09H,72473
11/17/2021 08H,74101
11/17/2021 07H,74589
11/17/2021 06H,75585
11/17/2021 05H,73295
11/17/2021 04H,79873
11/17/2021 03H,81266
11/17/2021 02H,81128
11/17/2021 01H,80829
11/17/2021 00H,78416
11/16/2021 23H,76556
11/16/2021 22H,75529
11/16/2021 21H,73758
11/16/2021 20H,72662
11/16/2021 19H,70899
11/16/2021 18H,68354
11/16/2021 17H,66335
11/16/2021 16H,65591
11/16/2021 15H,69269
11/16/2021 14H,73535
11/16/2021 13H,73629
11/16/2021 12H,71371
11/16/2021 11H,70463
11/16/2021 10H,69753
11/16/2021 09H,69879
11/16/2021 08H,70467
11/16/2021 07H,70902
11/16/2021 06H,71082
11/16/2021 05H,73366
11/16/2021 04H,66996
11/16/2021 03H,60046
11/16/2021 02H,51606
11/16/2021 01H,41819
11/16/2021 00H,32836
11/15/2021 23H,29688
11/15/2021 22H,29670
11/15/2021 21H,29612
11/15/2021 20H,29181
11/15/2021 19H,29098
11/15/2021 18H,30756
11/15/2021 17H,32863
11/15/2021 16H,35641
11/15/2021 15H,43165
11/15/2021 14H,48648
11/15/2021 13H,49318
11/15/2021 12H,48460
11/15/2021 11H,47973
11/15/2021 10H,48109
11/15/2021 09H,47247
11/15/2021 08H,45854
11/15/2021 07H,46174
11/15/2021 06H,46468
11/15/2021 05H,46464
11/15/2021 04H,45029
11/15/2021 03H,41837
11/15/2021 02H,38830
11/15/2021 01H,36101
11/15/2021 00H,33075
11/14/2021 23H,32182
11/14/2021 22H,32409
11/14/2021 21H,33573
11/14/2021 20H,34709
11/14/2021 19H,37718
11/14/2021 18H,43854
11/14/2021 17H,49979
11/14/2021 16H,53161
11/14/2021 15H,57294
11/14/2021 14H,60163
11/14/2021 13H,60475
11/14/2021 12H,60494
11/14/2021 11H,61624
11/14/2021 10H,63026
11/14/2021 09H,64542
11/14/2021 08H,65535
11/14/2021 07H,65635
11/14/2021 06H,64743
11/14/2021 05H,66540
11/14/2021 04H,64511
11/14/2021 03H,64401
11/14/2021 02H,62987
11/14/2021 01H,57572
11/14/2021 00H,51676
11/13/2021 23H,52663
11/13/2021 22H,53518
11/13/2021 21H,53352
11/13/2021 20H,54203
11/13/2021 19H,51782
11/13/2021 18H,49182
11/13/2021 17H,46701
11/13/2021 16H,43508
11/13/2021 15H,45143
11/13/2021 14H,43593
11/13/2021 13H,42878
11/13/2021 12H,42069
11/13/2021 11H,43553
11/13/2021 10H,44102
