utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 16:00:00,3318,7344,47,797,2271,10965,4074,1234
2018-09-20 01:00:00,2018-09-19 17:00:00,3466,2333,46,833,2270,12964,5232,1240
2018-09-20 02:00:00,2018-09-19 18:00:00,3630,65,46,800,2270,14071,5391,1271
2018-09-20 03:00:00,2018-09-19 19:00:00,3429,18,46,843,2272,13933,5620,1278
2018-09-20 04:00:00,2018-09-19 20:00:00,3307,5,46,792,2272,13256,5014,1338
2018-09-20 05:00:00,2018-09-19 21:00:00,3408,5,46,792,2274,12325,3922,1339
2018-09-20 06:00:00,2018-09-19 22:00:00,2980,5,45,797,2273,11266,3695,1241
2018-09-20 07:00:00,2018-09-19 23:00:00,2917,5,46,776,2272,10721,2610,1211
2018-09-20 08:00:00,2018-09-20 00:00:00,2397,5,46,825,2271,9992,2384,1008
2018-09-20 09:00:00,2018-09-20 01:00:00,1877,5,46,782,2269,9850,2253,946
2018-09-20 10:00:00,2018-09-20 02:00:00,1424,5,46,783,2272,9602,2317,832
2018-09-20 11:00:00,2018-09-20 03:00:00,1176,5,46,781,2273,9599,2337,766
2018-09-20 12:00:00,2018-09-20 04:00:00,753,5,46,788,2274,10348,2608,795
2018-09-20 13:00:00,2018-09-20 05:00:00,600,5,46,776,2271,11062,2950,867
2018-09-20 14:00:00,2018-09-20 06:00:00,540,547,46,808,2271,11979,3104,805
2018-09-20 15:00:00,2018-09-20 07:00:00,448,4939,46,816,2272,10171,2576,754
2018-09-20 16:00:00,2018-09-20 08:00:00,453,8892,46,808,2272,8907,2252,672
2018-09-20 17:00:00,2018-09-20 09:00:00,631,10099,46,779,2273,8719,2341,655
2018-09-20 18:00:00,2018-09-20 10:00:00,651,10617,46,784,2270,9319,2304,657
2018-09-20 19:00:00,2018-09-20 11:00:00,515,10677,47,789,2269,9883,2524,656
2018-09-20 20:00:00,2018-09-20 12:00:00,377,10536,46,791,2266,10473,3077,652
2018-09-20 21:00:00,2018-09-20 13:00:00,282,10573,46,774,2265,11151,3151,652
2018-09-20 22:00:00,2018-09-20 14:00:00,186,10265,46,792,2262,12290,3404,652
2018-09-20 23:00:00,2018-09-20 15:00:00,385,9389,47,792,2260,13205,4111,659
2018-09-21 00:00:00,2018-09-20 16:00:00,195,7260,46,797,2260,15066,4595,759
2018-09-21 01:00:00,2018-09-20 17:00:00,108,2215,47,801,2261,16879,5385,864
2018-09-21 02:00:00,2018-09-20 18:00:00,194,1816,48,811,2261,17251,5922,892
2018-09-21 03:00:00,2018-09-20 19:00:00,551,4,47,808,2264,16815,5726,889
2018-09-21 04:00:00,2018-09-20 20:00:00,684,4,46,794,2268,15596,4725,890
2018-09-21 05:00:00,2018-09-20 21:00:00,577,4,45,864,2267,14404,3672,889
2018-09-21 06:00:00,2018-09-20 22:00:00,453,4,45,848,2269,13170,3402,890
2018-09-21 07:00:00,2018-09-20 23:00:00,409,4,47,852,2266,12272,2977,865
2018-09-21 08:00:00,2018-09-21 00:00:00,445,4,46,820,2266,11337,2696,662
2018-09-21 09:00:00,2018-09-21 01:00:00,468,4,47,801,2258,10863,2483,652
2018-09-21 10:00:00,2018-09-21 02:00:00,365,4,46,801,2262,10517,2390,656
2018-09-21 11:00:00,2018-09-21 03:00:00,455,4,46,790,2261,10335,2395,653
2018-09-21 12:00:00,2018-09-21 04:00:00,398,4,46,799,2261,10672,2543,655
2018-09-21 13:00:00,2018-09-21 05:00:00,570,4,46,825,2263,10636,2817,653
2018-09-21 14:00:00,2018-09-21 06:00:00,556,516,46,809,2266,10949,3334,653
2018-09-21 15:00:00,2018-09-21 07:00:00,578,4863,46,807,2266,10117,2692,651
2018-09-21 16:00:00,2018-09-21 08:00:00,543,8837,46,802,2267,8596,2576,653
2018-09-21 17:00:00,2018-09-21 09:00:00,606,10161,46,792,2266,8654,2646,653
2018-09-21 18:00:00,2018-09-21 10:00:00,614,10635,46,790,2268,9299,2731,650
2018-09-21 19:00:00,2018-09-21 11:00:00,682,10711,46,797,2268,9639,2720,649
2018-09-21 20:00:00,2018-09-21 12:00:00,826,10680,46,792,2264,10700,2912,650
2018-09-21 21:00:00,2018-09-21 13:00:00,1049,10565,46,801,2262,11355,3036,649
