utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 18:00:00,3965,12,6888,1156,9991,33413,984,47627
2018-09-20 01:00:00,2018-09-19 19:00:00,4611,0,6439,1129,9980,31788,836,48586
2018-09-20 02:00:00,2018-09-19 20:00:00,5378,0,5844,1078,9977,28135,767,48011
2018-09-20 03:00:00,2018-09-19 21:00:00,6154,0,5326,1039,10035,23539,669,47095
2018-09-20 04:00:00,2018-09-19 22:00:00,6681,0,4557,1037,10035,19074,648,44967
2018-09-20 05:00:00,2018-09-19 23:00:00,6960,0,3762,1032,10045,16579,613,41051
2018-09-20 06:00:00,2018-09-20 00:00:00,6550,0,3380,1003,10081,15483,606,37359
2018-09-20 07:00:00,2018-09-20 01:00:00,6011,0,3333,989,10085,15225,605,35080
2018-09-20 08:00:00,2018-09-20 02:00:00,5357,0,3343,986,10239,14801,606,33858
2018-09-20 09:00:00,2018-09-20 03:00:00,5621,0,3382,966,10259,14443,597,32853
2018-09-20 10:00:00,2018-09-20 04:00:00,5473,0,3417,981,10253,14781,594,33895
2018-09-20 11:00:00,2018-09-20 05:00:00,5126,0,3587,1040,10292,15997,592,37698
2018-09-20 12:00:00,2018-09-20 06:00:00,5764,0,3652,1130,10204,17030,631,41803
2018-09-20 13:00:00,2018-09-20 07:00:00,5836,14,4024,1149,10182,17053,648,44217
2018-09-20 14:00:00,2018-09-20 08:00:00,5706,68,4083,1141,10162,18541,668,45790
2018-09-20 15:00:00,2018-09-20 09:00:00,6052,115,4280,1146,10147,21245,657,47256
2018-09-20 16:00:00,2018-09-20 10:00:00,6709,150,4756,1164,10128,23834,634,48417
2018-09-20 17:00:00,2018-09-20 11:00:00,7484,159,5414,1161,10118,27632,729,47491
2018-09-20 18:00:00,2018-09-20 12:00:00,8344,153,6131,1151,10105,29993,916,48400
2018-09-20 19:00:00,2018-09-20 13:00:00,8855,133,6609,1173,10095,31530,1111,48737
2018-09-20 20:00:00,2018-09-20 14:00:00,8550,144,7028,1181,10087,33016,1211,49410
2018-09-20 21:00:00,2018-09-20 15:00:00,8105,122,7425,1180,10074,34153,1212,49079
2018-09-20 22:00:00,2018-09-20 16:00:00,8191,78,7331,1181,10067,34121,1238,48687
2018-09-20 23:00:00,2018-09-20 17:00:00,8915,54,7103,1176,10070,33341,1042,48223
2018-09-21 00:00:00,2018-09-20 18:00:00,9541,15,6858,1167,10079,32376,965,47074
2018-09-21 01:00:00,2018-09-20 19:00:00,9836,0,6313,1161,10088,31138,822,46868
2018-09-21 02:00:00,2018-09-20 20:00:00,9586,0,5512,1115,10087,27884,740,47632
2018-09-21 03:00:00,2018-09-20 21:00:00,9734,0,4602,1063,10087,23235,606,47223
2018-09-21 04:00:00,2018-09-20 22:00:00,10541,0,3956,985,10085,18579,565,45063
2018-09-21 05:00:00,2018-09-20 23:00:00,10248,0,3621,942,10086,15588,540,42746
2018-09-21 06:00:00,2018-09-21 00:00:00,10482,0,2928,935,10092,14340,551,39546
2018-09-21 07:00:00,2018-09-21 01:00:00,11045,0,2654,939,10094,13789,558,36246
2018-09-21 08:00:00,2018-09-21 02:00:00,11719,0,2374,941,10131,13392,559,34004
2018-09-21 09:00:00,2018-09-21 03:00:00,11950,0,2256,941,10337,12868,572,32849
2018-09-21 10:00:00,2018-09-21 04:00:00,12084,0,2254,934,10357,13129,602,33774
2018-09-21 11:00:00,2018-09-21 05:00:00,12254,0,2363,962,10375,14940,610,37278
2018-09-21 12:00:00,2018-09-21 06:00:00,12674,0,2595,996,10392,16224,612,40576
2018-09-21 13:00:00,2018-09-21 07:00:00,12715,13,2608,1024,10398,16725,672,42423
2018-09-21 14:00:00,2018-09-21 08:00:00,12279,69,2856,1096,10385,17741,697,44253
2018-09-21 15:00:00,2018-09-21 09:00:00,12095,125,3357,1087,10381,20126,722,44755
2018-09-21 16:00:00,2018-09-21 10:00:00,12607,152,3744,1096,10371,21731,743,44561
2018-09-21 17:00:00,2018-09-21 11:00:00,12697,153,4144,1107,10393,23249,736,43322
2018-09-21 18:00:00,2018-09-21 12:00:00,12051,168,4631,1109,10369,24766,985,43589
2018-09-21 19:00:00,2018-09-21 13:00:00,11671,197,5100,1099,10229,25670,990,44666
2018-09-21 20:00:00,2018-09-21 14:00:00,11076,234,5235,1084,10070,25538,1005,45233
2018-09-21 21:00:00,2018-09-21 15:00:00,10039,216,5301,1094,9892,25222,1037,45246
2018-09-21 22:00:00,2018-09-21 16:00:00,8486,157,5123,1125,9793,24256,997,45301
2018-09-21 23:00:00,2018-09-21 17:00:00,6965,136,4822,1136,9683,23061,816,45380
2018-09-22 00:00:00,2018-09-21 18:00:00,5396,41,4528,1125,9648,21807,774,45336
