utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 19:00:00,156,0,0,739,3591,9371,732,0
2018-09-20 01:00:00,2018-09-19 20:00:00,167,0,0,731,3574,8919,494,0
2018-09-20 02:00:00,2018-09-19 21:00:00,199,0,0,694,3562,7920,426,0
2018-09-20 03:00:00,2018-09-19 22:00:00,180,0,0,678,3580,6788,430,0
2018-09-20 04:00:00,2018-09-19 23:00:00,160,0,0,673,3564,5590,421,0
2018-09-20 05:00:00,2018-09-20 00:00:00,155,0,0,674,3593,4607,383,0
2018-09-20 06:00:00,2018-09-20 01:00:00,134,0,0,694,3611,4714,385,0
2018-09-20 07:00:00,2018-09-20 02:00:00,134,0,0,699,3590,4663,383,0
2018-09-20 08:00:00,2018-09-20 03:00:00,87,0,0,703,3606,4690,384,0
2018-09-20 09:00:00,2018-09-20 04:00:00,70,0,0,704,3605,4970,396,0
2018-09-20 10:00:00,2018-09-20 05:00:00,75,1,4,716,3623,5362,431,0
2018-09-20 11:00:00,2018-09-20 06:00:00,69,1,1,706,3595,6188,375,0
2018-09-20 12:00:00,2018-09-20 07:00:00,61,4,0,700,3594,7013,561,8
2018-09-20 13:00:00,2018-09-20 08:00:00,42,13,0,716,3616,7480,689,16
2018-09-20 14:00:00,2018-09-20 09:00:00,36,25,0,726,3611,7893,683,16
2018-09-20 15:00:00,2018-09-20 10:00:00,30,46,0,730,3602,8283,655,16
2018-09-20 16:00:00,2018-09-20 11:00:00,33,50,0,729,3597,8483,663,16
2018-09-20 17:00:00,2018-09-20 12:00:00,33,64,0,734,3604,8573,486,16
2018-09-20 18:00:00,2018-09-20 13:00:00,30,57,0,731,3590,8716,456,21
2018-09-20 19:00:00,2018-09-20 14:00:00,25,44,10,725,3588,8885,541,28
2018-09-20 20:00:00,2018-09-20 15:00:00,21,30,0,738,3591,8913,724,29
2018-09-20 21:00:00,2018-09-20 16:00:00,22,22,0,730,3601,8998,856,29
2018-09-20 22:00:00,2018-09-20 17:00:00,26,11,0,736,3595,9026,1065,32
