utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 19:00:00,87,0,0,490,3443,10713,3315,0
2018-09-20 01:00:00,2018-09-19 20:00:00,72,0,0,489,3425,10295,3263,0
2018-09-20 02:00:00,2018-09-19 21:00:00,42,0,0,473,3414,9066,3143,0
2018-09-20 03:00:00,2018-09-19 22:00:00,41,0,0,444,3404,7664,2960,0
2018-09-20 04:00:00,2018-09-19 23:00:00,19,0,0,443,3415,7013,2264,0
2018-09-20 05:00:00,2018-09-20 00:00:00,41,0,0,432,3305,5871,2223,0
2018-09-20 06:00:00,2018-09-20 01:00:00,15,0,0,402,3103,4741,2117,0
2018-09-20 07:00:00,2018-09-20 02:00:00,23,0,0,373,3087,4360,2014,0
2018-09-20 08:00:00,2018-09-20 03:00:00,28,0,0,373,3095,4334,2146,0
2018-09-20 09:00:00,2018-09-20 04:00:00,30,0,0,367,3097,4343,2137,0
2018-09-20 10:00:00,2018-09-20 05:00:00,35,0,0,404,3216,5045,2308,0
2018-09-20 11:00:00,2018-09-20 06:00:00,30,0,0,418,3389,6383,2757,0
2018-09-20 12:00:00,2018-09-20 07:00:00,27,0,0,438,3401,7085,3011,0
2018-09-20 13:00:00,2018-09-20 08:00:00,35,0,0,448,3412,7666,2981,0
2018-09-20 14:00:00,2018-09-20 09:00:00,65,0,0,454,3430,8547,3249,0
2018-09-20 15:00:00,2018-09-20 10:00:00,56,0,0,502,3428,8633,3105,0
2018-09-20 16:00:00,2018-09-20 11:00:00,31,0,0,513,3426,8723,3118,0
2018-09-20 17:00:00,2018-09-20 12:00:00,15,0,0,512,3425,8479,3009,0
2018-09-20 18:00:00,2018-09-20 13:00:00,13,0,0,513,3419,8458,2996,0
2018-09-20 19:00:00,2018-09-20 14:00:00,3,0,0,512,3418,8935,2929,0
2018-09-20 20:00:00,2018-09-20 15:00:00,2,0,0,508,3423,9108,3103,0
2018-09-20 21:00:00,2018-09-20 16:00:00,13,0,0,495,3445,9511,3016,0
2018-09-20 22:00:00,2018-09-20 17:00:00,35,0,0,529,3467,9040,3043,0
2018-09-20 23:00:00,2018-09-20 18:00:00,99,0,0,497,3486,8678,3068,0
2018-09-21 00:00:00,2018-09-20 19:00:00,146,0,0,494,3471,8898,3155,0
2018-09-21 01:00:00,2018-09-20 20:00:00,245,0,0,484,3407,8598,3249,0
2018-09-21 02:00:00,2018-09-20 21:00:00,362,0,0,444,3384,7896,3203,0
2018-09-21 03:00:00,2018-09-20 22:00:00,519,0,0,436,3366,6729,3086,0
2018-09-21 04:00:00,2018-09-20 23:00:00,604,0,0,432,3336,5831,2846,0
2018-09-21 05:00:00,2018-09-21 00:00:00,681,0,0,429,3345,5035,2641,0
2018-09-21 06:00:00,2018-09-21 01:00:00,707,0,0,410,3210,4630,2468,0
2018-09-21 07:00:00,2018-09-21 02:00:00,759,0,0,393,3182,4135,2522,0
2018-09-21 08:00:00,2018-09-21 03:00:00,879,0,0,363,3186,3963,2332,0
2018-09-21 09:00:00,2018-09-21 04:00:00,915,0,0,375,3200,4123,2374,0
2018-09-21 10:00:00,2018-09-21 05:00:00,1131,0,0,394,3372,4548,2407,0
2018-09-21 11:00:00,2018-09-21 06:00:00,1267,0,0,448,3400,5678,2677,0
2018-09-21 12:00:00,2018-09-21 07:00:00,1347,0,0,476,3416,6362,2816,0
2018-09-21 13:00:00,2018-09-21 08:00:00,1415,0,0,485,3413,6818,2812,0
2018-09-21 14:00:00,2018-09-21 09:00:00,1426,0,0,496,3415,7424,2821,0
2018-09-21 15:00:00,2018-09-21 10:00:00,1422,0,0,523,3419,7725,2759,0
2018-09-21 16:00:00,2018-09-21 11:00:00,1457,0,0,532,3424,8070,2742,0
2018-09-21 17:00:00,2018-09-21 12:00:00,1466,0,0,524,3427,8044,2768,0
2018-09-21 18:00:00,2018-09-21 13:00:00,1473,0,0,544,3429,8171,2989,0
2018-09-21 19:00:00,2018-09-21 14:00:00,1437,0,0,553,3444,8273,2775,0
2018-09-21 20:00:00,2018-09-21 15:00:00,1437,0,0,535,3455,8386,2869,0
2018-09-21 21:00:00,2018-09-21 16:00:00,1457,0,0,542,3449,8697,3169,0
2018-09-21 22:00:00,2018-09-21 17:00:00,1437,0,0,530,3448,8673,3020,0
2018-09-21 23:00:00,2018-09-21 18:00:00,1468,0,0,525,3445,8327,3007,0
2018-09-22 00:00:00,2018-09-21 19:00:00,1437,0,0,526,3458,8261,2886,0
2018-09-22 01:00:00,2018-09-21 20:00:00,1499,0,0,522,3431,7901,2793,0
2018-09-22 02:00:00,2018-09-21 21:00:00,1382,0,0,478,3435,7025,2772,0
2018-09-22 03:00:00,2018-09-21 22:00:00,1377,0,0,444,3424,5920,2770,0
2018-09-22 04:00:00,2018-09-21 23:00:00,1312,0,0,431,3402,5028,2715,0
2018-09-22 05:00:00,2018-09-22 00:00:00,1267,0,0,471,3396,4508,2574,0
2018-09-22 06:00:00,2018-09-22 01:00:00,1260,0,0,471,3393,4092,2443,0
2018-09-22 07:00:00,2018-09-22 02:00:00,1211,0,0,456,3287,3792,2274,0
2018-09-22 08:00:00,2018-09-22 03:00:00,1120,0,0,459,3329,3683,2336,0
2018-09-22 09:00:00,2018-09-22 04:00:00,932,0,0,454,3289,3681,2307,0
2018-09-22 10:00:00,2018-09-22 05:00:00,795,0,0,457,3317,3795,2427,0
2018-09-22 11:00:00,2018-09-22 06:00:00,719,0,0,468,3388,4153,2589,0
2018-09-22 12:00:00,2018-09-22 07:00:00,523,0,0,473,3389,4857,2714,0
2018-09-22 13:00:00,2018-09-22 08:00:00,441,0,0,481,3412,5319,2813,0
2018-09-22 14:00:00,2018-09-22 09:00:00,433,0,0,495,3414,5727,2817,0
2018-09-22 15:00:00,2018-09-22 10:00:00,268,0,0,501,3421,5931,2855,0
2018-09-22 16:00:00,2018-09-22 11:00:00,183,0,0,534,3431,6170,2873,0
2018-09-22 17:00:00,2018-09-22 12:00:00,147,0,0,541,3425,6089,2883,0
2018-09-22 18:00:00,2018-09-22 13:00:00,99,0,0,532,3416,5903,2875,0
2018-09-22 19:00:00,2018-09-22 14:00:00,66,0,0,545,3411,5825,2879,0
2018-09-22 20:00:00,2018-09-22 15:00:00,78,0,0,537,3412,5883,2903,0
2018-09-22 21:00:00,2018-09-22 16:00:00,60,0,0,518,3418,5864,2922,0
2018-09-22 22:00:00,2018-09-22 17:00:00,57,0,0,518,3418,5992,2863,0
2018-09-22 23:00:00,2018-09-22 18:00:00,53,0,0,515,3422,5792,2808,0
2018-09-23 00:00:00,2018-09-22 19:00:00,79,0,0,520,3443,5848,2779,0
2018-09-23 01:00:00,2018-09-22 20:00:00,118,0,0,503,3434,5698,2793,0
2018-09-23 02:00:00,2018-09-22 21:00:00,137,0,0,501,3426,5626,2796,0
2018-09-23 03:00:00,2018-09-22 22:00:00,120,0,0,489,3393,5171,2776,0
2018-09-23 04:00:00,2018-09-22 23:00:00,92,0,0,485,3392,4520,2734,0
2018-09-23 05:00:00,2018-09-23 00:00:00,84,0,0,474,3319,4221,2628,0
2018-09-23 06:00:00,2018-09-23 01:00:00,108,0,0,436,3266,3679,2571,0
2018-09-23 07:00:00,2018-09-23 02:00:00,120,0,0,410,3092,3519,2380,0
2018-09-23 08:00:00,2018-09-23 03:00:00,152,0,0,399,3081,3396,2327,0
2018-09-23 09:00:00,2018-09-23 04:00:00,189,0,0,402,3077,3307,2338,0
2018-09-23 10:00:00,2018-09-23 05:00:00,195,0,0,441,3086,3386,2220,0
2018-09-23 11:00:00,2018-09-23 06:00:00,187,0,0,449,3189,3584,2403,0
2018-09-23 12:00:00,2018-09-23 07:00:00,170,0,0,477,3380,4090,2599,0
2018-09-23 13:00:00,2018-09-23 08:00:00,85,0,0,443,3391,4466,2581,0
2018-09-23 14:00:00,2018-09-23 09:00:00,40,0,0,551,3388,4852,2761,0
2018-09-23 15:00:00,2018-09-23 10:00:00,58,0,0,494,3407,4989,2825,0
2018-09-23 16:00:00,2018-09-23 11:00:00,78,0,0,600,3410,4964,2838,0
2018-09-23 17:00:00,2018-09-23 12:00:00,48,0,0,650,3406,5175,2861,0
2018-09-23 18:00:00,2018-09-23 13:00:00,41,0,0,713,3406,5137,2871,0
2018-09-23 19:00:00,2018-09-23 14:00:00,37,0,0,691,3411,5185,2892,0
2018-09-23 20:00:00,2018-09-23 15:00:00,34,0,0,736,3425,5100,2891,0
2018-09-23 21:00:00,2018-09-23 16:00:00,26,0,0,892,3436,5221,2887,0
2018-09-23 22:00:00,2018-09-23 17:00:00,20,0,0,970,3446,5487,2827,0
2018-09-23 23:00:00,2018-09-23 18:00:00,43,0,0,1139,3474,5620,2771,0
2018-09-24 00:00:00,2018-09-23 19:00:00,151,0,0,1120,3483,5678,2774,0
2018-09-24 01:00:00,2018-09-23 20:00:00,202,0,0,1091,3474,5701,2820,0
2018-09-24 02:00:00,2018-09-23 21:00:00,195,0,0,1101,3458,5374,2847,0
2018-09-24 03:00:00,2018-09-23 22:00:00,248,0,0,1129,3431,4852,2720,0
2018-09-24 04:00:00,2018-09-23 23:00:00,242,0,0,1060,3410,4213,2651,0
2018-09-24 05:00:00,2018-09-24 00:00:00,262,0,0,1037,3406,3631,2337,0
2018-09-24 06:00:00,2018-09-24 01:00:00,237,0,0,1042,3487,3521,2007,0
2018-09-24 07:00:00,2018-09-24 02:00:00,276,0,0,1033,3595,3517,1555,0
2018-09-24 08:00:00,2018-09-24 03:00:00,323,0,0,1042,3653,3616,1136,0
2018-09-24 09:00:00,2018-09-24 04:00:00,339,0,0,1038,3618,3910,1552,0
2018-09-24 10:00:00,2018-09-24 05:00:00,340,0,0,1078,3719,4449,1678,0
2018-09-24 11:00:00,2018-09-24 06:00:00,374,0,0,1092,3842,5294,1878,0
2018-09-24 12:00:00,2018-09-24 07:00:00,369,0,0,1099,3838,5566,2667,0
2018-09-24 13:00:00,2018-09-24 08:00:00,348,0,0,1102,3841,5665,2766,0
2018-09-24 14:00:00,2018-09-24 09:00:00,347,0,0,1101,3830,5767,2827,0
2018-09-24 15:00:00,2018-09-24 10:00:00,373,0,0,1100,3838,5997,2803,0
2018-09-24 16:00:00,2018-09-24 11:00:00,388,0,0,1104,3850,5998,2868,0
