utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 16:00:00,3581,1837,59,737,1150,9494,11306,13112
2018-09-20 01:00:00,2018-09-19 17:00:00,3715,1034,60,744,1150,9551,12198,13106
2018-09-20 02:00:00,2018-09-19 18:00:00,4490,188,59,740,1151,9496,12251,13483
2018-09-20 03:00:00,2018-09-19 19:00:00,5104,109,59,751,1149,9076,12052,13249
2018-09-20 04:00:00,2018-09-19 20:00:00,5228,111,58,759,1159,8694,11595,12867
2018-09-20 05:00:00,2018-09-19 21:00:00,5160,110,58,771,1163,7962,10267,12127
2018-09-20 06:00:00,2018-09-19 22:00:00,5483,110,57,779,1161,6827,7679,11437
2018-09-20 07:00:00,2018-09-19 23:00:00,4399,111,59,784,1149,6171,6939,11011
2018-09-20 08:00:00,2018-09-20 00:00:00,4048,111,58,800,1152,5925,6453,11185
2018-09-20 09:00:00,2018-09-20 01:00:00,4266,111,60,797,1158,5588,6157,11007
2018-09-20 10:00:00,2018-09-20 02:00:00,4368,110,60,817,1158,5575,6091,11126
2018-09-20 11:00:00,2018-09-20 03:00:00,4211,66,59,825,1158,5597,6499,11153
2018-09-20 12:00:00,2018-09-20 04:00:00,3988,-1,60,830,1158,5789,7005,11959
2018-09-20 13:00:00,2018-09-20 05:00:00,3625,-1,59,848,1158,6576,7456,12887
2018-09-20 14:00:00,2018-09-20 06:00:00,3545,65,60,862,1159,7001,9566,13262
2018-09-20 15:00:00,2018-09-20 07:00:00,3348,871,59,859,1160,6985,9696,13370
2018-09-20 16:00:00,2018-09-20 08:00:00,3472,1788,58,846,1159,6930,9179,12687
2018-09-20 17:00:00,2018-09-20 09:00:00,3897,2023,57,830,1157,7126,8699,11686
2018-09-20 18:00:00,2018-09-20 10:00:00,3914,2105,57,816,1157,7395,8732,11213
2018-09-20 19:00:00,2018-09-20 11:00:00,3823,2062,58,803,1156,7870,8775,11085
2018-09-20 20:00:00,2018-09-20 12:00:00,3623,1862,58,759,1154,8116,8820,10920
2018-09-20 21:00:00,2018-09-20 13:00:00,3661,2168,57,775,1152,8761,9006,11609
2018-09-20 22:00:00,2018-09-20 14:00:00,3304,2090,58,744,1151,9326,9487,12342
2018-09-20 23:00:00,2018-09-20 15:00:00,2958,2121,59,768,1150,10068,10060,13019
2018-09-21 00:00:00,2018-09-20 16:00:00,2892,1933,58,759,1150,10397,10678,13377
2018-09-21 01:00:00,2018-09-20 17:00:00,2659,1039,58,766,1149,10336,12027,13801
2018-09-21 02:00:00,2018-09-20 18:00:00,2975,172,59,756,1149,10150,12698,13885
2018-09-21 03:00:00,2018-09-20 19:00:00,2604,107,59,790,1149,10106,12802,13854
2018-09-21 04:00:00,2018-09-20 20:00:00,2220,105,60,804,1150,9871,12608,13642
2018-09-21 05:00:00,2018-09-20 21:00:00,2579,106,59,810,1152,9027,11478,13037
2018-09-21 06:00:00,2018-09-20 22:00:00,2281,105,59,819,1153,7918,9532,12939
2018-09-21 07:00:00,2018-09-20 23:00:00,2052,106,61,847,1155,6761,8238,12711
2018-09-21 08:00:00,2018-09-21 00:00:00,2111,106,59,851,1156,6406,7340,12466
2018-09-21 09:00:00,2018-09-21 01:00:00,1989,50,60,853,1159,6369,6604,11844
