utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-19 18:00:00,10222,251,0,12,4985,32355,117,14137
2018-09-20 01:00:00,2018-09-19 19:00:00,10905,41,0,10,4986,29994,65,14144
2018-09-20 02:00:00,2018-09-19 20:00:00,11218,0,0,7,4988,28345,30,13978
2018-09-20 03:00:00,2018-09-19 21:00:00,12048,0,0,7,4988,25175,1,13269
2018-09-20 04:00:00,2018-09-19 22:00:00,12077,0,0,5,4989,21068,0,13177
2018-09-20 05:00:00,2018-09-19 23:00:00,11344,0,0,9,4990,18642,0,12080
2018-09-20 06:00:00,2018-09-20 00:00:00,10498,0,0,7,4991,17113,27,11387
2018-09-20 07:00:00,2018-09-20 01:00:00,11025,0,0,4,4993,15383,20,10019
2018-09-20 08:00:00,2018-09-20 02:00:00,11243,0,0,7,4994,15020,0,8654
2018-09-20 09:00:00,2018-09-20 03:00:00,11178,0,0,5,4995,14859,0,8029
2018-09-20 10:00:00,2018-09-20 04:00:00,11468,0,0,5,4997,14716,0,7797
2018-09-20 11:00:00,2018-09-20 05:00:00,11114,0,0,9,4998,15437,0,9025
2018-09-20 12:00:00,2018-09-20 06:00:00,10454,0,0,7,4999,17133,0,11036
2018-09-20 13:00:00,2018-09-20 07:00:00,9597,4,0,6,4999,17771,40,12097
2018-09-20 14:00:00,2018-09-20 08:00:00,8612,193,0,7,5000,18800,39,12813
2018-09-20 15:00:00,2018-09-20 09:00:00,9632,596,0,5,5000,19890,8,13043
2018-09-20 16:00:00,2018-09-20 10:00:00,11336,654,0,7,5002,21050,28,12942
2018-09-20 17:00:00,2018-09-20 11:00:00,11526,685,0,5,5002,23030,48,13407
2018-09-20 18:00:00,2018-09-20 12:00:00,11255,604,0,5,5002,25429,111,13521
2018-09-20 19:00:00,2018-09-20 13:00:00,11589,691,0,4,5001,26266,112,13660
2018-09-20 20:00:00,2018-09-20 14:00:00,11858,652,0,5,5001,26838,84,13836
2018-09-20 21:00:00,2018-09-20 15:00:00,11986,630,0,7,5000,27086,65,13780
