utc_time,local_time,wind,solar,petroleum,other,nuclear,natural_gas,hydro,coal
2018-09-20 00:00:00,2018-09-20 00:00:00,35450,9912,7419,10133,89845,242027,36292,158807
2018-09-20 01:00:00,2018-09-20 01:00:00,36981,3645,6970,9897,89834,232265,34889,159086
2018-09-20 02:00:00,2018-09-20 02:00:00,39545,310,6134,9046,89861,213910,31791,155521
2018-09-20 03:00:00,2018-09-20 03:00:00,41929,171,5573,8639,89975,191658,30016,148025
2018-09-20 04:00:00,2018-09-20 04:00:00,42909,135,4868,7889,89807,167711,25803,141895
2018-09-20 05:00:00,2018-09-20 05:00:00,41856,169,4005,7746,89986,151920,22032,130211
2018-09-20 06:00:00,2018-09-20 06:00:00,40136,168,3622,7433,89831,140804,17395,121123
2018-09-20 07:00:00,2018-09-20 07:00:00,38859,168,3622,7209,89804,133459,15103,113798
2018-09-20 08:00:00,2018-09-20 08:00:00,37371,162,3660,7268,90021,130081,14257,108809
2018-09-20 09:00:00,2018-09-20 09:00:00,37369,161,3703,7251,90107,129579,13662,107197
2018-09-20 10:00:00,2018-09-20 10:00:00,37315,156,3744,7846,90223,134839,13882,111512
2018-09-20 11:00:00,2018-09-20 11:00:00,35787,120,3907,7961,90392,144313,16052,122603
2018-09-20 12:00:00,2018-09-20 12:00:00,34932,369,3983,8254,90369,152651,18294,131349
2018-09-20 13:00:00,2018-09-20 13:00:00,32987,1310,4434,8520,90357,160157,20201,137614
2018-09-20 14:00:00,2018-09-20 14:00:00,30526,3487,4460,8688,90292,173208,24152,143396
2018-09-20 15:00:00,2018-09-20 15:00:00,31635,10529,4657,8925,90204,185969,24981,148067
2018-09-20 16:00:00,2018-09-20 16:00:00,34925,16469,5108,9032,90213,197773,25671,151155
2018-09-20 17:00:00,2018-09-20 17:00:00,37095,18299,5753,8908,90237,209514,27026,151202
2018-09-20 18:00:00,2018-09-20 18:00:00,38730,18869,6961,9267,90154,227336,31131,153102
2018-09-20 19:00:00,2018-09-20 19:00:00,39769,18944,7475,9580,90142,236492,34366,154879
2018-09-20 20:00:00,2018-09-20 20:00:00,40515,18255,7909,9826,90076,241879,36070,156026
2018-09-20 21:00:00,2018-09-20 21:00:00,40705,18045,8278,9774,90102,246643,37116,157331
2018-09-20 22:00:00,2018-09-20 22:00:00,41103,16537,8171,9700,90180,245444,38033,157841
2018-09-20 23:00:00,2018-09-20 23:00:00,40446,14143,7768,9394,90262,241797,37884,156381
2018-09-21 00:00:00,2018-09-21 00:00:00,40279,10576,7210,9140,90344,238900,36425,155780
2018-09-21 01:00:00,2018-09-21 01:00:00,37765,3821,6670,9142,90285,233508,34604,154711
2018-09-21 02:00:00,2018-09-21 02:00:00,36904,2184,5847,8828,90276,216808,33180,153871
2018-09-21 03:00:00,2018-09-21 03:00:00,36569,261,4946,8695,90278,194225,31219,150943
2018-09-21 04:00:00,2018-09-21 04:00:00,33455,280,4207,8092,90591,170079,27686,143634
2018-09-21 05:00:00,2018-09-21 05:00:00,36842,254,3929,7875,90064,154666,23035,135177
2018-09-21 06:00:00,2018-09-21 06:00:00,34441,253,3238,7717,89902,144920,19448,127923
2018-09-21 07:00:00,2018-09-21 07:00:00,32742,158,2973,7662,89821,139018,17056,120914
2018-09-21 08:00:00,2018-09-21 08:00:00,31357,112,2694,7523,89867,137009,15291,116983
2018-09-21 09:00:00,2018-09-21 09:00:00,29817,52,2583,7433,90003,137710,14229,116289
2018-09-21 10:00:00,2018-09-21 10:00:00,29690,7,2578,7943,90150,142589,14347,119730
2018-09-21 11:00:00,2018-09-21 11:00:00,31099,32,2690,8097,90218,151407,16543,128941
2018-09-21 12:00:00,2018-09-21 12:00:00,33001,372,2920,8230,90308,160592,18620,133686
