Net generation from coal for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.COL.H
19:04:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.COL.H megawatthours
11/19/2021 08H,560
11/19/2021 07H,560
11/19/2021 06H,560
11/19/2021 05H,561
11/19/2021 04H,560
11/19/2021 03H,559
11/19/2021 02H,559
11/19/2021 01H,559
11/19/2021 00H,559
11/18/2021 23H,557
11/18/2021 22H,561
11/18/2021 21H,561
11/18/2021 20H,560
11/18/2021 19H,561
11/18/2021 18H,559
11/18/2021 17H,560
11/18/2021 16H,561
11/18/2021 15H,561
11/18/2021 14H,562
11/18/2021 13H,559
11/18/2021 12H,560
11/18/2021 11H,561
11/18/2021 10H,561
11/18/2021 09H,563
11/18/2021 08H,563
11/18/2021 07H,564
11/18/2021 06H,561
11/18/2021 05H,559
11/18/2021 04H,558
11/18/2021 03H,559
11/18/2021 02H,559
11/18/2021 01H,559
11/18/2021 00H,559
11/17/2021 23H,558
11/17/2021 22H,557
11/17/2021 21H,559
11/17/2021 20H,560
11/17/2021 19H,562
11/17/2021 18H,562
11/17/2021 17H,561
11/17/2021 16H,561
11/17/2021 15H,560
11/17/2021 14H,562
11/17/2021 13H,563
11/17/2021 12H,561
11/17/2021 11H,562
11/17/2021 10H,563
11/17/2021 09H,562
11/17/2021 08H,560
11/17/2021 07H,557
11/17/2021 06H,560
11/17/2021 05H,560
11/17/2021 04H,560
11/17/2021 03H,561
11/17/2021 02H,561
11/17/2021 01H,561
11/17/2021 00H,560
11/16/2021 23H,558
11/16/2021 22H,557
11/16/2021 21H,560
11/16/2021 20H,559
11/16/2021 19H,562
11/16/2021 18H,561
11/16/2021 17H,559
11/16/2021 16H,559
11/16/2021 15H,558
11/16/2021 14H,559
11/16/2021 13H,559
11/16/2021 12H,559
11/16/2021 11H,559
11/16/2021 10H,558
11/16/2021 09H,560
11/16/2021 08H,560
11/16/2021 07H,560
11/16/2021 06H,562
11/16/2021 05H,560
11/16/2021 04H,558
11/16/2021 03H,558
11/16/2021 02H,560
11/16/2021 01H,557
11/16/2021 00H,558
11/15/2021 23H,556
11/15/2021 22H,558
11/15/2021 21H,558
11/15/2021 20H,559
11/15/2021 19H,559
11/15/2021 18H,560
11/15/2021 17H,560
11/15/2021 16H,558
11/15/2021 15H,559
11/15/2021 14H,559
11/15/2021 13H,563
11/15/2021 12H,561
11/15/2021 11H,563
11/15/2021 10H,562
11/15/2021 09H,561
11/15/2021 08H,561
11/15/2021 07H,559
11/15/2021 06H,560
11/15/2021 05H,560
11/15/2021 04H,560
11/15/2021 03H,556
11/15/2021 02H,556
11/15/2021 01H,554
11/15/2021 00H,558
11/14/2021 23H,558
11/14/2021 22H,560
11/14/2021 21H,559
11/14/2021 20H,560
11/14/2021 19H,561
11/14/2021 18H,561
11/14/2021 17H,561
11/14/2021 16H,559
11/14/2021 15H,559
11/14/2021 14H,562
11/14/2021 13H,562
11/14/2021 12H,562
11/14/2021 11H,561
11/14/2021 10H,559
11/14/2021 09H,559
11/14/2021 08H,559
11/14/2021 07H,559
11/14/2021 06H,558
11/14/2021 05H,558
11/14/2021 04H,559
11/14/2021 03H,558
11/14/2021 02H,558
11/14/2021 01H,559
11/14/2021 00H,559
11/13/2021 23H,560
11/13/2021 22H,560
11/13/2021 21H,561
11/13/2021 20H,562
11/13/2021 19H,562
11/13/2021 18H,564
11/13/2021 17H,567
11/13/2021 16H,574
11/13/2021 15H,577
11/13/2021 14H,577
11/13/2021 13H,579
11/13/2021 12H,577
11/13/2021 11H,577
11/13/2021 10H,575
11/13/2021 09H,573
11/13/2021 08H,557
11/13/2021 07H,556
11/13/2021 06H,557
11/13/2021 05H,557
11/13/2021 04H,557
11/13/2021 03H,557
11/13/2021 02H,558
11/13/2021 01H,558
11/13/2021 00H,557
11/12/2021 23H,557
11/12/2021 22H,557
11/12/2021 21H,556
11/12/2021 20H,557
11/12/2021 19H,558
11/12/2021 18H,559
11/12/2021 17H,558
11/12/2021 16H,557
11/12/2021 15H,560
11/12/2021 14H,560
11/12/2021 13H,561
11/12/2021 12H,560
11/12/2021 11H,559
11/12/2021 10H,559
11/12/2021 09H,558
11/12/2021 08H,558
11/12/2021 07H,554
11/12/2021 06H,554
11/12/2021 05H,558
11/12/2021 04H,557
11/12/2021 03H,556
11/12/2021 02H,555
11/12/2021 01H,556
11/12/2021 00H,556
11/11/2021 23H,555
11/11/2021 22H,557
11/11/2021 21H,557
11/11/2021 20H,557
