Net generation from other for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.OTH.H
19:04:42 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.OTH.H megawatthours
11/19/2021 08H,991
11/19/2021 07H,1004
11/19/2021 06H,1007
11/19/2021 05H,1228
11/19/2021 04H,1312
11/19/2021 03H,2096
11/19/2021 02H,2069
11/19/2021 01H,2196
11/19/2021 00H,1342
11/18/2021 23H,889
11/18/2021 22H,864
11/18/2021 21H,857
11/18/2021 20H,850
11/18/2021 19H,856
11/18/2021 18H,877
11/18/2021 17H,933
11/18/2021 16H,1274
11/18/2021 15H,1269
11/18/2021 14H,1165
11/18/2021 13H,1086
11/18/2021 12H,943
11/18/2021 11H,949
11/18/2021 10H,955
11/18/2021 09H,1019
11/18/2021 08H,1029
11/18/2021 07H,1048
11/18/2021 06H,1006
11/18/2021 05H,1452
11/18/2021 04H,1608
11/18/2021 03H,1830
11/18/2021 02H,2015
11/18/2021 01H,2190
11/18/2021 00H,1325
11/17/2021 23H,900
11/17/2021 22H,872
11/17/2021 21H,856
11/17/2021 20H,863
11/17/2021 19H,853
11/17/2021 18H,853
11/17/2021 17H,925
11/17/2021 16H,1560
11/17/2021 15H,1554
11/17/2021 14H,1312
11/17/2021 13H,1020
11/17/2021 12H,953
11/17/2021 11H,899
11/17/2021 10H,960
11/17/2021 09H,958
11/17/2021 08H,1050
11/17/2021 07H,1071
11/17/2021 06H,1227
11/17/2021 05H,1275
11/17/2021 04H,1853
11/17/2021 03H,1543
11/17/2021 02H,1819
11/17/2021 01H,1712
11/17/2021 00H,1066
11/16/2021 23H,979
11/16/2021 22H,1029
11/16/2021 21H,871
11/16/2021 20H,871
11/16/2021 19H,874
11/16/2021 18H,910
11/16/2021 17H,948
11/16/2021 16H,1921
11/16/2021 15H,1919
11/16/2021 14H,1476
11/16/2021 13H,1000
11/16/2021 12H,953
11/16/2021 11H,885
11/16/2021 10H,893
