Net generation from petroleum for California (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390106&sdid=EBA.CAL-ALL.NG.OIL.H
19:04:49 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.NG.OIL.H megawatthours
11/19/2021 08H,35
11/19/2021 07H,35
11/19/2021 06H,35
11/19/2021 05H,35
11/19/2021 04H,34
11/19/2021 03H,33
11/19/2021 02H,34
11/19/2021 01H,34
11/19/2021 00H,34
11/18/2021 23H,36
11/18/2021 22H,36
11/18/2021 21H,31
11/18/2021 20H,4
11/18/2021 19H,8
11/18/2021 18H,19
11/18/2021 17H,36
11/18/2021 16H,36
11/18/2021 15H,36
11/18/2021 14H,36
11/18/2021 13H,36
11/18/2021 12H,36
11/18/2021 11H,37
11/18/2021 10H,36
11/18/2021 09H,35
11/18/2021 08H,36
11/18/2021 07H,36
11/18/2021 06H,35
11/18/2021 05H,35
11/18/2021 04H,36
11/18/2021 03H,35
11/18/2021 02H,34
11/18/2021 01H,35
11/18/2021 00H,32
11/17/2021 23H,31
11/17/2021 22H,50
11/17/2021 21H,83
11/17/2021 20H,79
11/17/2021 19H,79
11/17/2021 18H,76
11/17/2021 17H,77
11/17/2021 16H,77
11/17/2021 15H,52
11/17/2021 14H,52
11/17/2021 13H,50
11/17/2021 12H,51
11/17/2021 11H,70
11/17/2021 10H,45
11/17/2021 09H,45
11/17/2021 08H,43
11/17/2021 07H,44
11/17/2021 06H,43
11/17/2021 05H,43
11/17/2021 04H,43
11/17/2021 03H,43
11/17/2021 02H,46
11/17/2021 01H,46
11/17/2021 00H,46
11/16/2021 23H,46
11/16/2021 22H,46
11/16/2021 21H,46
11/16/2021 20H,46
11/16/2021 19H,46
11/16/2021 18H,46
11/16/2021 17H,46
11/16/2021 16H,46
11/16/2021 15H,46
11/16/2021 14H,46
11/16/2021 13H,46
11/16/2021 12H,46
11/16/2021 11H,46
11/16/2021 10H,46
11/16/2021 09H,46
11/16/2021 08H,46
11/16/2021 07H,46
11/16/2021 06H,46
11/16/2021 05H,46
11/16/2021 04H,45
11/16/2021 03H,46
11/16/2021 02H,46
11/16/2021 01H,46
11/16/2021 00H,46
11/15/2021 23H,46
11/15/2021 22H,46
11/15/2021 21H,46
11/15/2021 20H,46
11/15/2021 19H,46
11/15/2021 18H,46
11/15/2021 17H,46
11/15/2021 16H,46
11/15/2021 15H,46
11/15/2021 14H,46
11/15/2021 13H,46
11/15/2021 12H,46
11/15/2021 11H,46
11/15/2021 10H,46
11/15/2021 09H,46
11/15/2021 08H,46
11/15/2021 07H,46
11/15/2021 06H,46
11/15/2021 05H,46
11/15/2021 04H,46
11/15/2021 03H,46
11/15/2021 02H,46
11/15/2021 01H,46
11/15/2021 00H,46
11/14/2021 23H,46
11/14/2021 22H,46
11/14/2021 21H,46
11/14/2021 20H,46
11/14/2021 19H,46
11/14/2021 18H,46
11/14/2021 17H,46
11/14/2021 16H,47
11/14/2021 15H,46
11/14/2021 14H,46
11/14/2021 13H,46
11/14/2021 12H,46
11/14/2021 11H,46
11/14/2021 10H,46
11/14/2021 09H,46
11/14/2021 08H,46
11/14/2021 07H,46
11/14/2021 06H,46
11/14/2021 05H,46
11/14/2021 04H,46
11/14/2021 03H,46
11/14/2021 02H,46
11/14/2021 01H,46
11/14/2021 00H,46
11/13/2021 23H,46
11/13/2021 22H,46
11/13/2021 21H,46
11/13/2021 20H,29
11/13/2021 19H,-4
11/13/2021 18H,-3
11/13/2021 17H,-3
11/13/2021 16H,-3
11/13/2021 15H,-3
11/13/2021 14H,-3
11/13/2021 13H,-3
11/13/2021 12H,-3
