Net generation from other for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.OTH.H
19:06:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.OTH.H megawatthours
11/19/2021 05H,943
11/19/2021 04H,997
11/19/2021 03H,989
11/19/2021 02H,909
11/19/2021 01H,860
11/19/2021 00H,858
11/18/2021 23H,855
11/18/2021 22H,860
11/18/2021 21H,861
11/18/2021 20H,819
11/18/2021 19H,827
11/18/2021 18H,806
11/18/2021 17H,778
11/18/2021 16H,746
11/18/2021 15H,736
11/18/2021 14H,823
11/18/2021 13H,859
11/18/2021 12H,895
11/18/2021 11H,933
11/18/2021 10H,956
11/18/2021 09H,950
11/18/2021 08H,944
11/18/2021 07H,950
11/18/2021 06H,951
11/18/2021 05H,945
11/18/2021 04H,960
11/18/2021 03H,1005
11/18/2021 02H,1009
11/18/2021 01H,974
11/18/2021 00H,956
11/17/2021 23H,870
11/17/2021 22H,917
11/17/2021 21H,855
11/17/2021 20H,818
11/17/2021 19H,816
11/17/2021 18H,826
11/17/2021 17H,826
11/17/2021 16H,845
11/17/2021 15H,867
11/17/2021 14H,873
11/17/2021 13H,869
11/17/2021 12H,893
11/17/2021 11H,926
11/17/2021 10H,1003
11/17/2021 09H,1022
11/17/2021 08H,1024
11/17/2021 07H,1019
11/17/2021 06H,1022
11/17/2021 05H,1020
11/17/2021 04H,1005
11/17/2021 03H,952
11/17/2021 02H,879
11/17/2021 01H,861
11/17/2021 00H,867
11/16/2021 23H,856
11/16/2021 22H,859
11/16/2021 21H,844
11/16/2021 20H,795
11/16/2021 19H,777
11/16/2021 18H,772
11/16/2021 17H,806
11/16/2021 16H,868
11/16/2021 15H,867
11/16/2021 14H,925
11/16/2021 13H,1111
11/16/2021 12H,1022
11/16/2021 11H,1012
11/16/2021 10H,1015
11/16/2021 09H,1018
11/16/2021 08H,1020
11/16/2021 07H,1014
11/16/2021 06H,1020
11/16/2021 05H,1020
11/16/2021 04H,1020
11/16/2021 03H,959
11/16/2021 02H,880
11/16/2021 01H,873
11/16/2021 00H,860
11/15/2021 23H,873
11/15/2021 22H,879
11/15/2021 21H,857
11/15/2021 20H,813
11/15/2021 19H,785
11/15/2021 18H,777
11/15/2021 17H,807
11/15/2021 16H,828
11/15/2021 15H,816
11/15/2021 14H,849
11/15/2021 13H,940
11/15/2021 12H,901
11/15/2021 11H,979
11/15/2021 10H,1040
11/15/2021 09H,997
11/15/2021 08H,993
11/15/2021 07H,1001
11/15/2021 06H,976
11/15/2021 05H,975
11/15/2021 04H,931
11/15/2021 03H,921
11/15/2021 02H,919
11/15/2021 01H,890
11/15/2021 00H,888
11/14/2021 23H,816
11/14/2021 22H,634
11/14/2021 21H,623
11/14/2021 20H,650
11/14/2021 19H,652
11/14/2021 18H,658
11/14/2021 17H,663
11/14/2021 16H,716
11/14/2021 15H,835
11/14/2021 14H,889
11/14/2021 13H,887
11/14/2021 12H,923
11/14/2021 11H,912
11/14/2021 10H,839
11/14/2021 09H,840
11/14/2021 08H,833
11/14/2021 07H,842
11/14/2021 06H,840
11/14/2021 05H,839
