Net generation from petroleum for Carolinas (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390107&sdid=EBA.CAR-ALL.NG.OIL.H
19:06:54 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAR-ALL.NG.OIL.H megawatthours
11/19/2021 05H,0
11/19/2021 04H,0
11/19/2021 03H,0
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,-1
11/18/2021 23H,-3
11/18/2021 22H,28
11/18/2021 21H,118
11/18/2021 20H,153
11/18/2021 19H,151
11/18/2021 18H,163
11/18/2021 17H,158
11/18/2021 16H,150
11/18/2021 15H,124
11/18/2021 14H,4
11/18/2021 13H,0
11/18/2021 12H,-1
11/18/2021 11H,0
11/18/2021 10H,0
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,0
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,0
11/18/2021 03H,0
11/18/2021 02H,0
11/18/2021 01H,0
11/18/2021 00H,0
11/17/2021 23H,0
11/17/2021 22H,0
11/17/2021 21H,-3
11/17/2021 20H,-3
11/17/2021 19H,-3
11/17/2021 18H,71
11/17/2021 17H,117
11/17/2021 16H,149
11/17/2021 15H,169
11/17/2021 14H,56
11/17/2021 13H,0
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,-2
11/17/2021 09H,0
11/17/2021 08H,0
11/17/2021 07H,0
11/17/2021 06H,0
11/17/2021 05H,0
11/17/2021 04H,0
11/17/2021 03H,0
11/17/2021 02H,0
11/17/2021 01H,-2
11/17/2021 00H,-4
11/16/2021 23H,-3
11/16/2021 22H,72
11/16/2021 21H,146
11/16/2021 20H,108
11/16/2021 19H,161
11/16/2021 18H,176
11/16/2021 17H,172
11/16/2021 16H,170
11/16/2021 15H,90
11/16/2021 14H,0
11/16/2021 13H,0
11/16/2021 12H,0
11/16/2021 11H,0
11/16/2021 10H,0
11/16/2021 09H,-2
11/16/2021 08H,0
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,0
11/16/2021 04H,0
11/16/2021 03H,0
11/16/2021 02H,37
11/16/2021 01H,60
11/16/2021 00H,44
11/15/2021 23H,3
11/15/2021 22H,7
11/15/2021 21H,106
11/15/2021 20H,127
11/15/2021 19H,4
11/15/2021 18H,0
11/15/2021 17H,3
11/15/2021 16H,0
11/15/2021 15H,1
11/15/2021 14H,0
11/15/2021 13H,0
11/15/2021 12H,0
11/15/2021 11H,0
11/15/2021 10H,0
11/15/2021 09H,-1
11/15/2021 08H,-1
11/15/2021 07H,-1
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,0
11/15/2021 02H,0
11/15/2021 01H,0
11/15/2021 00H,0
11/14/2021 23H,0
11/14/2021 22H,0
11/14/2021 21H,0
11/14/2021 20H,0
11/14/2021 19H,0
11/14/2021 18H,-1
11/14/2021 17H,0
11/14/2021 16H,0
11/14/2021 15H,0
11/14/2021 14H,0
11/14/2021 13H,0
11/14/2021 12H,0
11/14/2021 11H,0
