Net generation from solar for Central (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390108&sdid=EBA.CENT-ALL.NG.SUN.H
19:10:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CENT-ALL.NG.SUN.H megawatthours
11/19/2021 06H,0
11/19/2021 05H,0
11/19/2021 04H,0
11/19/2021 03H,0
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,11
11/18/2021 23H,125
11/18/2021 22H,177
11/18/2021 21H,175
11/18/2021 20H,164
11/18/2021 19H,165
11/18/2021 18H,167
11/18/2021 17H,161
11/18/2021 16H,146
11/18/2021 15H,86
11/18/2021 14H,1
11/18/2021 13H,0
11/18/2021 12H,0
11/18/2021 11H,0
11/18/2021 10H,0
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,0
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,0
11/18/2021 03H,0
11/18/2021 02H,0
11/18/2021 01H,0
11/18/2021 00H,3
11/17/2021 23H,24
11/17/2021 22H,55
11/17/2021 21H,71
11/17/2021 20H,91
11/17/2021 19H,60
11/17/2021 18H,120
11/17/2021 17H,120
11/17/2021 16H,122
11/17/2021 15H,36
11/17/2021 14H,0
11/17/2021 13H,0
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,0
11/17/2021 09H,0
11/17/2021 08H,0
11/17/2021 07H,0
11/17/2021 06H,0
11/17/2021 05H,0
11/17/2021 04H,0
11/17/2021 03H,0
11/17/2021 02H,0
11/17/2021 01H,0
11/17/2021 00H,11
11/16/2021 23H,73
11/16/2021 22H,135
11/16/2021 21H,153
11/16/2021 20H,118
11/16/2021 19H,138
11/16/2021 18H,133
11/16/2021 17H,162
11/16/2021 16H,150
11/16/2021 15H,82
11/16/2021 14H,0
11/16/2021 13H,0
11/16/2021 12H,0
11/16/2021 11H,0
11/16/2021 10H,0
11/16/2021 09H,0
11/16/2021 08H,0
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,0
11/16/2021 04H,0
11/16/2021 03H,0
11/16/2021 02H,0
11/16/2021 01H,0
11/16/2021 00H,10
11/15/2021 23H,85
11/15/2021 22H,174
11/15/2021 21H,128
11/15/2021 20H,138
11/15/2021 19H,149
11/15/2021 18H,159
11/15/2021 17H,169
11/15/2021 16H,175
11/15/2021 15H,89
11/15/2021 14H,2
11/15/2021 13H,0
11/15/2021 12H,0
11/15/2021 11H,0
11/15/2021 10H,0
11/15/2021 09H,0
11/15/2021 08H,0
11/15/2021 07H,0
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,0
11/15/2021 02H,0
11/15/2021 01H,0
11/15/2021 00H,21
11/14/2021 23H,122
11/14/2021 22H,174
11/14/2021 21H,173
11/14/2021 20H,165
11/14/2021 19H,160
11/14/2021 18H,166
11/14/2021 17H,178
11/14/2021 16H,180
11/14/2021 15H,94
11/14/2021 14H,1
11/14/2021 13H,0
11/14/2021 12H,0
11/14/2021 11H,0
11/14/2021 10H,0
11/14/2021 09H,0
11/14/2021 08H,0
11/14/2021 07H,0
11/14/2021 06H,0
11/14/2021 05H,0
11/14/2021 04H,0
11/14/2021 03H,0
11/14/2021 02H,0
11/14/2021 01H,0
11/14/2021 00H,12
11/13/2021 23H,121
11/13/2021 22H,171
11/13/2021 21H,163
11/13/2021 20H,163
11/13/2021 19H,161
11/13/2021 18H,163
11/13/2021 17H,166
11/13/2021 16H,163
11/13/2021 15H,93
11/13/2021 14H,2
11/13/2021 13H,0
11/13/2021 12H,0
11/13/2021 11H,0
11/13/2021 10H,0
11/13/2021 09H,0
11/13/2021 08H,0
11/13/2021 07H,0
11/13/2021 06H,0
11/13/2021 05H,0
11/13/2021 04H,0
11/13/2021 03H,0
11/13/2021 02H,0
11/13/2021 01H,0
11/13/2021 00H,21
11/12/2021 23H,127
11/12/2021 22H,160
11/12/2021 21H,159
11/12/2021 20H,132
11/12/2021 19H,88
11/12/2021 18H,113
11/12/2021 17H,135
11/12/2021 16H,107
11/12/2021 15H,97
11/12/2021 14H,1
11/12/2021 13H,0
11/12/2021 12H,0
11/12/2021 11H,0
11/12/2021 10H,0
11/12/2021 09H,0
11/12/2021 08H,0
11/12/2021 07H,0
11/12/2021 06H,0
11/12/2021 05H,0
11/12/2021 04H,0
11/12/2021 03H,0
11/12/2021 02H,0
