Net generation from natural gas for Florida (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390109&sdid=EBA.FLA-ALL.NG.NG.H
19:11:22 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.FLA-ALL.NG.NG.H megawatthours
11/19/2021 05H,15909
11/19/2021 04H,17267
11/19/2021 03H,18651
11/19/2021 02H,19536
11/19/2021 01H,19926
11/19/2021 00H,20631
11/18/2021 23H,20275
11/18/2021 22H,19247
11/18/2021 21H,19374
11/18/2021 20H,19414
11/18/2021 19H,19158
11/18/2021 18H,18998
11/18/2021 17H,18560
11/18/2021 16H,18271
11/18/2021 15H,17732
11/18/2021 14H,17057
11/18/2021 13H,16372
11/18/2021 12H,15375
11/18/2021 11H,13191
11/18/2021 10H,12011
11/18/2021 09H,11836
11/18/2021 08H,12193
11/18/2021 07H,12619
11/18/2021 06H,13728
11/18/2021 05H,15255
11/18/2021 04H,16808
11/18/2021 03H,18648
11/18/2021 02H,19957
11/18/2021 01H,20824
11/18/2021 00H,21269
11/17/2021 23H,20559
11/17/2021 22H,19430
11/17/2021 21H,18732
11/17/2021 20H,18232
11/17/2021 19H,17689
11/17/2021 18H,16904
11/17/2021 17H,16432
11/17/2021 16H,15697
11/17/2021 15H,15294
11/17/2021 14H,15135
11/17/2021 13H,15637
11/17/2021 12H,15238
11/17/2021 11H,12906
11/17/2021 10H,11567
11/17/2021 09H,11303
11/17/2021 08H,11430
11/17/2021 07H,11860
11/17/2021 06H,12532
11/17/2021 05H,13524
11/17/2021 04H,14902
11/17/2021 03H,16778
11/17/2021 02H,18003
11/17/2021 01H,18814
11/17/2021 00H,19605
11/16/2021 23H,18723
11/16/2021 22H,17418
11/16/2021 21H,16033
11/16/2021 20H,15161
11/16/2021 19H,14591
11/16/2021 18H,14061
11/16/2021 17H,13767
11/16/2021 16H,13792
11/16/2021 15H,14305
11/16/2021 14H,15283
11/16/2021 13H,16374
11/16/2021 12H,15668
11/16/2021 11H,13349
11/16/2021 10H,11895
11/16/2021 09H,11408
11/16/2021 08H,11452
11/16/2021 07H,11564
11/16/2021 06H,12255
11/16/2021 05H,12930
11/16/2021 04H,14188
11/16/2021 03H,15884
11/16/2021 02H,17159
11/16/2021 01H,17813
11/16/2021 00H,18419
11/15/2021 23H,17729
11/15/2021 22H,16535
11/15/2021 21H,14834
11/15/2021 20H,13882
11/15/2021 19H,13391
11/15/2021 18H,13213
11/15/2021 17H,13176
11/15/2021 16H,13330
11/15/2021 15H,13851
11/15/2021 14H,15145
11/15/2021 13H,16110
11/15/2021 12H,15359
11/15/2021 11H,13192
11/15/2021 10H,11642
11/15/2021 09H,11062
11/15/2021 08H,11049
11/15/2021 07H,11393
11/15/2021 06H,12090
11/15/2021 05H,13873
11/15/2021 04H,14662
11/15/2021 03H,15973
11/15/2021 02H,17172
11/15/2021 01H,18073
11/15/2021 00H,18846
11/14/2021 23H,18180
11/14/2021 22H,16830
11/14/2021 21H,16138
11/14/2021 20H,15443
11/14/2021 19H,14997
11/14/2021 18H,14555
11/14/2021 17H,14133
11/14/2021 16H,13722
11/14/2021 15H,13609
11/14/2021 14H,13057
11/14/2021 13H,12752
11/14/2021 12H,12091
11/14/2021 11H,11217
11/14/2021 10H,11122
11/14/2021 09H,11292
11/14/2021 08H,11648
11/14/2021 07H,12263
11/14/2021 06H,13070
11/14/2021 05H,14273
11/14/2021 04H,15760
11/14/2021 03H,17108
11/14/2021 02H,18577
11/14/2021 01H,19609
11/14/2021 00H,20675
11/13/2021 23H,20872
11/13/2021 22H,20741
11/13/2021 21H,20454
11/13/2021 20H,20241
11/13/2021 19H,19764
11/13/2021 18H,18989
11/13/2021 17H,18196
11/13/2021 16H,17197
11/13/2021 15H,16370
11/13/2021 14H,14956
11/13/2021 13H,13662
11/13/2021 12H,12729
11/13/2021 11H,11925
11/13/2021 10H,11707
11/13/2021 09H,11880
11/13/2021 08H,12256
11/13/2021 07H,13060
11/13/2021 06H,14063
11/13/2021 05H,15304
11/13/2021 04H,16506
11/13/2021 03H,17838
11/13/2021 02H,19049
11/13/2021 01H,19972
11/13/2021 00H,21244
11/12/2021 23H,21255
11/12/2021 22H,20605
11/12/2021 21H,20239
11/12/2021 20H,19759
11/12/2021 19H,19682
11/12/2021 18H,19305
11/12/2021 17H,18837
11/12/2021 16H,18167
11/12/2021 15H,17642
11/12/2021 14H,17072
11/12/2021 13H,16238
11/12/2021 12H,14946
11/12/2021 11H,13259
11/12/2021 10H,12271
11/12/2021 09H,12173
11/12/2021 08H,12552
11/12/2021 07H,13232
11/12/2021 06H,14360
11/12/2021 05H,15779
11/12/2021 04H,17936
11/12/2021 03H,19584
11/12/2021 02H,21076
11/12/2021 01H,22247
11/12/2021 00H,23266
11/11/2021 23H,22897
11/11/2021 22H,22206
11/11/2021 21H,21942
11/11/2021 20H,21904
