Net generation from nuclear for Florida (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390109&sdid=EBA.FLA-ALL.NG.NUC.H
19:11:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.FLA-ALL.NG.NUC.H megawatthours
11/19/2021 05H,3025
11/19/2021 04H,3027
11/19/2021 03H,3024
11/19/2021 02H,3021
11/19/2021 01H,3028
11/19/2021 00H,3025
11/18/2021 23H,3017
11/18/2021 22H,3023
11/18/2021 21H,3026
11/18/2021 20H,3025
11/18/2021 19H,3028
11/18/2021 18H,3029
11/18/2021 17H,3024
11/18/2021 16H,3026
11/18/2021 15H,3019
11/18/2021 14H,3030
11/18/2021 13H,3028
11/18/2021 12H,3016
11/18/2021 11H,3015
11/18/2021 10H,3017
11/18/2021 09H,3016
11/18/2021 08H,3013
11/18/2021 07H,3028
11/18/2021 06H,3016
11/18/2021 05H,3015
11/18/2021 04H,3024
11/18/2021 03H,3014
11/18/2021 02H,3027
11/18/2021 01H,3030
11/18/2021 00H,3027
11/17/2021 23H,3030
11/17/2021 22H,3031
11/17/2021 21H,3029
11/17/2021 20H,3027
11/17/2021 19H,3030
11/17/2021 18H,3020
11/17/2021 17H,3030
11/17/2021 16H,3031
11/17/2021 15H,3018
11/17/2021 14H,3023
11/17/2021 13H,3025
11/17/2021 12H,3025
11/17/2021 11H,3026
11/17/2021 10H,3025
11/17/2021 09H,3023
11/17/2021 08H,3022
11/17/2021 07H,3027
11/17/2021 06H,3025
11/17/2021 05H,3024
11/17/2021 04H,3023
11/17/2021 03H,3022
11/17/2021 02H,3022
11/17/2021 01H,3022
11/17/2021 00H,3025
11/16/2021 23H,3025
11/16/2021 22H,3018
11/16/2021 21H,3026
11/16/2021 20H,3024
11/16/2021 19H,3023
11/16/2021 18H,3027
11/16/2021 17H,3028
11/16/2021 16H,3027
11/16/2021 15H,3029
11/16/2021 14H,3026
11/16/2021 13H,3026
11/16/2021 12H,3026
11/16/2021 11H,3029
11/16/2021 10H,3027
11/16/2021 09H,3026
11/16/2021 08H,3025
