Net generation from petroleum for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.OIL.H
19:13:03 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.OIL.H megawatthours
11/19/2021 05H,213
11/19/2021 04H,597
11/19/2021 03H,637
11/19/2021 02H,673
11/19/2021 01H,666
11/19/2021 00H,704
11/18/2021 23H,617
11/18/2021 22H,389
11/18/2021 21H,251
11/18/2021 20H,210
11/18/2021 19H,211
11/18/2021 18H,215
11/18/2021 17H,311
11/18/2021 16H,295
11/18/2021 15H,219
11/18/2021 14H,256
11/18/2021 13H,599
11/18/2021 12H,780
11/18/2021 11H,784
11/18/2021 10H,741
11/18/2021 09H,218
11/18/2021 08H,218
11/18/2021 07H,218
11/18/2021 06H,215
11/18/2021 05H,253
11/18/2021 04H,210
11/18/2021 03H,297
11/18/2021 02H,292
11/18/2021 01H,268
11/18/2021 00H,259
11/17/2021 23H,259
11/17/2021 22H,250
11/17/2021 21H,209
11/17/2021 20H,168
11/17/2021 19H,178
11/17/2021 18H,176
11/17/2021 17H,236
11/17/2021 16H,275
11/17/2021 15H,317
11/17/2021 14H,360
11/17/2021 13H,428
11/17/2021 12H,346
11/17/2021 11H,344
11/17/2021 10H,272
11/17/2021 09H,261
11/17/2021 08H,254
11/17/2021 07H,256
11/17/2021 06H,253
11/17/2021 05H,309
11/17/2021 04H,253
11/17/2021 03H,300
11/17/2021 02H,327
11/17/2021 01H,329
11/17/2021 00H,325
11/16/2021 23H,328
11/16/2021 22H,328
11/16/2021 21H,257
11/16/2021 20H,209
11/16/2021 19H,357
11/16/2021 18H,331
11/16/2021 17H,289
11/16/2021 16H,301
11/16/2021 15H,175
11/16/2021 14H,224
11/16/2021 13H,295
11/16/2021 12H,342
11/16/2021 11H,354
11/16/2021 10H,315
11/16/2021 09H,312
11/16/2021 08H,314
11/16/2021 07H,317
11/16/2021 06H,312
11/16/2021 05H,202
11/16/2021 04H,308
11/16/2021 03H,304
11/16/2021 02H,331
11/16/2021 01H,504
11/16/2021 00H,812
11/15/2021 23H,905
11/15/2021 22H,863
11/15/2021 21H,263
11/15/2021 20H,204
11/15/2021 19H,206
11/15/2021 18H,205
11/15/2021 17H,207
11/15/2021 16H,208
11/15/2021 15H,209
11/15/2021 14H,228
11/15/2021 13H,280
11/15/2021 12H,277
11/15/2021 11H,257
11/15/2021 10H,254
11/15/2021 09H,235
11/15/2021 08H,200
11/15/2021 07H,204
11/15/2021 06H,204
11/15/2021 05H,216
11/15/2021 04H,203
11/15/2021 03H,205
11/15/2021 02H,205
11/15/2021 01H,253
11/15/2021 00H,253
11/14/2021 23H,252
11/14/2021 22H,254
11/14/2021 21H,206
11/14/2021 20H,205
11/14/2021 19H,206
11/14/2021 18H,206
11/14/2021 17H,208
11/14/2021 16H,210
11/14/2021 15H,211
11/14/2021 14H,214
11/14/2021 13H,216
11/14/2021 12H,265
11/14/2021 11H,270
11/14/2021 10H,270
11/14/2021 09H,219
11/14/2021 08H,220
11/14/2021 07H,221
11/14/2021 06H,218
11/14/2021 05H,200
11/14/2021 04H,212
11/14/2021 03H,213
11/14/2021 02H,212
11/14/2021 01H,214
11/14/2021 00H,210
11/13/2021 23H,207
11/13/2021 22H,207
11/13/2021 21H,204
11/13/2021 20H,205
11/13/2021 19H,197
11/13/2021 18H,194
11/13/2021 17H,196
11/13/2021 16H,200
11/13/2021 15H,200
11/13/2021 14H,200
11/13/2021 13H,202
11/13/2021 12H,204
11/13/2021 11H,204
11/13/2021 10H,203
11/13/2021 09H,205
11/13/2021 08H,202
11/13/2021 07H,201
11/13/2021 06H,200
11/13/2021 05H,206
11/13/2021 04H,199
11/13/2021 03H,196
11/13/2021 02H,199
11/13/2021 01H,199
11/13/2021 00H,198
11/12/2021 23H,210
11/12/2021 22H,203
11/12/2021 21H,201
11/12/2021 20H,202
11/12/2021 19H,202
11/12/2021 18H,204
11/12/2021 17H,259
11/12/2021 16H,206
11/12/2021 15H,207
11/12/2021 14H,227
11/12/2021 13H,230
11/12/2021 12H,228
11/12/2021 11H,208
11/12/2021 10H,210
11/12/2021 09H,210
11/12/2021 08H,210
11/12/2021 07H,211
11/12/2021 06H,210
11/12/2021 05H,200
11/12/2021 04H,204
11/12/2021 03H,206
11/12/2021 02H,207
11/12/2021 01H,207
11/12/2021 00H,249
11/11/2021 23H,251
11/11/2021 22H,304
11/11/2021 21H,295
11/11/2021 20H,323
11/11/2021 19H,338
11/11/2021 18H,313
11/11/2021 17H,314
11/11/2021 16H,317
11/11/2021 15H,316
11/11/2021 14H,315
11/11/2021 13H,317
11/11/2021 12H,312
11/11/2021 11H,288
11/11/2021 10H,246
11/11/2021 09H,217
11/11/2021 08H,201
11/11/2021 07H,204
11/11/2021 06H,203
11/11/2021 05H,210
11/11/2021 04H,199
11/11/2021 03H,199
11/11/2021 02H,199
11/11/2021 01H,200
11/11/2021 00H,197
11/10/2021 23H,200
11/10/2021 22H,199
11/10/2021 21H,200
11/10/2021 20H,198
11/10/2021 19H,199
11/10/2021 18H,197
11/10/2021 17H,202
11/10/2021 16H,205
11/10/2021 15H,207
11/10/2021 14H,206
11/10/2021 13H,221
11/10/2021 12H,222
11/10/2021 11H,212
11/10/2021 10H,210
11/10/2021 09H,212
11/10/2021 08H,211
11/10/2021 07H,214
11/10/2021 06H,212
11/10/2021 05H,201
11/10/2021 04H,205
11/10/2021 03H,203
11/10/2021 02H,207
11/10/2021 01H,209
11/10/2021 00H,215
11/9/2021 23H,214
11/9/2021 22H,202
11/9/2021 21H,202
11/9/2021 20H,200
11/9/2021 19H,204
11/9/2021 18H,200
11/9/2021 17H,238
11/9/2021 16H,204
11/9/2021 15H,204
11/9/2021 14H,207
11/9/2021 13H,210
11/9/2021 12H,265
11/9/2021 11H,222
11/9/2021 10H,211
11/9/2021 09H,207
11/9/2021 08H,204
11/9/2021 07H,203
11/9/2021 06H,204
11/9/2021 05H,201
11/9/2021 04H,203
11/9/2021 03H,200
11/9/2021 02H,199
11/9/2021 01H,200
11/9/2021 00H,244
11/8/2021 23H,244
11/8/2021 22H,246
11/8/2021 21H,198
11/8/2021 20H,199
11/8/2021 19H,197
11/8/2021 18H,200
11/8/2021 17H,251
11/8/2021 16H,203
11/8/2021 15H,251
11/8/2021 14H,205
11/8/2021 13H,207
11/8/2021 12H,253
11/8/2021 11H,256
11/8/2021 10H,207
11/8/2021 09H,209
11/8/2021 08H,207
11/8/2021 07H,208
11/8/2021 06H,205
11/8/2021 05H,203
11/8/2021 04H,177
11/8/2021 03H,202
11/8/2021 02H,205
11/8/2021 01H,249
11/8/2021 00H,306
11/7/2021 23H,305
11/7/2021 22H,252
11/7/2021 21H,200
11/7/2021 20H,199
11/7/2021 19H,203
11/7/2021 18H,201
11/7/2021 17H,201
11/7/2021 16H,191
11/7/2021 15H,177
11/7/2021 14H,176
11/7/2021 13H,178
11/7/2021 12H,175
11/7/2021 11H,179
11/7/2021 10H,180
11/7/2021 09H,179
11/7/2021 08H,178
11/7/2021 07H,175
11/7/2021 06H,175
11/7/2021 05H,175
11/7/2021 04H,178
11/7/2021 03H,176
11/7/2021 02H,175
11/7/2021 01H,175
11/7/2021 00H,273
11/6/2021 23H,272
11/6/2021 22H,222
11/6/2021 21H,175
11/6/2021 20H,177
11/6/2021 19H,175
11/6/2021 18H,178
11/6/2021 17H,177
11/6/2021 16H,176
11/6/2021 15H,178
11/6/2021 14H,306
11/6/2021 13H,322
11/6/2021 12H,251
11/6/2021 11H,224
11/6/2021 10H,224
11/6/2021 09H,175
11/6/2021 08H,203
11/6/2021 07H,178
11/6/2021 06H,177
11/6/2021 05H,179
11/6/2021 04H,264
11/6/2021 03H,224
11/6/2021 02H,226
11/6/2021 01H,226
11/6/2021 00H,230
11/5/2021 23H,228
11/5/2021 22H,226
11/5/2021 21H,176
11/5/2021 20H,173
11/5/2021 19H,173
11/5/2021 18H,174
11/5/2021 17H,185
11/5/2021 16H,232
11/5/2021 15H,345
11/5/2021 14H,378
11/5/2021 13H,381
11/5/2021 12H,517
11/5/2021 11H,520
11/5/2021 10H,457
11/5/2021 09H,232
11/5/2021 08H,173
11/5/2021 07H,173
11/5/2021 06H,174
11/5/2021 05H,403
11/5/2021 04H,180
11/5/2021 03H,260
11/5/2021 02H,309
11/5/2021 01H,456
11/5/2021 00H,591
11/4/2021 23H,498
11/4/2021 22H,496
11/4/2021 21H,376
11/4/2021 20H,392
11/4/2021 19H,284
11/4/2021 18H,358
11/4/2021 17H,298
11/4/2021 16H,294
11/4/2021 15H,319
11/4/2021 14H,366
11/4/2021 13H,804
11/4/2021 12H,808
11/4/2021 11H,613
11/4/2021 10H,203
11/4/2021 09H,183
11/4/2021 08H,181
