Net generation from solar for Mid-Atlantic (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390110&sdid=EBA.MIDA-ALL.NG.SUN.H
19:13:10 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDA-ALL.NG.SUN.H megawatthours
11/19/2021 05H,2
11/19/2021 04H,2
11/19/2021 03H,2
11/19/2021 02H,2
11/19/2021 01H,2
11/19/2021 00H,2
11/18/2021 23H,2
11/18/2021 22H,2
11/18/2021 21H,187
11/18/2021 20H,1301
11/18/2021 19H,1764
11/18/2021 18H,1919
11/18/2021 17H,1953
11/18/2021 16H,2131
11/18/2021 15H,2074
11/18/2021 14H,1872
11/18/2021 13H,1320
11/18/2021 12H,157
11/18/2021 11H,2
11/18/2021 10H,2
11/18/2021 09H,2
11/18/2021 08H,2
11/18/2021 07H,2
11/18/2021 06H,2
11/18/2021 05H,11
11/18/2021 04H,2
11/18/2021 03H,2
11/18/2021 02H,2
11/18/2021 01H,2
11/18/2021 00H,2
11/17/2021 23H,2
11/17/2021 22H,2
11/17/2021 21H,184
11/17/2021 20H,1374
11/17/2021 19H,1683
11/17/2021 18H,1814
11/17/2021 17H,1771
11/17/2021 16H,1724
11/17/2021 15H,1799
11/17/2021 14H,1682
11/17/2021 13H,1163
11/17/2021 12H,169
11/17/2021 11H,11
11/17/2021 10H,11
11/17/2021 09H,11
11/17/2021 08H,5
11/17/2021 07H,11
11/17/2021 06H,11
11/17/2021 05H,11
11/17/2021 04H,11
11/17/2021 03H,11
11/17/2021 02H,11
11/17/2021 01H,11
11/17/2021 00H,11
11/16/2021 23H,11
11/16/2021 22H,11
11/16/2021 21H,231
11/16/2021 20H,1351
11/16/2021 19H,2198
11/16/2021 18H,2241
11/16/2021 17H,2295
11/16/2021 16H,2345
11/16/2021 15H,2330
11/16/2021 14H,2185
11/16/2021 13H,1512
11/16/2021 12H,208
11/16/2021 11H,11
11/16/2021 10H,11
11/16/2021 09H,11
11/16/2021 08H,5
11/16/2021 07H,11
11/16/2021 06H,11
11/16/2021 05H,11
11/16/2021 04H,11
11/16/2021 03H,11
11/16/2021 02H,11
11/16/2021 01H,11
11/16/2021 00H,11
11/15/2021 23H,11
11/15/2021 22H,65
11/15/2021 21H,273
11/15/2021 20H,1546
11/15/2021 19H,1995
11/15/2021 18H,1972
11/15/2021 17H,1972
11/15/2021 16H,2081
11/15/2021 15H,2138
11/15/2021 14H,1975
11/15/2021 13H,1017
11/15/2021 12H,197
11/15/2021 11H,12
11/15/2021 10H,11
11/15/2021 09H,11
11/15/2021 08H,5
11/15/2021 07H,11
11/15/2021 06H,11
11/15/2021 05H,11
11/15/2021 04H,11
11/15/2021 03H,11
11/15/2021 02H,11
11/15/2021 01H,11
11/15/2021 00H,11
11/14/2021 23H,11
11/14/2021 22H,11
11/14/2021 21H,194
11/14/2021 20H,1101
11/14/2021 19H,1573
11/14/2021 18H,1627
11/14/2021 17H,1629
11/14/2021 16H,1656
11/14/2021 15H,1711
11/14/2021 14H,1712
11/14/2021 13H,1471
11/14/2021 12H,326
11/14/2021 11H,11
11/14/2021 10H,11
11/14/2021 09H,11
11/14/2021 08H,11
11/14/2021 07H,11
11/14/2021 06H,11
11/14/2021 05H,11
11/14/2021 04H,11
11/14/2021 03H,11
11/14/2021 02H,11
