Net generation from coal for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.COL.H
19:14:04 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.COL.H megawatthours
11/19/2021 05H,26193
11/19/2021 04H,26950
11/19/2021 03H,27553
11/19/2021 02H,27782
11/19/2021 01H,27493
11/19/2021 00H,26509
11/18/2021 23H,25196
11/18/2021 22H,24977
11/18/2021 21H,24997
11/18/2021 20H,24844
11/18/2021 19H,24411
11/18/2021 18H,24414
11/18/2021 17H,24384
11/18/2021 16H,24459
11/18/2021 15H,24734
11/18/2021 14H,24302
11/18/2021 13H,23158
11/18/2021 12H,21675
11/18/2021 11H,19940
11/18/2021 10H,19088
11/18/2021 09H,19323
11/18/2021 08H,19506
11/18/2021 07H,19887
11/18/2021 06H,20493
11/18/2021 05H,21341
11/18/2021 04H,22736
11/18/2021 03H,24276
11/18/2021 02H,25579
11/18/2021 01H,26349
11/18/2021 00H,25838
11/17/2021 23H,25250
11/17/2021 22H,24723
11/17/2021 21H,24629
11/17/2021 20H,24487
11/17/2021 19H,24071
11/17/2021 18H,23894
11/17/2021 17H,24355
11/17/2021 16H,23830
11/17/2021 15H,23688
11/17/2021 14H,24356
11/17/2021 13H,23069
11/17/2021 12H,20496
11/17/2021 11H,18754
11/17/2021 10H,18230
11/17/2021 09H,18396
11/17/2021 08H,19011
11/17/2021 07H,19772
11/17/2021 06H,20518
11/17/2021 05H,21340
11/17/2021 04H,22588
11/17/2021 03H,23647
11/17/2021 02H,24367
11/17/2021 01H,25154
11/17/2021 00H,24990
11/16/2021 23H,23983
11/16/2021 22H,23522
11/16/2021 21H,23885
11/16/2021 20H,24417
11/16/2021 19H,24813
11/16/2021 18H,25623
11/16/2021 17H,25800
11/16/2021 16H,25898
11/16/2021 15H,25990
11/16/2021 14H,26528
11/16/2021 13H,25442
11/16/2021 12H,23739
11/16/2021 11H,22239
11/16/2021 10H,22179
11/16/2021 09H,22306
11/16/2021 08H,22073
11/16/2021 07H,22663
11/16/2021 06H,23046
11/16/2021 05H,25416
11/16/2021 04H,26722
11/16/2021 03H,27530
11/16/2021 02H,28691
11/16/2021 01H,29105
11/16/2021 00H,29357
11/15/2021 23H,28898
11/15/2021 22H,28491
11/15/2021 21H,28697
11/15/2021 20H,28888
11/15/2021 19H,28587
11/15/2021 18H,28412
11/15/2021 17H,28056
11/15/2021 16H,27904
11/15/2021 15H,28136
11/15/2021 14H,27939
11/15/2021 13H,26580
11/15/2021 12H,24938
11/15/2021 11H,24154
11/15/2021 10H,23304
11/15/2021 09H,23245
11/15/2021 08H,23412
11/15/2021 07H,23826
11/15/2021 06H,24788
11/15/2021 05H,25951
11/15/2021 04H,27057
11/15/2021 03H,27412
11/15/2021 02H,27728
11/15/2021 01H,27788
11/15/2021 00H,27707
11/14/2021 23H,26926
11/14/2021 22H,26849
11/14/2021 21H,26404
11/14/2021 20H,26546
11/14/2021 19H,26560
11/14/2021 18H,26257
11/14/2021 17H,26035
11/14/2021 16H,25632
11/14/2021 15H,25079
11/14/2021 14H,23877
11/14/2021 13H,23161
11/14/2021 12H,22207
11/14/2021 11H,21514
11/14/2021 10H,21469
11/14/2021 09H,21965
11/14/2021 08H,22185
11/14/2021 07H,23062
11/14/2021 06H,23380
11/14/2021 05H,24001
11/14/2021 04H,25026
11/14/2021 03H,25292
11/14/2021 02H,26063
11/14/2021 01H,26511
11/14/2021 00H,26780
11/13/2021 23H,26179
11/13/2021 22H,26022
11/13/2021 21H,26119
11/13/2021 20H,26133
11/13/2021 19H,26495
11/13/2021 18H,27185
11/13/2021 17H,26839
11/13/2021 16H,26322
11/13/2021 15H,26500
11/13/2021 14H,26713
11/13/2021 13H,25301
11/13/2021 12H,24238
11/13/2021 11H,23094
11/13/2021 10H,22254
11/13/2021 09H,22035
11/13/2021 08H,21857
11/13/2021 07H,22128
11/13/2021 06H,22855
11/13/2021 05H,23808
11/13/2021 04H,24997
11/13/2021 03H,26183
11/13/2021 02H,26584
11/13/2021 01H,26915
11/13/2021 00H,26918
11/12/2021 23H,26392
11/12/2021 22H,25825
11/12/2021 21H,25021
11/12/2021 20H,24889
11/12/2021 19H,24909
11/12/2021 18H,24697
11/12/2021 17H,24532
11/12/2021 16H,24943
11/12/2021 15H,25235
11/12/2021 14H,25337
11/12/2021 13H,23757
11/12/2021 12H,21561
11/12/2021 11H,19718
11/12/2021 10H,19180
11/12/2021 09H,19139
11/12/2021 08H,19253
11/12/2021 07H,19639
11/12/2021 06H,20340
11/12/2021 05H,21526
11/12/2021 04H,23151
11/12/2021 03H,24491
11/12/2021 02H,25054
11/12/2021 01H,25467
11/12/2021 00H,25118
11/11/2021 23H,23840
11/11/2021 22H,22860
11/11/2021 21H,22794
11/11/2021 20H,22974
11/11/2021 19H,23186
11/11/2021 18H,23295
11/11/2021 17H,23581
11/11/2021 16H,23344
11/11/2021 15H,23419
11/11/2021 14H,23190
11/11/2021 13H,21844
11/11/2021 12H,19871
11/11/2021 11H,18344
11/11/2021 10H,17727
11/11/2021 09H,17507
11/11/2021 08H,17884
11/11/2021 07H,18773
11/11/2021 06H,19970
11/11/2021 05H,21453
11/11/2021 04H,23244
11/11/2021 03H,25088
11/11/2021 02H,25997
11/11/2021 01H,26789
11/11/2021 00H,27458
11/10/2021 23H,26605
11/10/2021 22H,26515
11/10/2021 21H,26052
11/10/2021 20H,26090
11/10/2021 19H,25498
11/10/2021 18H,25439
11/10/2021 17H,25410
11/10/2021 16H,25593
11/10/2021 15H,25620
11/10/2021 14H,26319
11/10/2021 13H,25188
11/10/2021 12H,22836
11/10/2021 11H,20822
11/10/2021 10H,19269
11/10/2021 09H,18918
11/10/2021 08H,19741
11/10/2021 07H,20690
11/10/2021 06H,21924
11/10/2021 05H,23667
11/10/2021 04H,25429
11/10/2021 03H,27276
11/10/2021 02H,28575
11/10/2021 01H,29263
11/10/2021 00H,29825
11/9/2021 23H,29245
11/9/2021 22H,29089
11/9/2021 21H,29129
11/9/2021 20H,29299
11/9/2021 19H,29286
11/9/2021 18H,29051
11/9/2021 17H,29203
11/9/2021 16H,29289
11/9/2021 15H,28391
11/9/2021 14H,27753
11/9/2021 13H,26149
11/9/2021 12H,23900
11/9/2021 11H,22509
11/9/2021 10H,21645
11/9/2021 09H,20727
11/9/2021 08H,21190
11/9/2021 07H,22007
11/9/2021 06H,22937
11/9/2021 05H,24450
11/9/2021 04H,25163
11/9/2021 03H,26027
11/9/2021 02H,26500
11/9/2021 01H,27356
11/9/2021 00H,27522
11/8/2021 23H,26654
11/8/2021 22H,26129
11/8/2021 21H,26151
11/8/2021 20H,26411
11/8/2021 19H,26619
11/8/2021 18H,26737
11/8/2021 17H,26217
11/8/2021 16H,25301
11/8/2021 15H,24726
11/8/2021 14H,25327
11/8/2021 13H,23680
11/8/2021 12H,20888
11/8/2021 11H,19179
11/8/2021 10H,19143
11/8/2021 09H,19443
11/8/2021 08H,19290
11/8/2021 07H,19328
11/8/2021 06H,19939
11/8/2021 05H,21177
11/8/2021 04H,21969
11/8/2021 03H,22766
11/8/2021 02H,23034
11/8/2021 01H,23830
11/8/2021 00H,24234
11/7/2021 23H,22749
11/7/2021 22H,21664
11/7/2021 21H,21202
11/7/2021 20H,21426
11/7/2021 19H,22411
11/7/2021 18H,22871
11/7/2021 17H,23369
11/7/2021 16H,23507
11/7/2021 15H,23361
11/7/2021 14H,23012
11/7/2021 13H,22185
11/7/2021 12H,21223
11/7/2021 11H,20348
11/7/2021 10H,19390
11/7/2021 09H,18766
11/7/2021 08H,18437
11/7/2021 07H,18712
11/7/2021 06H,19821
11/7/2021 05H,20494
11/7/2021 04H,21340
11/7/2021 03H,22072
11/7/2021 02H,23258
11/7/2021 01H,24068
11/7/2021 00H,24406
11/6/2021 23H,24666
11/6/2021 22H,23550
11/6/2021 21H,23229
11/6/2021 20H,24051
11/6/2021 19H,24841
11/6/2021 18H,25367
11/6/2021 17H,25869
11/6/2021 16H,26643
11/6/2021 15H,26562
11/6/2021 14H,26008
11/6/2021 13H,25363
11/6/2021 12H,23935
11/6/2021 11H,22920
11/6/2021 10H,22150
11/6/2021 09H,21003
11/6/2021 08H,20664
11/6/2021 07H,20604
11/6/2021 06H,21248
11/6/2021 05H,24286
11/6/2021 04H,25037
11/6/2021 03H,25869
11/6/2021 02H,26697
11/6/2021 01H,28766
11/6/2021 00H,29534
11/5/2021 23H,29262
11/5/2021 22H,28704
11/5/2021 21H,28225
11/5/2021 20H,28094
11/5/2021 19H,27701
11/5/2021 18H,28491
11/5/2021 17H,29826
11/5/2021 16H,31330
11/5/2021 15H,32049
11/5/2021 14H,32509
11/5/2021 13H,32550
11/5/2021 12H,30797
11/5/2021 11H,28801
11/5/2021 10H,27339
11/5/2021 09H,26208
11/5/2021 08H,25906
11/5/2021 07H,26091
11/5/2021 06H,23862
11/5/2021 05H,23948
11/5/2021 04H,25052
11/5/2021 03H,26280
11/5/2021 02H,27005
11/5/2021 01H,28919
11/5/2021 00H,29578
11/4/2021 23H,29148
11/4/2021 22H,28601
11/4/2021 21H,28272
11/4/2021 20H,28431
11/4/2021 19H,28051
11/4/2021 18H,28961
11/4/2021 17H,30120
11/4/2021 16H,31528
11/4/2021 15H,32124
11/4/2021 14H,32488
11/4/2021 13H,32413
11/4/2021 12H,30914
11/4/2021 11H,28946
11/4/2021 10H,27764
11/4/2021 09H,26504
11/4/2021 08H,26360
11/4/2021 07H,26664
11/4/2021 06H,27531
11/4/2021 05H,28121
11/4/2021 04H,29310
11/4/2021 03H,31390
11/4/2021 02H,32513
11/4/2021 01H,32761
11/4/2021 00H,32325
11/3/2021 23H,31502
11/3/2021 22H,30883
11/3/2021 21H,30062
11/3/2021 20H,30465
11/3/2021 19H,30735
11/3/2021 18H,30492
11/3/2021 17H,30421
11/3/2021 16H,30289
11/3/2021 15H,30308
11/3/2021 14H,30951
11/3/2021 13H,30515
11/3/2021 12H,29034
11/3/2021 11H,27908
11/3/2021 10H,26485
11/3/2021 09H,26147
11/3/2021 08H,26118
11/3/2021 07H,26717
11/3/2021 06H,27347
11/3/2021 05H,27287
11/3/2021 04H,27839
11/3/2021 03H,29210
11/3/2021 02H,30115
11/3/2021 01H,30630
11/3/2021 00H,30322
11/2/2021 23H,29491
11/2/2021 22H,29159
11/2/2021 21H,28535
11/2/2021 20H,29037
11/2/2021 19H,29361
11/2/2021 18H,29652
11/2/2021 17H,29560
11/2/2021 16H,29491
11/2/2021 15H,29240
11/2/2021 14H,29022
11/2/2021 13H,28280
11/2/2021 12H,26964
11/2/2021 11H,25471
11/2/2021 10H,24461
11/2/2021 09H,23949
11/2/2021 08H,23719
11/2/2021 07H,24064
11/2/2021 06H,24892
11/2/2021 05H,25763
11/2/2021 04H,26783
11/2/2021 03H,27868
11/2/2021 02H,28437
11/2/2021 01H,28855
11/2/2021 00H,28674
11/1/2021 23H,27267
11/1/2021 22H,26114
11/1/2021 21H,25187
11/1/2021 20H,25378
11/1/2021 19H,25649
11/1/2021 18H,26646
11/1/2021 17H,27153
11/1/2021 16H,27723
11/1/2021 15H,27099
11/1/2021 14H,26747
11/1/2021 13H,25866
11/1/2021 12H,24193
11/1/2021 11H,23031
11/1/2021 10H,21290
11/1/2021 09H,20749
11/1/2021 08H,20978
11/1/2021 07H,20869
11/1/2021 06H,21101
11/1/2021 05H,21386
11/1/2021 04H,21936
11/1/2021 03H,22581
11/1/2021 02H,22584
11/1/2021 01H,22675
11/1/2021 00H,22011
10/31/2021 23H,21193
10/31/2021 22H,20342
10/31/2021 21H,20692
10/31/2021 20H,20583
10/31/2021 19H,21061
10/31/2021 18H,21448
10/31/2021 17H,21692
10/31/2021 16H,22402
10/31/2021 15H,22564
10/31/2021 14H,21944
10/31/2021 13H,21393
10/31/2021 12H,20274
10/31/2021 11H,19092
10/31/2021 10H,18690
10/31/2021 09H,18440
10/31/2021 08H,18762
10/31/2021 07H,19212
10/31/2021 06H,19967
10/31/2021 05H,21014
10/31/2021 04H,21683
10/31/2021 03H,23234
10/31/2021 02H,24888
10/31/2021 01H,25037
10/31/2021 00H,25191
10/30/2021 23H,25039
10/30/2021 22H,24375
10/30/2021 21H,24318
10/30/2021 20H,24753
10/30/2021 19H,24979
10/30/2021 18H,25474
10/30/2021 17H,25500
10/30/2021 16H,25099
10/30/2021 15H,24896
10/30/2021 14H,24808
10/30/2021 13H,23743
10/30/2021 12H,22700
10/30/2021 11H,21960
10/30/2021 10H,21242
10/30/2021 09H,20735
10/30/2021 08H,20496
10/30/2021 07H,20525
10/30/2021 06H,20885
10/30/2021 05H,22056
10/30/2021 04H,22629
10/30/2021 03H,23432
10/30/2021 02H,24635
10/30/2021 01H,25106
10/30/2021 00H,25587
10/29/2021 23H,24794
10/29/2021 22H,24308
10/29/2021 21H,24067
10/29/2021 20H,24713
10/29/2021 19H,24892
10/29/2021 18H,24854
10/29/2021 17H,25576
10/29/2021 16H,25529
10/29/2021 15H,25591
10/29/2021 14H,25612
10/29/2021 13H,25241
10/29/2021 12H,23665
10/29/2021 11H,22146
10/29/2021 10H,20745
10/29/2021 09H,20272
10/29/2021 08H,20412
10/29/2021 07H,20750
10/29/2021 06H,21759
10/29/2021 05H,22546
10/29/2021 04H,24110
10/29/2021 03H,25426
10/29/2021 02H,26509
10/29/2021 01H,26616
10/29/2021 00H,26681
10/28/2021 23H,26969
10/28/2021 22H,26731
10/28/2021 21H,27098
10/28/2021 20H,28047
10/28/2021 19H,27917
10/28/2021 18H,27538
10/28/2021 17H,27471
10/28/2021 16H,27446
10/28/2021 15H,27270
10/28/2021 14H,26956
10/28/2021 13H,26435
10/28/2021 12H,24704
10/28/2021 11H,23232
10/28/2021 10H,21664
10/28/2021 09H,20744
10/28/2021 08H,21238
10/28/2021 07H,22223
10/28/2021 06H,23233
10/28/2021 05H,24593
10/28/2021 04H,26317
10/28/2021 03H,27812
10/28/2021 02H,28728
10/28/2021 01H,29283
10/28/2021 00H,29430
10/27/2021 23H,29272
10/27/2021 22H,28495
10/27/2021 21H,28550
10/27/2021 20H,28926
10/27/2021 19H,27951
10/27/2021 18H,27171
10/27/2021 17H,26857
10/27/2021 16H,27138
10/27/2021 15H,27172
10/27/2021 14H,27624
10/27/2021 13H,27170
10/27/2021 12H,25565
10/27/2021 11H,23383
10/27/2021 10H,21523
10/27/2021 09H,20877
10/27/2021 08H,20456
10/27/2021 07H,20613
10/27/2021 06H,21549
10/27/2021 05H,22987
10/27/2021 04H,24103
10/27/2021 03H,25831
10/27/2021 02H,27319
10/27/2021 01H,28004
10/27/2021 00H,28060
10/26/2021 23H,27177
10/26/2021 22H,26520
10/26/2021 21H,26358
10/26/2021 20H,26403
10/26/2021 19H,26412
10/26/2021 18H,25922
10/26/2021 17H,25512
10/26/2021 16H,25982
10/26/2021 15H,26287
10/26/2021 14H,26549
10/26/2021 13H,25843
10/26/2021 12H,23772
10/26/2021 11H,22035
10/26/2021 10H,20988
10/26/2021 09H,20745
10/26/2021 08H,20642
10/26/2021 07H,21004
10/26/2021 06H,22495
10/26/2021 05H,23968
10/26/2021 04H,25329
10/26/2021 03H,26868
10/26/2021 02H,28439
10/26/2021 01H,29118
10/26/2021 00H,29347
10/25/2021 23H,28986
10/25/2021 22H,28512
10/25/2021 21H,28852
10/25/2021 20H,29241
10/25/2021 19H,29465
