Net generation from natural gas for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.NG.H
19:14:17 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.NG.H megawatthours
11/19/2021 05H,26244
11/19/2021 04H,27836
11/19/2021 03H,28823
11/19/2021 02H,29457
11/19/2021 01H,29502
11/19/2021 00H,28626
11/18/2021 23H,26252
11/18/2021 22H,23506
11/18/2021 21H,21650
11/18/2021 20H,20787
11/18/2021 19H,20166
11/18/2021 18H,20170
11/18/2021 17H,20240
11/18/2021 16H,20636
11/18/2021 15H,20584
11/18/2021 14H,21010
11/18/2021 13H,20107
11/18/2021 12H,17949
11/18/2021 11H,15524
11/18/2021 10H,13571
11/18/2021 09H,12363
11/18/2021 08H,13104
11/18/2021 07H,13797
11/18/2021 06H,14741
11/18/2021 05H,15946
11/18/2021 04H,17279
11/18/2021 03H,18136
11/18/2021 02H,19812
11/18/2021 01H,20685
11/18/2021 00H,20879
11/17/2021 23H,20166
11/17/2021 22H,19750
11/17/2021 21H,18945
11/17/2021 20H,18772
11/17/2021 19H,18071
11/17/2021 18H,17738
11/17/2021 17H,17863
11/17/2021 16H,18022
11/17/2021 15H,18270
11/17/2021 14H,18493
11/17/2021 13H,17878
11/17/2021 12H,16089
11/17/2021 11H,13397
11/17/2021 10H,12672
11/17/2021 09H,12586
11/17/2021 08H,12807
11/17/2021 07H,13980
11/17/2021 06H,14867
11/17/2021 05H,16917
11/17/2021 04H,19194
11/17/2021 03H,19730
11/17/2021 02H,20351
11/17/2021 01H,21400
11/17/2021 00H,21693
11/16/2021 23H,20991
11/16/2021 22H,20224
11/16/2021 21H,19547
11/16/2021 20H,19838
11/16/2021 19H,19485
11/16/2021 18H,19849
11/16/2021 17H,21433
11/16/2021 16H,22022
11/16/2021 15H,21963
11/16/2021 14H,22863
11/16/2021 13H,22746
11/16/2021 12H,20973
11/16/2021 11H,18903
11/16/2021 10H,17365
11/16/2021 09H,18130
11/16/2021 08H,18014
11/16/2021 07H,19101
11/16/2021 06H,20121
11/16/2021 05H,21906
11/16/2021 04H,24167
11/16/2021 03H,26009
11/16/2021 02H,27515
11/16/2021 01H,29224
11/16/2021 00H,30169
11/15/2021 23H,29947
11/15/2021 22H,29392
11/15/2021 21H,29160
11/15/2021 20H,29794
11/15/2021 19H,30057
11/15/2021 18H,30098
11/15/2021 17H,29688
11/15/2021 16H,29738
11/15/2021 15H,29786
11/15/2021 14H,30175
11/15/2021 13H,28894
11/15/2021 12H,26275
11/15/2021 11H,23864
11/15/2021 10H,21760
11/15/2021 09H,20700
11/15/2021 08H,20974
11/15/2021 07H,22115
11/15/2021 06H,22942
11/15/2021 05H,23358
11/15/2021 04H,25172
11/15/2021 03H,27132
11/15/2021 02H,28356
11/15/2021 01H,28798
11/15/2021 00H,28557
11/14/2021 23H,26523
11/14/2021 22H,24060
11/14/2021 21H,22305
11/14/2021 20H,21688
11/14/2021 19H,21346
11/14/2021 18H,20754
11/14/2021 17H,20372
11/14/2021 16H,19695
11/14/2021 15H,19408
11/14/2021 14H,18508
11/14/2021 13H,17059
11/14/2021 12H,15967
11/14/2021 11H,15322
11/14/2021 10H,15236
11/14/2021 09H,15170
11/14/2021 08H,15050
11/14/2021 07H,15214
11/14/2021 06H,16701
11/14/2021 05H,17939
11/14/2021 04H,19440
11/14/2021 03H,20212
11/14/2021 02H,21754
11/14/2021 01H,22802
11/14/2021 00H,22668
11/13/2021 23H,21548
11/13/2021 22H,20464
11/13/2021 21H,20078
11/13/2021 20H,19860
11/13/2021 19H,20829
11/13/2021 18H,22551
11/13/2021 17H,23513
11/13/2021 16H,23406
11/13/2021 15H,23371
11/13/2021 14H,22875
11/13/2021 13H,21557
11/13/2021 12H,20453
11/13/2021 11H,18173
11/13/2021 10H,16336
11/13/2021 09H,15546
11/13/2021 08H,14727
11/13/2021 07H,15731
11/13/2021 06H,16851
11/13/2021 05H,17209
11/13/2021 04H,17659
11/13/2021 03H,18421
11/13/2021 02H,19541
11/13/2021 01H,20914
11/13/2021 00H,21012
11/12/2021 23H,19852
11/12/2021 22H,18612
11/12/2021 21H,17500
11/12/2021 20H,17396
11/12/2021 19H,17619
11/12/2021 18H,17359
11/12/2021 17H,17671
11/12/2021 16H,18751
11/12/2021 15H,19183
11/12/2021 14H,19851
11/12/2021 13H,19479
11/12/2021 12H,17279
11/12/2021 11H,14585
11/12/2021 10H,12987
11/12/2021 09H,12801
11/12/2021 08H,12962
11/12/2021 07H,13209
11/12/2021 06H,14405
11/12/2021 05H,16170
11/12/2021 04H,17638
11/12/2021 03H,19283
11/12/2021 02H,20316
11/12/2021 01H,20362
11/12/2021 00H,19766
11/11/2021 23H,19007
11/11/2021 22H,18443
11/11/2021 21H,18411
11/11/2021 20H,18369
11/11/2021 19H,18608
11/11/2021 18H,18574
11/11/2021 17H,18380
11/11/2021 16H,18280
11/11/2021 15H,17705
11/11/2021 14H,17805
11/11/2021 13H,17104
11/11/2021 12H,14919
11/11/2021 11H,12748
11/11/2021 10H,11911
11/11/2021 09H,11927
11/11/2021 08H,12163
11/11/2021 07H,12249
11/11/2021 06H,13345
11/11/2021 05H,14411
11/11/2021 04H,16397
11/11/2021 03H,18065
11/11/2021 02H,20481
11/11/2021 01H,22257
11/11/2021 00H,23685
11/10/2021 23H,23589
11/10/2021 22H,22715
11/10/2021 21H,21567
11/10/2021 20H,21450
11/10/2021 19H,21133
11/10/2021 18H,20712
11/10/2021 17H,20633
11/10/2021 16H,20548
11/10/2021 15H,20374
11/10/2021 14H,21061
11/10/2021 13H,21187
11/10/2021 12H,18984
11/10/2021 11H,17123
11/10/2021 10H,16419
11/10/2021 09H,16130
11/10/2021 08H,15657
11/10/2021 07H,15728
11/10/2021 06H,15815
11/10/2021 05H,17588
11/10/2021 04H,19318
11/10/2021 03H,21238
11/10/2021 02H,23703
11/10/2021 01H,26328
11/10/2021 00H,27397
11/9/2021 23H,26442
11/9/2021 22H,26090
11/9/2021 21H,25784
11/9/2021 20H,26503
11/9/2021 19H,26365
11/9/2021 18H,26282
11/9/2021 17H,26360
11/9/2021 16H,26257
11/9/2021 15H,25259
11/9/2021 14H,25019
11/9/2021 13H,24240
11/9/2021 12H,21439
11/9/2021 11H,18365
11/9/2021 10H,16219
11/9/2021 09H,15294
11/9/2021 08H,14808
11/9/2021 07H,14741
11/9/2021 06H,15420
11/9/2021 05H,16576
11/9/2021 04H,18840
11/9/2021 03H,20186
11/9/2021 02H,21594
11/9/2021 01H,22427
11/9/2021 00H,23653
11/8/2021 23H,22988
11/8/2021 22H,20744
11/8/2021 21H,20376
11/8/2021 20H,20672
11/8/2021 19H,21298
11/8/2021 18H,21546
11/8/2021 17H,21701
11/8/2021 16H,22066
11/8/2021 15H,21813
11/8/2021 14H,22864
11/8/2021 13H,23007
11/8/2021 12H,19665
11/8/2021 11H,16134
11/8/2021 10H,13428
11/8/2021 09H,12143
11/8/2021 08H,11936
11/8/2021 07H,12020
11/8/2021 06H,12281
11/8/2021 05H,13064
11/8/2021 04H,13953
11/8/2021 03H,15446
11/8/2021 02H,16681
11/8/2021 01H,18035
11/8/2021 00H,19090
11/7/2021 23H,17461
11/7/2021 22H,15493
11/7/2021 21H,14609
11/7/2021 20H,15704
11/7/2021 19H,17136
11/7/2021 18H,18409
11/7/2021 17H,19565
11/7/2021 16H,19676
11/7/2021 15H,19859
11/7/2021 14H,19686
11/7/2021 13H,19048
11/7/2021 12H,18112
11/7/2021 11H,16841
11/7/2021 10H,15981
11/7/2021 09H,15415
11/7/2021 08H,15153
11/7/2021 07H,13987
11/7/2021 06H,13345
11/7/2021 05H,14403
11/7/2021 04H,16077
11/7/2021 03H,16890
11/7/2021 02H,17491
11/7/2021 01H,19022
11/7/2021 00H,20406
11/6/2021 23H,21313
11/6/2021 22H,19862
11/6/2021 21H,18386
11/6/2021 20H,19491
11/6/2021 19H,20831
11/6/2021 18H,22235
11/6/2021 17H,22455
11/6/2021 16H,23801
11/6/2021 15H,23478
11/6/2021 14H,22999
11/6/2021 13H,21945
11/6/2021 12H,20615
11/6/2021 11H,18350
11/6/2021 10H,17503
11/6/2021 09H,17057
11/6/2021 08H,16774
11/6/2021 07H,16512
11/6/2021 06H,16894
11/6/2021 05H,20448
11/6/2021 04H,21132
11/6/2021 03H,22210
11/6/2021 02H,24240
11/6/2021 01H,25241
11/6/2021 00H,25532
11/5/2021 23H,24852
11/5/2021 22H,23752
11/5/2021 21H,22894
11/5/2021 20H,23008
11/5/2021 19H,23786
11/5/2021 18H,25209
11/5/2021 17H,27233
11/5/2021 16H,28553
11/5/2021 15H,28718
11/5/2021 14H,29715
11/5/2021 13H,30204
11/5/2021 12H,29975
11/5/2021 11H,27748
11/5/2021 10H,24602
11/5/2021 09H,23034
11/5/2021 08H,22481
11/5/2021 07H,22630
11/5/2021 06H,20480
11/5/2021 05H,20388
11/5/2021 04H,21451
11/5/2021 03H,22906
11/5/2021 02H,25215
11/5/2021 01H,26087
11/5/2021 00H,26158
11/4/2021 23H,25403
11/4/2021 22H,24097
11/4/2021 21H,23176
11/4/2021 20H,23341
11/4/2021 19H,23983
11/4/2021 18H,25404
11/4/2021 17H,27606
11/4/2021 16H,29050
11/4/2021 15H,29171
11/4/2021 14H,30098
11/4/2021 13H,30463
11/4/2021 12H,29921
11/4/2021 11H,27689
11/4/2021 10H,24710
11/4/2021 09H,23341
11/4/2021 08H,22764
11/4/2021 07H,22710
11/4/2021 06H,23070
11/4/2021 05H,23369
11/4/2021 04H,23622
11/4/2021 03H,25281
11/4/2021 02H,27598
11/4/2021 01H,28190
11/4/2021 00H,28098
11/3/2021 23H,27407
11/3/2021 22H,26929
11/3/2021 21H,26364
11/3/2021 20H,26181
11/3/2021 19H,26692
11/3/2021 18H,27323
11/3/2021 17H,27896
11/3/2021 16H,28574
11/3/2021 15H,28885
11/3/2021 14H,29764
11/3/2021 13H,30165
11/3/2021 12H,29070
11/3/2021 11H,25602
11/3/2021 10H,22565
11/3/2021 09H,22295
11/3/2021 08H,22476
11/3/2021 07H,22554
11/3/2021 06H,23078
11/3/2021 05H,23716
11/3/2021 04H,24956
11/3/2021 03H,26826
11/3/2021 02H,27981
11/3/2021 01H,28871
11/3/2021 00H,29187
11/2/2021 23H,27755
11/2/2021 22H,27092
11/2/2021 21H,26446
11/2/2021 20H,26462
11/2/2021 19H,27096
11/2/2021 18H,27433
11/2/2021 17H,28190
11/2/2021 16H,29099
11/2/2021 15H,29546
11/2/2021 14H,29541
11/2/2021 13H,29359
11/2/2021 12H,27556
11/2/2021 11H,23964
11/2/2021 10H,21406
11/2/2021 09H,20917
11/2/2021 08H,21153
11/2/2021 07H,21416
11/2/2021 06H,21525
11/2/2021 05H,22429
11/2/2021 04H,23478
11/2/2021 03H,25305
11/2/2021 02H,26252
11/2/2021 01H,26793
11/2/2021 00H,26622
11/1/2021 23H,25338
11/1/2021 22H,24040
11/1/2021 21H,23021
11/1/2021 20H,22880
11/1/2021 19H,23188
11/1/2021 18H,23854
11/1/2021 17H,25781
11/1/2021 16H,26853
11/1/2021 15H,26535
