Net generation from other for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.OTH.H
19:14:30 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.OTH.H megawatthours
11/19/2021 05H,697
11/19/2021 04H,690
11/19/2021 03H,687
11/19/2021 02H,694
11/19/2021 01H,696
11/19/2021 00H,696
11/18/2021 23H,700
11/18/2021 22H,699
11/18/2021 21H,698
11/18/2021 20H,692
11/18/2021 19H,698
11/18/2021 18H,744
11/18/2021 17H,759
11/18/2021 16H,766
11/18/2021 15H,761
11/18/2021 14H,756
11/18/2021 13H,751
11/18/2021 12H,730
11/18/2021 11H,697
11/18/2021 10H,684
11/18/2021 09H,692
11/18/2021 08H,700
11/18/2021 07H,707
11/18/2021 06H,712
11/18/2021 05H,704
11/18/2021 04H,709
11/18/2021 03H,722
11/18/2021 02H,733
11/18/2021 01H,730
11/18/2021 00H,715
11/17/2021 23H,691
11/17/2021 22H,685
11/17/2021 21H,691
11/17/2021 20H,696
11/17/2021 19H,704
11/17/2021 18H,707
11/17/2021 17H,707
11/17/2021 16H,710
11/17/2021 15H,711
11/17/2021 14H,713
11/17/2021 13H,705
11/17/2021 12H,688
11/17/2021 11H,684
11/17/2021 10H,669
11/17/2021 09H,670
11/17/2021 08H,671
11/17/2021 07H,678
11/17/2021 06H,688
11/17/2021 05H,700
11/17/2021 04H,703
11/17/2021 03H,702
11/17/2021 02H,701
11/17/2021 01H,698
11/17/2021 00H,699
11/16/2021 23H,686
11/16/2021 22H,682
11/16/2021 21H,682
11/16/2021 20H,695
11/16/2021 19H,692
11/16/2021 18H,692
11/16/2021 17H,688
11/16/2021 16H,699
11/16/2021 15H,676
11/16/2021 14H,685
11/16/2021 13H,689
11/16/2021 12H,663
11/16/2021 11H,630
11/16/2021 10H,633
11/16/2021 09H,635
11/16/2021 08H,637
11/16/2021 07H,637
11/16/2021 06H,632
11/16/2021 05H,635
11/16/2021 04H,642
11/16/2021 03H,651
11/16/2021 02H,649
11/16/2021 01H,650
11/16/2021 00H,654
11/15/2021 23H,648
11/15/2021 22H,649
11/15/2021 21H,647
11/15/2021 20H,638
11/15/2021 19H,638
11/15/2021 18H,631
11/15/2021 17H,630
11/15/2021 16H,627
11/15/2021 15H,620
11/15/2021 14H,617
11/15/2021 13H,607
11/15/2021 12H,597
11/15/2021 11H,597
11/15/2021 10H,607
11/15/2021 09H,622
11/15/2021 08H,620
11/15/2021 07H,625
11/15/2021 06H,738
11/15/2021 05H,855
11/15/2021 04H,929
11/15/2021 03H,947
11/15/2021 02H,950
11/15/2021 01H,951
11/15/2021 00H,957
11/14/2021 23H,961
11/14/2021 22H,912
11/14/2021 21H,875
11/14/2021 20H,875
11/14/2021 19H,876
11/14/2021 18H,878
11/14/2021 17H,878
11/14/2021 16H,877
11/14/2021 15H,869
11/14/2021 14H,874
11/14/2021 13H,868
11/14/2021 12H,860
11/14/2021 11H,855
11/14/2021 10H,851
11/14/2021 09H,847
11/14/2021 08H,833
11/14/2021 07H,833
11/14/2021 06H,835
11/14/2021 05H,856
11/14/2021 04H,892
11/14/2021 03H,899
11/14/2021 02H,905
11/14/2021 01H,901
11/14/2021 00H,903
11/13/2021 23H,907
11/13/2021 22H,898
11/13/2021 21H,891
11/13/2021 20H,895
11/13/2021 19H,894
11/13/2021 18H,908
11/13/2021 17H,950
11/13/2021 16H,964
11/13/2021 15H,956
11/13/2021 14H,921
11/13/2021 13H,892
11/13/2021 12H,893
11/13/2021 11H,886
11/13/2021 10H,890
11/13/2021 09H,883
11/13/2021 08H,880
11/13/2021 07H,913
11/13/2021 06H,929
11/13/2021 05H,924
11/13/2021 04H,934
11/13/2021 03H,942
11/13/2021 02H,945
11/13/2021 01H,949
11/13/2021 00H,946
11/12/2021 23H,944
11/12/2021 22H,940
11/12/2021 21H,936
11/12/2021 20H,941
11/12/2021 19H,949
11/12/2021 18H,939
11/12/2021 17H,933
11/12/2021 16H,928
11/12/2021 15H,935
11/12/2021 14H,938
11/12/2021 13H,930
11/12/2021 12H,917
11/12/2021 11H,916
11/12/2021 10H,913
11/12/2021 09H,916
11/12/2021 08H,926
11/12/2021 07H,980
11/12/2021 06H,997
11/12/2021 05H,992
11/12/2021 04H,1001
11/12/2021 03H,1000
11/12/2021 02H,998
11/12/2021 01H,991
11/12/2021 00H,1007
11/11/2021 23H,1012
11/11/2021 22H,1004
11/11/2021 21H,990
11/11/2021 20H,1014
11/11/2021 19H,1027
11/11/2021 18H,1031
11/11/2021 17H,1006
11/11/2021 16H,1015
11/11/2021 15H,1021
11/11/2021 14H,1038
11/11/2021 13H,1021
11/11/2021 12H,903
11/11/2021 11H,844
11/11/2021 10H,834
11/11/2021 09H,839
11/11/2021 08H,875
11/11/2021 07H,897
11/11/2021 06H,953
11/11/2021 05H,983
11/11/2021 04H,1010
11/11/2021 03H,1022
11/11/2021 02H,1039
11/11/2021 01H,1049
11/11/2021 00H,1059
11/10/2021 23H,1059
11/10/2021 22H,1054
11/10/2021 21H,1051
11/10/2021 20H,1065
11/10/2021 19H,1071
11/10/2021 18H,1078
11/10/2021 17H,1085
11/10/2021 16H,1093
11/10/2021 15H,1088
11/10/2021 14H,1075
11/10/2021 13H,1059
11/10/2021 12H,1043
11/10/2021 11H,1033
11/10/2021 10H,1012
11/10/2021 09H,1006
11/10/2021 08H,1013
11/10/2021 07H,1025
11/10/2021 06H,1038
11/10/2021 05H,1050
11/10/2021 04H,1064
11/10/2021 03H,1079
11/10/2021 02H,1092
11/10/2021 01H,1099
11/10/2021 00H,1098
11/9/2021 23H,1091
11/9/2021 22H,1088
11/9/2021 21H,1090
11/9/2021 20H,1091
11/9/2021 19H,1096
11/9/2021 18H,1101
11/9/2021 17H,1102
11/9/2021 16H,1106
11/9/2021 15H,1093
11/9/2021 14H,1076
11/9/2021 13H,1080
11/9/2021 12H,1066
11/9/2021 11H,1067
11/9/2021 10H,1064
11/9/2021 09H,1052
11/9/2021 08H,1051
11/9/2021 07H,1042
11/9/2021 06H,1043
11/9/2021 05H,1056
11/9/2021 04H,1058
11/9/2021 03H,1049
11/9/2021 02H,1045
11/9/2021 01H,1064
11/9/2021 00H,1077
11/8/2021 23H,1071
11/8/2021 22H,1041
11/8/2021 21H,1033
11/8/2021 20H,1027
11/8/2021 19H,1036
11/8/2021 18H,1046
11/8/2021 17H,1058
11/8/2021 16H,1060
11/8/2021 15H,1059
11/8/2021 14H,1060
11/8/2021 13H,1025
11/8/2021 12H,990
11/8/2021 11H,968
11/8/2021 10H,968
11/8/2021 09H,972
11/8/2021 08H,960
11/8/2021 07H,968
11/8/2021 06H,960
11/8/2021 05H,957
11/8/2021 04H,959
11/8/2021 03H,967
11/8/2021 02H,973
