Net generation from solar for Midwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390111&sdid=EBA.MIDW-ALL.NG.SUN.H
19:14:43 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.MIDW-ALL.NG.SUN.H megawatthours
11/19/2021 05H,1
11/19/2021 04H,1
11/19/2021 03H,1
11/19/2021 02H,1
11/19/2021 01H,1
11/19/2021 00H,1
11/18/2021 23H,46
11/18/2021 22H,332
11/18/2021 21H,471
11/18/2021 20H,434
11/18/2021 19H,500
11/18/2021 18H,545
11/18/2021 17H,550
11/18/2021 16H,465
11/18/2021 15H,290
11/18/2021 14H,75
11/18/2021 13H,2
11/18/2021 12H,1
11/18/2021 11H,1
11/18/2021 10H,1
11/18/2021 09H,1
11/18/2021 08H,1
11/18/2021 07H,1
11/18/2021 06H,1
11/18/2021 05H,1
11/18/2021 04H,1
11/18/2021 03H,1
11/18/2021 02H,1
11/18/2021 01H,1
11/18/2021 00H,1
11/17/2021 23H,18
11/17/2021 22H,122
11/17/2021 21H,212
11/17/2021 20H,289
11/17/2021 19H,374
11/17/2021 18H,432
11/17/2021 17H,485
11/17/2021 16H,429
11/17/2021 15H,277
11/17/2021 14H,70
11/17/2021 13H,2
11/17/2021 12H,1
11/17/2021 11H,1
11/17/2021 10H,1
11/17/2021 09H,1
11/17/2021 08H,1
11/17/2021 07H,1
11/17/2021 06H,1
11/17/2021 05H,1
11/17/2021 04H,1
11/17/2021 03H,1
11/17/2021 02H,1
11/17/2021 01H,1
11/17/2021 00H,1
11/16/2021 23H,41
11/16/2021 22H,237
11/16/2021 21H,434
11/16/2021 20H,518
11/16/2021 19H,607
11/16/2021 18H,580
11/16/2021 17H,543
11/16/2021 16H,476
11/16/2021 15H,435
11/16/2021 14H,142
11/16/2021 13H,2
11/16/2021 12H,1
11/16/2021 11H,1
11/16/2021 10H,1
11/16/2021 09H,1
11/16/2021 08H,1
11/16/2021 07H,1
11/16/2021 06H,1
11/16/2021 05H,1
11/16/2021 04H,1
11/16/2021 03H,1
11/16/2021 02H,1
11/16/2021 01H,0
11/16/2021 00H,1
11/15/2021 23H,41
11/15/2021 22H,310
11/15/2021 21H,607
11/15/2021 20H,716
11/15/2021 19H,673
11/15/2021 18H,679
11/15/2021 17H,624
11/15/2021 16H,530
11/15/2021 15H,356
11/15/2021 14H,96
11/15/2021 13H,1
11/15/2021 12H,1
11/15/2021 11H,1
11/15/2021 10H,1
11/15/2021 09H,1
11/15/2021 08H,0
11/15/2021 07H,1
11/15/2021 06H,1
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,1
11/15/2021 02H,1
11/15/2021 01H,1
11/15/2021 00H,1
11/14/2021 23H,53
11/14/2021 22H,279
11/14/2021 21H,414
11/14/2021 20H,422
