Net generation from coal for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.COL.H
19:15:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.COL.H megawatthours
11/19/2021 05H,0
11/19/2021 04H,1
11/19/2021 03H,0
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,0
11/18/2021 23H,0
11/18/2021 22H,0
11/18/2021 21H,0
11/18/2021 20H,0
11/18/2021 19H,0
11/18/2021 18H,0
11/18/2021 17H,0
11/18/2021 16H,0
11/18/2021 15H,0
11/18/2021 14H,0
11/18/2021 13H,0
11/18/2021 12H,0
11/18/2021 11H,0
11/18/2021 10H,0
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,0
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,0
11/18/2021 03H,0
11/18/2021 02H,0
11/18/2021 01H,3
11/18/2021 00H,7
11/17/2021 23H,7
11/17/2021 22H,0
11/17/2021 21H,0
11/17/2021 20H,0
11/17/2021 19H,0
11/17/2021 18H,0
11/17/2021 17H,0
11/17/2021 16H,0
11/17/2021 15H,0
11/17/2021 14H,0
11/17/2021 13H,0
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,0
11/17/2021 09H,0
11/17/2021 08H,0
11/17/2021 07H,0
11/17/2021 06H,0
11/17/2021 05H,0
11/17/2021 04H,0
11/17/2021 03H,0
11/17/2021 02H,2
11/17/2021 01H,7
11/17/2021 00H,7
11/16/2021 23H,8
11/16/2021 22H,3
11/16/2021 21H,0
11/16/2021 20H,0
11/16/2021 19H,0
11/16/2021 18H,0
11/16/2021 17H,0
11/16/2021 16H,0
11/16/2021 15H,0
11/16/2021 14H,0
11/16/2021 13H,0
11/16/2021 12H,0
11/16/2021 11H,0
11/16/2021 10H,0
11/16/2021 09H,0
11/16/2021 08H,0
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,0
11/16/2021 04H,1
11/16/2021 03H,0
11/16/2021 02H,0
11/16/2021 01H,3
11/16/2021 00H,7
11/15/2021 23H,3
11/15/2021 22H,0
11/15/2021 21H,0
11/15/2021 20H,0
11/15/2021 19H,0
11/15/2021 18H,0
11/15/2021 17H,0
11/15/2021 16H,0
11/15/2021 15H,0
11/15/2021 14H,0
11/15/2021 13H,0
11/15/2021 12H,0
11/15/2021 11H,0
11/15/2021 10H,0
11/15/2021 09H,0
11/15/2021 08H,0
11/15/2021 07H,0
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,0
11/15/2021 02H,0
11/15/2021 01H,0
11/15/2021 00H,0
11/14/2021 23H,0
11/14/2021 22H,0
11/14/2021 21H,0
11/14/2021 20H,0
11/14/2021 19H,0
11/14/2021 18H,0
11/14/2021 17H,0
11/14/2021 16H,0
11/14/2021 15H,0
11/14/2021 14H,0
11/14/2021 13H,0
11/14/2021 12H,0
11/14/2021 11H,0
11/14/2021 10H,0
11/14/2021 09H,0
11/14/2021 08H,0
11/14/2021 07H,0
11/14/2021 06H,0
11/14/2021 05H,0
11/14/2021 04H,0
11/14/2021 03H,0
11/14/2021 02H,0
11/14/2021 01H,0
11/14/2021 00H,0
11/13/2021 23H,0
11/13/2021 22H,0
11/13/2021 21H,0
11/13/2021 20H,0
11/13/2021 19H,0
11/13/2021 18H,0
11/13/2021 17H,0
11/13/2021 16H,0
11/13/2021 15H,0
11/13/2021 14H,0
11/13/2021 13H,0
11/13/2021 12H,0
11/13/2021 11H,0
11/13/2021 10H,0
11/13/2021 09H,0
11/13/2021 08H,0
11/13/2021 07H,0
11/13/2021 06H,0
11/13/2021 05H,0
11/13/2021 04H,0
11/13/2021 03H,0
11/13/2021 02H,0
11/13/2021 01H,0
11/13/2021 00H,0
11/12/2021 23H,0
11/12/2021 22H,0
11/12/2021 21H,0
11/12/2021 20H,0
11/12/2021 19H,0
11/12/2021 18H,0
11/12/2021 17H,0
11/12/2021 16H,0
11/12/2021 15H,0
11/12/2021 14H,0
11/12/2021 13H,0
11/12/2021 12H,0
11/12/2021 11H,0
11/12/2021 10H,0
11/12/2021 09H,0
11/12/2021 08H,0
11/12/2021 07H,0
