Net generation from natural gas for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.NG.H
19:15:53 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.NG.H megawatthours
11/19/2021 05H,3628
11/19/2021 04H,4243
11/19/2021 03H,5091
11/19/2021 02H,5657
11/19/2021 01H,6278
11/19/2021 00H,6531
11/18/2021 23H,6559
11/18/2021 22H,6480
11/18/2021 21H,6337
11/18/2021 20H,6049
11/18/2021 19H,5677
11/18/2021 18H,5509
11/18/2021 17H,5613
11/18/2021 16H,5495
11/18/2021 15H,5606
11/18/2021 14H,6015
11/18/2021 13H,6055
11/18/2021 12H,5662
11/18/2021 11H,4798
11/18/2021 10H,4540
11/18/2021 09H,4406
11/18/2021 08H,4050
11/18/2021 07H,4047
11/18/2021 06H,4368
11/18/2021 05H,4325
11/18/2021 04H,5086
11/18/2021 03H,0
11/18/2021 02H,7353
11/18/2021 01H,8004
11/18/2021 00H,8163
11/17/2021 23H,8228
11/17/2021 22H,8011
11/17/2021 21H,7361
11/17/2021 20H,7314
11/17/2021 19H,7335
11/17/2021 18H,7152
11/17/2021 17H,7046
11/17/2021 16H,6597
11/17/2021 15H,6716
11/17/2021 14H,7423
11/17/2021 13H,7484
11/17/2021 12H,6886
11/17/2021 11H,5845
11/17/2021 10H,5227
11/17/2021 09H,4643
11/17/2021 08H,4483
11/17/2021 07H,4446
11/17/2021 06H,4826
11/17/2021 05H,4940
11/17/2021 04H,5616
11/17/2021 03H,6561
11/17/2021 02H,7289
11/17/2021 01H,7222
11/17/2021 00H,7220
11/16/2021 23H,7266
11/16/2021 22H,7129
11/16/2021 21H,6261
11/16/2021 20H,5727
11/16/2021 19H,5557
11/16/2021 18H,4898
11/16/2021 17H,5179
11/16/2021 16H,4844
11/16/2021 15H,5485
11/16/2021 14H,6423
11/16/2021 13H,6646
11/16/2021 12H,6449
11/16/2021 11H,4898
11/16/2021 10H,4314
11/16/2021 09H,4061
11/16/2021 08H,3887
11/16/2021 07H,3838
11/16/2021 06H,4240
11/16/2021 05H,4433
11/16/2021 04H,5235
11/16/2021 03H,6589
11/16/2021 02H,7362
11/16/2021 01H,7950
11/16/2021 00H,8035
11/15/2021 23H,8183
11/15/2021 22H,7810
11/15/2021 21H,7424
11/15/2021 20H,7135
11/15/2021 19H,6802
11/15/2021 18H,6730
11/15/2021 17H,6841
11/15/2021 16H,6652
11/15/2021 15H,6654
11/15/2021 14H,7013
11/15/2021 13H,7080
11/15/2021 12H,6508
11/15/2021 11H,5312
11/15/2021 10H,4364
11/15/2021 09H,3903
11/15/2021 08H,3830
11/15/2021 07H,3702
11/15/2021 06H,3848
11/15/2021 05H,4049
11/15/2021 04H,4805
11/15/2021 03H,5557
11/15/2021 02H,6063
11/15/2021 01H,6163
11/15/2021 00H,6367
11/14/2021 23H,6430
11/14/2021 22H,6270
11/14/2021 21H,5816
11/14/2021 20H,5454
11/14/2021 19H,4834
11/14/2021 18H,4542
11/14/2021 17H,3907
11/14/2021 16H,3450
11/14/2021 15H,3261
11/14/2021 14H,3457
11/14/2021 13H,3627
11/14/2021 12H,3414
11/14/2021 11H,3201
11/14/2021 10H,3136
11/14/2021 09H,3137
11/14/2021 08H,3416
11/14/2021 07H,3337
11/14/2021 06H,3186
11/14/2021 05H,3513
11/14/2021 04H,4435
11/14/2021 03H,5247
11/14/2021 02H,5598
11/14/2021 01H,5907
11/14/2021 00H,5771
11/13/2021 23H,5558
11/13/2021 22H,5677
11/13/2021 21H,5414
11/13/2021 20H,4560
11/13/2021 19H,4207
11/13/2021 18H,3876
11/13/2021 17H,3547
11/13/2021 16H,3613
11/13/2021 15H,3912
11/13/2021 14H,4404
11/13/2021 13H,4409
11/13/2021 12H,4147
11/13/2021 11H,3757
11/13/2021 10H,3302
11/13/2021 09H,3128
11/13/2021 08H,3093
11/13/2021 07H,3201
11/13/2021 06H,3380
11/13/2021 05H,3981
11/13/2021 04H,4821
11/13/2021 03H,5746
