Net generation from other for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.OTH.H
19:16:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.OTH.H megawatthours
11/19/2021 05H,564
11/19/2021 04H,568
11/19/2021 03H,561
11/19/2021 02H,547
11/19/2021 01H,553
11/19/2021 00H,552
11/18/2021 23H,554
11/18/2021 22H,554
11/18/2021 21H,570
11/18/2021 20H,576
11/18/2021 19H,563
11/18/2021 18H,564
11/18/2021 17H,566
11/18/2021 16H,574
11/18/2021 15H,562
11/18/2021 14H,572
11/18/2021 13H,585
11/18/2021 12H,586
11/18/2021 11H,588
11/18/2021 10H,585
11/18/2021 09H,587
11/18/2021 08H,612
11/18/2021 07H,614
11/18/2021 06H,617
11/18/2021 05H,605
11/18/2021 04H,626
11/18/2021 03H,0
11/18/2021 02H,629
11/18/2021 01H,618
11/18/2021 00H,621
11/17/2021 23H,634
11/17/2021 22H,627
11/17/2021 21H,620
11/17/2021 20H,618
11/17/2021 19H,611
11/17/2021 18H,621
11/17/2021 17H,635
11/17/2021 16H,641
11/17/2021 15H,643
11/17/2021 14H,640
11/17/2021 13H,634
11/17/2021 12H,647
11/17/2021 11H,646
11/17/2021 10H,638
11/17/2021 09H,661
11/17/2021 08H,663
11/17/2021 07H,651
11/17/2021 06H,663
11/17/2021 05H,672
11/17/2021 04H,679
11/17/2021 03H,675
11/17/2021 02H,672
11/17/2021 01H,670
11/17/2021 00H,665
11/16/2021 23H,680
11/16/2021 22H,682
11/16/2021 21H,670
11/16/2021 20H,657
11/16/2021 19H,653
11/16/2021 18H,639
11/16/2021 17H,647
11/16/2021 16H,649
11/16/2021 15H,659
11/16/2021 14H,654
11/16/2021 13H,678
11/16/2021 12H,687
11/16/2021 11H,683
11/16/2021 10H,665
11/16/2021 09H,662
11/16/2021 08H,663
11/16/2021 07H,654
11/16/2021 06H,654
11/16/2021 05H,658
11/16/2021 04H,651
11/16/2021 03H,650
11/16/2021 02H,640
11/16/2021 01H,646
11/16/2021 00H,657
11/15/2021 23H,657
11/15/2021 22H,663
11/15/2021 21H,665
11/15/2021 20H,656
11/15/2021 19H,652
11/15/2021 18H,649
11/15/2021 17H,633
11/15/2021 16H,645
11/15/2021 15H,660
11/15/2021 14H,660
11/15/2021 13H,672
11/15/2021 12H,681
11/15/2021 11H,681
11/15/2021 10H,678
11/15/2021 09H,677
11/15/2021 08H,673
11/15/2021 07H,675
11/15/2021 06H,677
11/15/2021 05H,648
11/15/2021 04H,660
11/15/2021 03H,648
11/15/2021 02H,643
11/15/2021 01H,646
11/15/2021 00H,649
11/14/2021 23H,654
11/14/2021 22H,659
11/14/2021 21H,662
11/14/2021 20H,649
11/14/2021 19H,641
11/14/2021 18H,650
11/14/2021 17H,667
11/14/2021 16H,649
11/14/2021 15H,635
11/14/2021 14H,616
11/14/2021 13H,617
11/14/2021 12H,642
11/14/2021 11H,647
11/14/2021 10H,662
11/14/2021 09H,669
11/14/2021 08H,667
11/14/2021 07H,674
11/14/2021 06H,671
11/14/2021 05H,656
11/14/2021 04H,658
11/14/2021 03H,660
11/14/2021 02H,667
11/14/2021 01H,665
11/14/2021 00H,667
11/13/2021 23H,676
11/13/2021 22H,667
11/13/2021 21H,667
11/13/2021 20H,664
11/13/2021 19H,649
11/13/2021 18H,644
11/13/2021 17H,634
11/13/2021 16H,633
11/13/2021 15H,641
11/13/2021 14H,645
11/13/2021 13H,639
11/13/2021 12H,641
11/13/2021 11H,660
11/13/2021 10H,672
11/13/2021 09H,659
11/13/2021 08H,665
11/13/2021 07H,658
11/13/2021 06H,657
11/13/2021 05H,660
11/13/2021 04H,658
11/13/2021 03H,658
11/13/2021 02H,645
11/13/2021 01H,649
11/13/2021 00H,646
11/12/2021 23H,646
11/12/2021 22H,639
11/12/2021 21H,637
11/12/2021 20H,630
11/12/2021 19H,624
11/12/2021 18H,622
11/12/2021 17H,616
11/12/2021 16H,637
11/12/2021 15H,650
11/12/2021 14H,654
11/12/2021 13H,651
11/12/2021 12H,646
11/12/2021 11H,650
11/12/2021 10H,646
11/12/2021 09H,639
11/12/2021 08H,637
11/12/2021 07H,639
11/12/2021 06H,640
11/12/2021 05H,636
11/12/2021 04H,634
11/12/2021 03H,635
11/12/2021 02H,641
11/12/2021 01H,628
11/12/2021 00H,639
11/11/2021 23H,638
11/11/2021 22H,645
11/11/2021 21H,638
11/11/2021 20H,633
11/11/2021 19H,639
11/11/2021 18H,628
11/11/2021 17H,622
11/11/2021 16H,630
11/11/2021 15H,626
11/11/2021 14H,612
11/11/2021 13H,614
11/11/2021 12H,615
11/11/2021 11H,628
11/11/2021 10H,620
11/11/2021 09H,610
11/11/2021 08H,615
11/11/2021 07H,609
11/11/2021 06H,613
11/11/2021 05H,618
11/11/2021 04H,608
11/11/2021 03H,595
11/11/2021 02H,560
11/11/2021 01H,545
11/11/2021 00H,561
11/10/2021 23H,561
11/10/2021 22H,545
11/10/2021 21H,560
11/10/2021 20H,546
11/10/2021 19H,519
11/10/2021 18H,539
11/10/2021 17H,558
11/10/2021 16H,525
11/10/2021 15H,522
11/10/2021 14H,511
11/10/2021 13H,549
11/10/2021 12H,574
11/10/2021 11H,579
11/10/2021 10H,570
11/10/2021 09H,570
11/10/2021 08H,575
11/10/2021 07H,571
11/10/2021 06H,579
11/10/2021 05H,570
11/10/2021 04H,582
11/10/2021 03H,578
11/10/2021 02H,574
11/10/2021 01H,577
11/10/2021 00H,585
11/9/2021 23H,590
11/9/2021 22H,587
11/9/2021 21H,576
