Net generation from petroleum for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.OIL.H
19:16:14 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.OIL.H megawatthours
11/19/2021 05H,0
11/19/2021 04H,0
11/19/2021 03H,0
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,0
11/18/2021 23H,0
11/18/2021 22H,0
11/18/2021 21H,40
11/18/2021 20H,41
11/18/2021 19H,7
11/18/2021 18H,0
11/18/2021 17H,0
11/18/2021 16H,0
11/18/2021 15H,0
11/18/2021 14H,0
11/18/2021 13H,0
11/18/2021 12H,0
11/18/2021 11H,0
11/18/2021 10H,0
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,0
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,0
11/18/2021 03H,0
11/18/2021 02H,0
11/18/2021 01H,0
11/18/2021 00H,0
11/17/2021 23H,107
11/17/2021 22H,78
11/17/2021 21H,0
11/17/2021 20H,0
11/17/2021 19H,0
11/17/2021 18H,0
11/17/2021 17H,341
11/17/2021 16H,473
11/17/2021 15H,93
11/17/2021 14H,0
11/17/2021 13H,0
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,0
11/17/2021 09H,0
11/17/2021 08H,0
11/17/2021 07H,0
11/17/2021 06H,0
11/17/2021 05H,0
11/17/2021 04H,0
11/17/2021 03H,223
11/17/2021 02H,325
11/17/2021 01H,385
11/17/2021 00H,522
11/16/2021 23H,575
11/16/2021 22H,567
11/16/2021 21H,868
11/16/2021 20H,717
11/16/2021 19H,509
11/16/2021 18H,666
11/16/2021 17H,334
11/16/2021 16H,827
11/16/2021 15H,643
11/16/2021 14H,269
11/16/2021 13H,208
11/16/2021 12H,51
11/16/2021 11H,0
11/16/2021 10H,0
11/16/2021 09H,0
11/16/2021 08H,0
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,0
11/16/2021 04H,0
11/16/2021 03H,0
11/16/2021 02H,0
11/16/2021 01H,0
11/16/2021 00H,0
11/15/2021 23H,0
11/15/2021 22H,0
11/15/2021 21H,0
11/15/2021 20H,0
11/15/2021 19H,0
11/15/2021 18H,0
11/15/2021 17H,0
11/15/2021 16H,0
11/15/2021 15H,0
11/15/2021 14H,0
11/15/2021 13H,0
11/15/2021 12H,0
11/15/2021 11H,0
11/15/2021 10H,0
11/15/2021 09H,0
11/15/2021 08H,0
11/15/2021 07H,0
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,0
11/15/2021 02H,0
11/15/2021 01H,0
11/15/2021 00H,0
11/14/2021 23H,0
11/14/2021 22H,0
11/14/2021 21H,0
11/14/2021 20H,0
11/14/2021 19H,0
11/14/2021 18H,0
11/14/2021 17H,0
11/14/2021 16H,0
11/14/2021 15H,0
11/14/2021 14H,0
11/14/2021 13H,0
11/14/2021 12H,0
11/14/2021 11H,0
11/14/2021 10H,0
