Net generation from solar for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.SUN.H
19:16:21 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.SUN.H megawatthours
11/19/2021 05H,0
11/19/2021 04H,0
11/19/2021 03H,0
11/19/2021 02H,0
11/19/2021 01H,0
11/19/2021 00H,0
11/18/2021 23H,1
11/18/2021 22H,5
11/18/2021 21H,44
11/18/2021 20H,120
11/18/2021 19H,186
11/18/2021 18H,230
11/18/2021 17H,225
11/18/2021 16H,208
11/18/2021 15H,150
11/18/2021 14H,74
11/18/2021 13H,17
11/18/2021 12H,0
11/18/2021 11H,0
11/18/2021 10H,0
11/18/2021 09H,0
11/18/2021 08H,0
11/18/2021 07H,0
11/18/2021 06H,0
11/18/2021 05H,0
11/18/2021 04H,0
11/18/2021 03H,0
11/18/2021 02H,0
11/18/2021 01H,0
11/18/2021 00H,0
11/17/2021 23H,0
11/17/2021 22H,5
11/17/2021 21H,34
11/17/2021 20H,81
11/17/2021 19H,134
11/17/2021 18H,184
11/17/2021 17H,179
11/17/2021 16H,222
11/17/2021 15H,218
11/17/2021 14H,140
11/17/2021 13H,34
11/17/2021 12H,0
11/17/2021 11H,0
11/17/2021 10H,0
11/17/2021 09H,0
11/17/2021 08H,0
11/17/2021 07H,0
11/17/2021 06H,0
11/17/2021 05H,0
11/17/2021 04H,0
11/17/2021 03H,0
11/17/2021 02H,0
11/17/2021 01H,1
11/17/2021 00H,1
11/16/2021 23H,1
11/16/2021 22H,4
11/16/2021 21H,43
11/16/2021 20H,121
11/16/2021 19H,177
11/16/2021 18H,255
11/16/2021 17H,280
11/16/2021 16H,265
11/16/2021 15H,216
11/16/2021 14H,120
11/16/2021 13H,23
11/16/2021 12H,1
11/16/2021 11H,0
11/16/2021 10H,0
11/16/2021 09H,0
11/16/2021 08H,0
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,0
11/16/2021 04H,0
11/16/2021 03H,0
11/16/2021 02H,0
11/16/2021 01H,0
11/16/2021 00H,0
11/15/2021 23H,1
11/15/2021 22H,4
11/15/2021 21H,34
11/15/2021 20H,76
11/15/2021 19H,123
11/15/2021 18H,160
11/15/2021 17H,133
11/15/2021 16H,203
11/15/2021 15H,204
11/15/2021 14H,88
11/15/2021 13H,22
11/15/2021 12H,0
11/15/2021 11H,0
11/15/2021 10H,0
11/15/2021 09H,0
11/15/2021 08H,0
11/15/2021 07H,0
11/15/2021 06H,0
11/15/2021 05H,0
11/15/2021 04H,0
11/15/2021 03H,0
11/15/2021 02H,0
11/15/2021 01H,0
11/15/2021 00H,6
11/14/2021 23H,10
11/14/2021 22H,13
11/14/2021 21H,39
11/14/2021 20H,90
11/14/2021 19H,162
11/14/2021 18H,184
11/14/2021 17H,211
11/14/2021 16H,266
11/14/2021 15H,258
11/14/2021 14H,150
11/14/2021 13H,51
11/14/2021 12H,11
11/14/2021 11H,10
11/14/2021 10H,10
11/14/2021 09H,10
