Net generation from wind for New England (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390112&sdid=EBA.NE-ALL.NG.WND.H
19:16:29 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.NG.WND.H megawatthours
11/19/2021 05H,907
11/19/2021 04H,864
11/19/2021 03H,824
11/19/2021 02H,802
11/19/2021 01H,761
11/19/2021 00H,731
11/18/2021 23H,731
11/18/2021 22H,702
11/18/2021 21H,627
11/18/2021 20H,508
11/18/2021 19H,440
11/18/2021 18H,416
11/18/2021 17H,438
11/18/2021 16H,527
11/18/2021 15H,563
11/18/2021 14H,615
11/18/2021 13H,649
11/18/2021 12H,666
11/18/2021 11H,629
11/18/2021 10H,584
11/18/2021 09H,527
11/18/2021 08H,498
11/18/2021 07H,473
11/18/2021 06H,491
11/18/2021 05H,488
11/18/2021 04H,453
11/18/2021 03H,0
11/18/2021 02H,354
11/18/2021 01H,285
11/18/2021 00H,234
11/17/2021 23H,184
11/17/2021 22H,127
11/17/2021 21H,79
11/17/2021 20H,68
11/17/2021 19H,77
11/17/2021 18H,88
11/17/2021 17H,108
11/17/2021 16H,204
11/17/2021 15H,264
11/17/2021 14H,274
11/17/2021 13H,348
11/17/2021 12H,495
11/17/2021 11H,582
11/17/2021 10H,670
11/17/2021 09H,720
11/17/2021 08H,691
11/17/2021 07H,670
11/17/2021 06H,703
11/17/2021 05H,728
11/17/2021 04H,772
11/17/2021 03H,836
11/17/2021 02H,846
11/17/2021 01H,879
11/17/2021 00H,872
11/16/2021 23H,845
11/16/2021 22H,887
11/16/2021 21H,817
11/16/2021 20H,869
11/16/2021 19H,837
11/16/2021 18H,778
11/16/2021 17H,762
11/16/2021 16H,722
11/16/2021 15H,640
11/16/2021 14H,691
11/16/2021 13H,758
11/16/2021 12H,778
11/16/2021 11H,759
11/16/2021 10H,858
11/16/2021 09H,865
11/16/2021 08H,891
11/16/2021 07H,860
11/16/2021 06H,794
11/16/2021 05H,759
11/16/2021 04H,793
11/16/2021 03H,758
11/16/2021 02H,812
11/16/2021 01H,799
11/16/2021 00H,770
11/15/2021 23H,772
11/15/2021 22H,707
11/15/2021 21H,604
11/15/2021 20H,452
11/15/2021 19H,396
11/15/2021 18H,332
11/15/2021 17H,312
11/15/2021 16H,250
11/15/2021 15H,189
11/15/2021 14H,193
11/15/2021 13H,280
11/15/2021 12H,269
11/15/2021 11H,221
11/15/2021 10H,252
11/15/2021 09H,275
11/15/2021 08H,278
11/15/2021 07H,218
11/15/2021 06H,170
11/15/2021 05H,121
11/15/2021 04H,120
11/15/2021 03H,125
11/15/2021 02H,119
11/15/2021 01H,129
11/15/2021 00H,132
11/14/2021 23H,150
11/14/2021 22H,145
11/14/2021 21H,132
11/14/2021 20H,192
