Net generation from natural gas for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.NG.H
19:17:26 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.NG.H megawatthours
11/19/2021 05H,4544
11/19/2021 04H,5281
11/19/2021 03H,5731
11/19/2021 02H,6050
11/19/2021 01H,6163
11/19/2021 00H,6399
11/18/2021 23H,6639
11/18/2021 22H,6198
11/18/2021 21H,5997
11/18/2021 20H,6000
11/18/2021 19H,6117
11/18/2021 18H,6218
11/18/2021 17H,6227
11/18/2021 16H,6306
11/18/2021 15H,5757
11/18/2021 14H,6146
11/18/2021 13H,6106
11/18/2021 12H,5816
11/18/2021 11H,5406
11/18/2021 10H,4894
11/18/2021 09H,4708
11/18/2021 08H,4784
11/18/2021 07H,5002
11/18/2021 06H,5110
11/18/2021 05H,5539
11/18/2021 04H,5633
11/18/2021 03H,6081
11/18/2021 02H,6484
11/18/2021 01H,7135
11/18/2021 00H,7804
11/17/2021 23H,8093
11/17/2021 22H,7622
11/17/2021 21H,7038
11/17/2021 20H,6654
11/17/2021 19H,6444
11/17/2021 18H,6280
11/17/2021 17H,6273
11/17/2021 16H,6283
11/17/2021 15H,6431
11/17/2021 14H,6503
11/17/2021 13H,6697
11/17/2021 12H,6531
11/17/2021 11H,5571
11/17/2021 10H,4634
11/17/2021 09H,4541
11/17/2021 08H,4459
11/17/2021 07H,4663
11/17/2021 06H,4810
11/17/2021 05H,6053
11/17/2021 04H,6394
11/17/2021 03H,7563
11/17/2021 02H,7904
11/17/2021 01H,8307
11/17/2021 00H,8462
11/16/2021 23H,8384
11/16/2021 22H,7864
11/16/2021 21H,7091
11/16/2021 20H,6966
11/16/2021 19H,6748
11/16/2021 18H,6613
11/16/2021 17H,6483
11/16/2021 16H,6872
11/16/2021 15H,7156
11/16/2021 14H,7094
11/16/2021 13H,7095
11/16/2021 12H,6693
11/16/2021 11H,5866
11/16/2021 10H,5143
