Net generation from nuclear for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.NUC.H
19:17:32 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.NUC.H megawatthours
11/19/2021 05H,3273
11/19/2021 04H,3277
11/19/2021 03H,3268
11/19/2021 02H,3272
11/19/2021 01H,3273
11/19/2021 00H,3270
11/18/2021 23H,3271
11/18/2021 22H,3273
11/18/2021 21H,3252
11/18/2021 20H,3244
11/18/2021 19H,3245
11/18/2021 18H,3242
11/18/2021 17H,3249
11/18/2021 16H,3248
11/18/2021 15H,3263
11/18/2021 14H,3266
11/18/2021 13H,3269
11/18/2021 12H,3261
11/18/2021 11H,3268
11/18/2021 10H,3187
11/18/2021 09H,3181
11/18/2021 08H,3184
11/18/2021 07H,3196
11/18/2021 06H,3279
11/18/2021 05H,3273
11/18/2021 04H,3280
11/18/2021 03H,3276
11/18/2021 02H,3233
11/18/2021 01H,3284
11/18/2021 00H,3291
11/17/2021 23H,3295
11/17/2021 22H,3293
11/17/2021 21H,3264
11/17/2021 20H,3256
11/17/2021 19H,3243
11/17/2021 18H,3245
11/17/2021 17H,3273
11/17/2021 16H,3262
11/17/2021 15H,3275
11/17/2021 14H,3296
11/17/2021 13H,3286
11/17/2021 12H,3280
11/17/2021 11H,3289
11/17/2021 10H,3208
11/17/2021 09H,3214
11/17/2021 08H,3218
11/17/2021 07H,3315
11/17/2021 06H,3318
11/17/2021 05H,3315
11/17/2021 04H,3307
11/17/2021 03H,3281
11/17/2021 02H,3167
11/17/2021 01H,3094
11/17/2021 00H,3096
11/16/2021 23H,3094
11/16/2021 22H,3084
11/16/2021 21H,3064
11/16/2021 20H,3059
11/16/2021 19H,3055
11/16/2021 18H,3052
11/16/2021 17H,3056
11/16/2021 16H,3082
11/16/2021 15H,3080
11/16/2021 14H,3066
11/16/2021 13H,3060
11/16/2021 12H,3062
11/16/2021 11H,3065
11/16/2021 10H,3000
11/16/2021 09H,2918
11/16/2021 08H,2986
11/16/2021 07H,3067
11/16/2021 06H,3247
11/16/2021 05H,3302
11/16/2021 04H,3302
11/16/2021 03H,3305
11/16/2021 02H,3295
11/16/2021 01H,3298
11/16/2021 00H,3298
11/15/2021 23H,3305
11/15/2021 22H,3292
11/15/2021 21H,3286
11/15/2021 20H,3282
11/15/2021 19H,3284
11/15/2021 18H,3292
11/15/2021 17H,3293
11/15/2021 16H,3295
11/15/2021 15H,3288
11/15/2021 14H,3281
11/15/2021 13H,3266
11/15/2021 12H,3259
11/15/2021 11H,3286
11/15/2021 10H,3292
11/15/2021 09H,3199
11/15/2021 08H,3110
11/15/2021 07H,3190
11/15/2021 06H,3257
11/15/2021 05H,3248
11/15/2021 04H,3254
11/15/2021 03H,3267
11/15/2021 02H,3273
11/15/2021 01H,3277
11/15/2021 00H,3275
11/14/2021 23H,3273
11/14/2021 22H,3269
11/14/2021 21H,3266
11/14/2021 20H,3259
11/14/2021 19H,3261
11/14/2021 18H,3261
11/14/2021 17H,3250
11/14/2021 16H,3240
11/14/2021 15H,3214
11/14/2021 14H,3240
11/14/2021 13H,3242
11/14/2021 12H,3255
11/14/2021 11H,3258
11/14/2021 10H,3276
11/14/2021 09H,3270
11/14/2021 08H,3271
11/14/2021 07H,3258
11/14/2021 06H,3244
11/14/2021 05H,3225
11/14/2021 04H,3232
11/14/2021 03H,3231
11/14/2021 02H,3235
11/14/2021 01H,3237
11/14/2021 00H,3247
11/13/2021 23H,3255
11/13/2021 22H,3255
11/13/2021 21H,3230
11/13/2021 20H,3215
11/13/2021 19H,3193
11/13/2021 18H,3166
11/13/2021 17H,3092
11/13/2021 16H,2991
11/13/2021 15H,2923
11/13/2021 14H,2901
11/13/2021 13H,2894
11/13/2021 12H,2892
11/13/2021 11H,2897
11/13/2021 10H,2891
11/13/2021 09H,2899
11/13/2021 08H,2906
11/13/2021 07H,2910
11/13/2021 06H,2902
11/13/2021 05H,2973
11/13/2021 04H,3174
11/13/2021 03H,3253
11/13/2021 02H,3251
11/13/2021 01H,3260
11/13/2021 00H,3271
11/12/2021 23H,3280
11/12/2021 22H,3267
11/12/2021 21H,3246
11/12/2021 20H,3232
11/12/2021 19H,3230
11/12/2021 18H,3258
11/12/2021 17H,3264
11/12/2021 16H,3276
11/12/2021 15H,3281
11/12/2021 14H,3265
11/12/2021 13H,3255
11/12/2021 12H,3249
11/12/2021 11H,3280
11/12/2021 10H,3255
11/12/2021 09H,3183
11/12/2021 08H,3185
11/12/2021 07H,3275
11/12/2021 06H,3281
11/12/2021 05H,3271
11/12/2021 04H,3266
11/12/2021 03H,3273
11/12/2021 02H,3291
11/12/2021 01H,3281
11/12/2021 00H,3274
11/11/2021 23H,3283
11/11/2021 22H,3286
11/11/2021 21H,3270
11/11/2021 20H,3280
11/11/2021 19H,3283
11/11/2021 18H,3283
11/11/2021 17H,3268
11/11/2021 16H,3270
11/11/2021 15H,3292
11/11/2021 14H,3287
11/11/2021 13H,3279
11/11/2021 12H,3279
11/11/2021 11H,3290
11/11/2021 10H,3201
11/11/2021 09H,3208
11/11/2021 08H,3203
11/11/2021 07H,3309
11/11/2021 06H,3310
11/11/2021 05H,3289
11/11/2021 04H,3307
11/11/2021 03H,3307
11/11/2021 02H,3303
11/11/2021 01H,3304
11/11/2021 00H,3306
11/10/2021 23H,3306
11/10/2021 22H,3299
11/10/2021 21H,3282
11/10/2021 20H,3283
11/10/2021 19H,3282
11/10/2021 18H,3273
11/10/2021 17H,3275
11/10/2021 16H,3281
11/10/2021 15H,3286
11/10/2021 14H,3283
11/10/2021 13H,3281
11/10/2021 12H,3266
11/10/2021 11H,3274
11/10/2021 10H,3206
11/10/2021 09H,3208
11/10/2021 08H,3208
11/10/2021 07H,3286
11/10/2021 06H,3308
11/10/2021 05H,3295
11/10/2021 04H,3298
