Net generation from other for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.OTH.H
19:17:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.OTH.H megawatthours
11/19/2021 05H,144
11/19/2021 04H,147
11/19/2021 03H,143
11/19/2021 02H,148
11/19/2021 01H,161
11/19/2021 00H,146
11/18/2021 23H,146
11/18/2021 22H,144
11/18/2021 21H,143
11/18/2021 20H,149
11/18/2021 19H,286
11/18/2021 18H,161
11/18/2021 17H,163
11/18/2021 16H,162
11/18/2021 15H,157
11/18/2021 14H,154
11/18/2021 13H,142
11/18/2021 12H,143
11/18/2021 11H,143
11/18/2021 10H,140
11/18/2021 09H,138
11/18/2021 08H,131
11/18/2021 07H,131
11/18/2021 06H,137
11/18/2021 05H,133
11/18/2021 04H,138
11/18/2021 03H,140
11/18/2021 02H,142
11/18/2021 01H,140
11/18/2021 00H,149
11/17/2021 23H,151
11/17/2021 22H,153
11/17/2021 21H,150
11/17/2021 20H,156
11/17/2021 19H,161
11/17/2021 18H,169
11/17/2021 17H,165
11/17/2021 16H,167
11/17/2021 15H,170
11/17/2021 14H,163
11/17/2021 13H,152
11/17/2021 12H,149
11/17/2021 11H,152
11/17/2021 10H,147
11/17/2021 09H,144
11/17/2021 08H,146
11/17/2021 07H,150
11/17/2021 06H,144
11/17/2021 05H,147
11/17/2021 04H,145
11/17/2021 03H,147
11/17/2021 02H,146
11/17/2021 01H,146
11/17/2021 00H,150
11/16/2021 23H,149
11/16/2021 22H,150
11/16/2021 21H,148
11/16/2021 20H,158
11/16/2021 19H,153
11/16/2021 18H,161
11/16/2021 17H,170
11/16/2021 16H,171
11/16/2021 15H,169
11/16/2021 14H,163
11/16/2021 13H,154
11/16/2021 12H,151
11/16/2021 11H,146
11/16/2021 10H,146
11/16/2021 09H,142
11/16/2021 08H,142
11/16/2021 07H,147
11/16/2021 06H,147
11/16/2021 05H,143
11/16/2021 04H,146
11/16/2021 03H,146
11/16/2021 02H,147
11/16/2021 01H,147
11/16/2021 00H,146
11/15/2021 23H,147
11/15/2021 22H,144
11/15/2021 21H,147
11/15/2021 20H,155
11/15/2021 19H,145
11/15/2021 18H,153
11/15/2021 17H,148
11/15/2021 16H,150
11/15/2021 15H,147
11/15/2021 14H,147
11/15/2021 13H,151
11/15/2021 12H,146
11/15/2021 11H,149
11/15/2021 10H,144
11/15/2021 09H,133
11/15/2021 08H,134
11/15/2021 07H,142
11/15/2021 06H,143
11/15/2021 05H,143
11/15/2021 04H,144
11/15/2021 03H,141
11/15/2021 02H,143
11/15/2021 01H,143
11/15/2021 00H,142
11/14/2021 23H,147
11/14/2021 22H,143
11/14/2021 21H,145
11/14/2021 20H,147
11/14/2021 19H,151
11/14/2021 18H,159
11/14/2021 17H,165
11/14/2021 16H,163
11/14/2021 15H,161
11/14/2021 14H,161
11/14/2021 13H,151
11/14/2021 12H,141
11/14/2021 11H,136
11/14/2021 10H,139
11/14/2021 09H,146
11/14/2021 08H,141
11/14/2021 07H,138
11/14/2021 06H,139
11/14/2021 05H,140
11/14/2021 04H,141
11/14/2021 03H,139
11/14/2021 02H,142
11/14/2021 01H,140
11/14/2021 00H,140
11/13/2021 23H,138
11/13/2021 22H,149
11/13/2021 21H,148
11/13/2021 20H,152
11/13/2021 19H,152
11/13/2021 18H,157
11/13/2021 17H,750
11/13/2021 16H,760
11/13/2021 15H,164
11/13/2021 14H,158
11/13/2021 13H,153
11/13/2021 12H,148
11/13/2021 11H,143
11/13/2021 10H,149
11/13/2021 09H,148
11/13/2021 08H,146
11/13/2021 07H,145
11/13/2021 06H,144
11/13/2021 05H,142
11/13/2021 04H,143
11/13/2021 03H,146
11/13/2021 02H,146
11/13/2021 01H,146
11/13/2021 00H,147
11/12/2021 23H,148
11/12/2021 22H,146
11/12/2021 21H,147
11/12/2021 20H,149
11/12/2021 19H,150
11/12/2021 18H,152
11/12/2021 17H,149
11/12/2021 16H,151
11/12/2021 15H,152
11/12/2021 14H,153
11/12/2021 13H,152
11/12/2021 12H,151
11/12/2021 11H,151
11/12/2021 10H,151
11/12/2021 09H,148
11/12/2021 08H,150
11/12/2021 07H,154
11/12/2021 06H,153
11/12/2021 05H,147
11/12/2021 04H,149
11/12/2021 03H,151
11/12/2021 02H,154
11/12/2021 01H,154
11/12/2021 00H,153
11/11/2021 23H,155
11/11/2021 22H,155
11/11/2021 21H,155
11/11/2021 20H,156
11/11/2021 19H,166
11/11/2021 18H,178
11/11/2021 17H,173
11/11/2021 16H,174
11/11/2021 15H,171
11/11/2021 14H,167
11/11/2021 13H,157
11/11/2021 12H,150
11/11/2021 11H,151
11/11/2021 10H,148
11/11/2021 09H,147
11/11/2021 08H,148
11/11/2021 07H,151
11/11/2021 06H,149
11/11/2021 05H,149
11/11/2021 04H,152
11/11/2021 03H,152
11/11/2021 02H,152
11/11/2021 01H,155
11/11/2021 00H,149
11/10/2021 23H,145
11/10/2021 22H,152
11/10/2021 21H,158
11/10/2021 20H,165
11/10/2021 19H,171
11/10/2021 18H,179
11/10/2021 17H,173
11/10/2021 16H,170
11/10/2021 15H,160
11/10/2021 14H,155
11/10/2021 13H,141
11/10/2021 12H,139
11/10/2021 11H,138
11/10/2021 10H,141
11/10/2021 09H,141
11/10/2021 08H,135
11/10/2021 07H,140
11/10/2021 06H,139
11/10/2021 05H,138
11/10/2021 04H,138
11/10/2021 03H,142
11/10/2021 02H,135
11/10/2021 01H,141
11/10/2021 00H,146
11/9/2021 23H,148
11/9/2021 22H,145
11/9/2021 21H,152
11/9/2021 20H,158
11/9/2021 19H,163
11/9/2021 18H,164
11/9/2021 17H,164
11/9/2021 16H,163
11/9/2021 15H,158
11/9/2021 14H,152
11/9/2021 13H,145
11/9/2021 12H,142
11/9/2021 11H,140
11/9/2021 10H,134
11/9/2021 09H,132
11/9/2021 08H,131
11/9/2021 07H,130
11/9/2021 06H,136
11/9/2021 05H,143
11/9/2021 04H,143
11/9/2021 03H,140
11/9/2021 02H,147
11/9/2021 01H,146
11/9/2021 00H,146
11/8/2021 23H,147
11/8/2021 22H,148
11/8/2021 21H,152
11/8/2021 20H,160
11/8/2021 19H,166
11/8/2021 18H,166
11/8/2021 17H,168
11/8/2021 16H,164
11/8/2021 15H,163
11/8/2021 14H,157
11/8/2021 13H,151
11/8/2021 12H,142
11/8/2021 11H,146
11/8/2021 10H,140
11/8/2021 09H,142
11/8/2021 08H,137
11/8/2021 07H,139
11/8/2021 06H,138
11/8/2021 05H,143
11/8/2021 04H,140
11/8/2021 03H,140
11/8/2021 02H,142
11/8/2021 01H,140
11/8/2021 00H,139
11/7/2021 23H,139
11/7/2021 22H,136
11/7/2021 21H,136
11/7/2021 20H,142
11/7/2021 19H,148
11/7/2021 18H,147
11/7/2021 17H,154
11/7/2021 16H,161
11/7/2021 15H,157
11/7/2021 14H,150
11/7/2021 13H,142
11/7/2021 12H,138
11/7/2021 11H,129
