Net generation from petroleum for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.OIL.H
19:17:46 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.OIL.H megawatthours
11/19/2021 05H,611
11/19/2021 04H,613
11/19/2021 03H,648
11/19/2021 02H,686
11/19/2021 01H,750
11/19/2021 00H,731
11/18/2021 23H,685
11/18/2021 22H,514
11/18/2021 21H,375
11/18/2021 20H,160
11/18/2021 19H,0
11/18/2021 18H,203
11/18/2021 17H,306
11/18/2021 16H,321
11/18/2021 15H,317
11/18/2021 14H,312
11/18/2021 13H,323
11/18/2021 12H,310
11/18/2021 11H,299
11/18/2021 10H,318
11/18/2021 09H,278
11/18/2021 08H,270
11/18/2021 07H,215
11/18/2021 06H,217
11/18/2021 05H,216
11/18/2021 04H,217
11/18/2021 03H,217
11/18/2021 02H,234
11/18/2021 01H,304
11/18/2021 00H,445
11/17/2021 23H,445
11/17/2021 22H,265
11/17/2021 21H,137
11/17/2021 20H,134
11/17/2021 19H,146
11/17/2021 18H,34
11/17/2021 17H,2
11/17/2021 16H,18
11/17/2021 15H,0
11/17/2021 14H,0
11/17/2021 13H,2
11/17/2021 12H,2
11/17/2021 11H,2
11/17/2021 10H,0
11/17/2021 09H,2
11/17/2021 08H,2
11/17/2021 07H,2
11/17/2021 06H,2
11/17/2021 05H,2
11/17/2021 04H,2
11/17/2021 03H,2
11/17/2021 02H,2
11/17/2021 01H,2
11/17/2021 00H,2
11/16/2021 23H,2
11/16/2021 22H,0
11/16/2021 21H,2
11/16/2021 20H,2
11/16/2021 19H,0
11/16/2021 18H,0
11/16/2021 17H,2
11/16/2021 16H,2
11/16/2021 15H,2
11/16/2021 14H,0
11/16/2021 13H,0
11/16/2021 12H,0
11/16/2021 11H,2
11/16/2021 10H,0
11/16/2021 09H,2
11/16/2021 08H,2
11/16/2021 07H,0
11/16/2021 06H,0
11/16/2021 05H,129
11/16/2021 04H,439
11/16/2021 03H,445
11/16/2021 02H,445
11/16/2021 01H,446
11/16/2021 00H,688
11/15/2021 23H,711
11/15/2021 22H,671
11/15/2021 21H,678
11/15/2021 20H,683
11/15/2021 19H,682
11/15/2021 18H,643
11/15/2021 17H,684
11/15/2021 16H,678
11/15/2021 15H,666
11/15/2021 14H,639
11/15/2021 13H,652
11/15/2021 12H,638
11/15/2021 11H,609
11/15/2021 10H,608
11/15/2021 09H,593
11/15/2021 08H,575
11/15/2021 07H,589
11/15/2021 06H,601
11/15/2021 05H,597
11/15/2021 04H,599
11/15/2021 03H,614
11/15/2021 02H,670
11/15/2021 01H,747
11/15/2021 00H,746
11/14/2021 23H,738
11/14/2021 22H,668
11/14/2021 21H,647
11/14/2021 20H,608
11/14/2021 19H,608
11/14/2021 18H,610
11/14/2021 17H,609
11/14/2021 16H,610
11/14/2021 15H,608
11/14/2021 14H,556
11/14/2021 13H,600
11/14/2021 12H,596
11/14/2021 11H,589
11/14/2021 10H,603
11/14/2021 09H,608
11/14/2021 08H,609
11/14/2021 07H,612
11/14/2021 06H,610
11/14/2021 05H,600
11/14/2021 04H,602
11/14/2021 03H,615
11/14/2021 02H,679
11/14/2021 01H,706
11/14/2021 00H,712
11/13/2021 23H,667
11/13/2021 22H,636
11/13/2021 21H,455
11/13/2021 20H,423
11/13/2021 19H,422
11/13/2021 18H,551
11/13/2021 17H,0
11/13/2021 16H,0
11/13/2021 15H,600
11/13/2021 14H,601
11/13/2021 13H,596
11/13/2021 12H,622
11/13/2021 11H,646
11/13/2021 10H,597
11/13/2021 09H,599
11/13/2021 08H,599
11/13/2021 07H,615
11/13/2021 06H,617
11/13/2021 05H,601
11/13/2021 04H,605
11/13/2021 03H,606
11/13/2021 02H,604
11/13/2021 01H,646
11/13/2021 00H,656
11/12/2021 23H,652
11/12/2021 22H,592
11/12/2021 21H,599
11/12/2021 20H,625
11/12/2021 19H,623
11/12/2021 18H,640
11/12/2021 17H,717
11/12/2021 16H,676
11/12/2021 15H,620
11/12/2021 14H,654
11/12/2021 13H,586
11/12/2021 12H,588
11/12/2021 11H,597
11/12/2021 10H,546
11/12/2021 09H,585
11/12/2021 08H,585
11/12/2021 07H,601
11/12/2021 06H,604
11/12/2021 05H,603
11/12/2021 04H,607
11/12/2021 03H,637
11/12/2021 02H,697
11/12/2021 01H,716
11/12/2021 00H,758
11/11/2021 23H,692
11/11/2021 22H,634
11/11/2021 21H,608
11/11/2021 20H,608
11/11/2021 19H,610
11/11/2021 18H,614
11/11/2021 17H,616
11/11/2021 16H,619
11/11/2021 15H,627
11/11/2021 14H,621
11/11/2021 13H,622
11/11/2021 12H,621
11/11/2021 11H,623
11/11/2021 10H,606
11/11/2021 09H,607
11/11/2021 08H,586
11/11/2021 07H,626
11/11/2021 06H,627
11/11/2021 05H,614
11/11/2021 04H,615
11/11/2021 03H,627
11/11/2021 02H,648
11/11/2021 01H,687
11/11/2021 00H,755
11/10/2021 23H,731
11/10/2021 22H,666
11/10/2021 21H,672
11/10/2021 20H,605
11/10/2021 19H,604
11/10/2021 18H,602
11/10/2021 17H,635
11/10/2021 16H,685
11/10/2021 15H,657
11/10/2021 14H,679
11/10/2021 13H,681
11/10/2021 12H,628
11/10/2021 11H,614
11/10/2021 10H,601
11/10/2021 09H,599
11/10/2021 08H,599
11/10/2021 07H,613
11/10/2021 06H,610
11/10/2021 05H,612
11/10/2021 04H,612
11/10/2021 03H,620
11/10/2021 02H,680
11/10/2021 01H,728
11/10/2021 00H,734
11/9/2021 23H,726
11/9/2021 22H,668
11/9/2021 21H,603
11/9/2021 20H,620
11/9/2021 19H,593
11/9/2021 18H,599
11/9/2021 17H,600
11/9/2021 16H,611
11/9/2021 15H,671
11/9/2021 14H,684
11/9/2021 13H,691
11/9/2021 12H,676
11/9/2021 11H,611
11/9/2021 10H,590
11/9/2021 09H,588
11/9/2021 08H,587
11/9/2021 07H,587
11/9/2021 06H,596
11/9/2021 05H,617
11/9/2021 04H,698
11/9/2021 03H,683
11/9/2021 02H,690
11/9/2021 01H,742
11/9/2021 00H,738
11/8/2021 23H,773
11/8/2021 22H,702
11/8/2021 21H,668
11/8/2021 20H,668
11/8/2021 19H,648
11/8/2021 18H,634
11/8/2021 17H,662
11/8/2021 16H,650
11/8/2021 15H,615
11/8/2021 14H,714
11/8/2021 13H,723
11/8/2021 12H,690
11/8/2021 11H,652
11/8/2021 10H,603
11/8/2021 09H,603
11/8/2021 08H,602
11/8/2021 07H,627
11/8/2021 06H,608
11/8/2021 05H,613
11/8/2021 04H,616
11/8/2021 03H,643
11/8/2021 02H,806
11/8/2021 01H,843
11/8/2021 00H,844
11/7/2021 23H,820
11/7/2021 22H,776
11/7/2021 21H,679
11/7/2021 20H,603
11/7/2021 19H,604
11/7/2021 18H,607
11/7/2021 17H,609
11/7/2021 16H,616
11/7/2021 15H,625
11/7/2021 14H,635
11/7/2021 13H,701
11/7/2021 12H,693
11/7/2021 11H,642
11/7/2021 10H,593
11/7/2021 09H,569
11/7/2021 08H,578
11/7/2021 07H,632
11/7/2021 06H,638
11/7/2021 05H,626
11/7/2021 04H,620
11/7/2021 03H,620
11/7/2021 02H,652
11/7/2021 01H,712
11/7/2021 00H,709
11/6/2021 23H,707
11/6/2021 22H,633
11/6/2021 21H,605
11/6/2021 20H,627
11/6/2021 19H,614
11/6/2021 18H,511
11/6/2021 17H,559
11/6/2021 16H,619
11/6/2021 15H,629
11/6/2021 14H,694
11/6/2021 13H,708
11/6/2021 12H,685
11/6/2021 11H,668
11/6/2021 10H,641
11/6/2021 09H,649
11/6/2021 08H,628
11/6/2021 07H,622
11/6/2021 06H,676
11/6/2021 05H,664
11/6/2021 04H,667
11/6/2021 03H,655
11/6/2021 02H,675
11/6/2021 01H,679
11/6/2021 00H,688
11/5/2021 23H,659
11/5/2021 22H,628
11/5/2021 21H,707
11/5/2021 20H,618
11/5/2021 19H,612
11/5/2021 18H,622
11/5/2021 17H,632
11/5/2021 16H,626
11/5/2021 15H,666
11/5/2021 14H,744
11/5/2021 13H,764
11/5/2021 12H,746
11/5/2021 11H,692
11/5/2021 10H,617
11/5/2021 09H,602
11/5/2021 08H,586
11/5/2021 07H,599
11/5/2021 06H,607
11/5/2021 05H,616
11/5/2021 04H,611
11/5/2021 03H,657
11/5/2021 02H,766
11/5/2021 01H,777
11/5/2021 00H,769
11/4/2021 23H,793
11/4/2021 22H,705
11/4/2021 21H,699
11/4/2021 20H,643
11/4/2021 19H,629
11/4/2021 18H,632
11/4/2021 17H,643
11/4/2021 16H,677
11/4/2021 15H,692
11/4/2021 14H,762
11/4/2021 13H,760
11/4/2021 12H,717
11/4/2021 11H,679
11/4/2021 10H,627
11/4/2021 09H,595
11/4/2021 08H,612
11/4/2021 07H,605
11/4/2021 06H,608
11/4/2021 05H,624
11/4/2021 04H,618
11/4/2021 03H,705
11/4/2021 02H,792
11/4/2021 01H,778
11/4/2021 00H,799
11/3/2021 23H,780
11/3/2021 22H,732
11/3/2021 21H,683
11/3/2021 20H,619
11/3/2021 19H,616
11/3/2021 18H,617
