Net generation from wind for New York (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390113&sdid=EBA.NY-ALL.NG.WND.H
19:17:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NY-ALL.NG.WND.H megawatthours
11/19/2021 05H,955
11/19/2021 04H,1030
11/19/2021 03H,930
11/19/2021 02H,1165
11/19/2021 01H,1281
11/19/2021 00H,1367
11/18/2021 23H,1250
11/18/2021 22H,1177
11/18/2021 21H,1094
11/18/2021 20H,937
11/18/2021 19H,967
11/18/2021 18H,899
11/18/2021 17H,843
11/18/2021 16H,897
11/18/2021 15H,1063
11/18/2021 14H,989
11/18/2021 13H,1175
11/18/2021 12H,1277
11/18/2021 11H,1238
11/18/2021 10H,1197
11/18/2021 09H,1090
11/18/2021 08H,1225
11/18/2021 07H,1369
11/18/2021 06H,1511
11/18/2021 05H,1521
11/18/2021 04H,1437
11/18/2021 03H,1358
11/18/2021 02H,1290
11/18/2021 01H,1212
11/18/2021 00H,1098
11/17/2021 23H,1075
11/17/2021 22H,1093
11/17/2021 21H,1161
11/17/2021 20H,1149
11/17/2021 19H,1183
11/17/2021 18H,1131
11/17/2021 17H,1132
11/17/2021 16H,1067
11/17/2021 15H,1016
11/17/2021 14H,900
11/17/2021 13H,760
11/17/2021 12H,608
11/17/2021 11H,568
11/17/2021 10H,493
11/17/2021 09H,383
11/17/2021 08H,339
11/17/2021 07H,325
11/17/2021 06H,276
11/17/2021 05H,209
11/17/2021 04H,182
11/17/2021 03H,113
11/17/2021 02H,107
11/17/2021 01H,131
11/17/2021 00H,173
11/16/2021 23H,177
11/16/2021 22H,253
11/16/2021 21H,375
11/16/2021 20H,525
11/16/2021 19H,548
11/16/2021 18H,521
11/16/2021 17H,536
11/16/2021 16H,456
11/16/2021 15H,453
11/16/2021 14H,478
11/16/2021 13H,458
11/16/2021 12H,462
11/16/2021 11H,534
11/16/2021 10H,467
11/16/2021 09H,452
11/16/2021 08H,662
11/16/2021 07H,692
11/16/2021 06H,670
11/16/2021 05H,746
11/16/2021 04H,756
11/16/2021 03H,832
11/16/2021 02H,837
11/16/2021 01H,891
11/16/2021 00H,961
11/15/2021 23H,895
11/15/2021 22H,1011
11/15/2021 21H,1036
11/15/2021 20H,1009
11/15/2021 19H,869
11/15/2021 18H,833
11/15/2021 17H,792
11/15/2021 16H,643
11/15/2021 15H,511
11/15/2021 14H,465
11/15/2021 13H,415
11/15/2021 12H,374
11/15/2021 11H,386
11/15/2021 10H,377
11/15/2021 09H,399
11/15/2021 08H,443
11/15/2021 07H,432
11/15/2021 06H,413
11/15/2021 05H,386
11/15/2021 04H,381
11/15/2021 03H,318
11/15/2021 02H,232
11/15/2021 01H,195
11/15/2021 00H,217
11/14/2021 23H,227
11/14/2021 22H,226
11/14/2021 21H,245
11/14/2021 20H,235
11/14/2021 19H,290
11/14/2021 18H,341
11/14/2021 17H,372
11/14/2021 16H,434
11/14/2021 15H,508
11/14/2021 14H,554
11/14/2021 13H,675
11/14/2021 12H,715
11/14/2021 11H,731
11/14/2021 10H,809
11/14/2021 09H,872
11/14/2021 08H,944
11/14/2021 07H,944
11/14/2021 06H,910
11/14/2021 05H,963
11/14/2021 04H,984
11/14/2021 03H,992
11/14/2021 02H,1043
11/14/2021 01H,1101
11/14/2021 00H,1023
11/13/2021 23H,927
11/13/2021 22H,935
11/13/2021 21H,882
11/13/2021 20H,938
11/13/2021 19H,793
11/13/2021 18H,832
11/13/2021 17H,855
11/13/2021 16H,866
