Net generation from coal for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.COL.H
19:18:39 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.COL.H megawatthours
11/19/2021 07H,9323
11/19/2021 06H,9440
11/19/2021 05H,9640
11/19/2021 04H,9612
11/19/2021 03H,9728
11/19/2021 02H,9810
11/19/2021 01H,9782
11/19/2021 00H,9677
11/18/2021 23H,9344
11/18/2021 22H,9306
11/18/2021 21H,9451
11/18/2021 20H,9406
11/18/2021 19H,9614
11/18/2021 18H,9910
11/18/2021 17H,10207
11/18/2021 16H,10312
11/18/2021 15H,10632
11/18/2021 14H,10813
11/18/2021 13H,10359
11/18/2021 12H,10067
11/18/2021 11H,9782
11/18/2021 10H,9918
11/18/2021 09H,10204
11/18/2021 08H,10313
11/18/2021 07H,10396
11/18/2021 06H,10685
11/18/2021 05H,11011
11/18/2021 04H,11189
11/18/2021 03H,11203
11/18/2021 02H,11282
11/18/2021 01H,11208
11/18/2021 00H,10537
11/17/2021 23H,9177
11/17/2021 22H,8668
11/17/2021 21H,9504
11/17/2021 20H,10012
11/17/2021 19H,10038
11/17/2021 18H,10112
11/17/2021 17H,10218
11/17/2021 16H,10800
11/17/2021 15H,11178
11/17/2021 14H,10932
11/17/2021 13H,10787
11/17/2021 12H,10736
11/17/2021 11H,9739
11/17/2021 10H,9833
11/17/2021 09H,9714
11/17/2021 08H,10107
11/17/2021 07H,9849
11/17/2021 06H,9936
11/17/2021 05H,10111
11/17/2021 04H,9867
11/17/2021 03H,9978
11/17/2021 02H,10468
11/17/2021 01H,10132
11/17/2021 00H,10362
11/16/2021 23H,8938
11/16/2021 22H,9198
11/16/2021 21H,9325
11/16/2021 20H,9145
11/16/2021 19H,9385
11/16/2021 18H,9451
11/16/2021 17H,9392
11/16/2021 16H,9675
11/16/2021 15H,9675
11/16/2021 14H,9534
11/16/2021 13H,8848
11/16/2021 12H,8497
11/16/2021 11H,8332
11/16/2021 10H,8302
11/16/2021 09H,8151
11/16/2021 08H,8492
11/16/2021 07H,8763
11/16/2021 06H,8925
11/16/2021 05H,9400
11/16/2021 04H,9787
11/16/2021 03H,10477
11/16/2021 02H,10694
11/16/2021 01H,10980
11/16/2021 00H,10517
11/15/2021 23H,9959
11/15/2021 22H,9508
11/15/2021 21H,9251
11/15/2021 20H,9172
11/15/2021 19H,9263
11/15/2021 18H,9397
11/15/2021 17H,9593
11/15/2021 16H,9785
11/15/2021 15H,10078
11/15/2021 14H,10055
11/15/2021 13H,9554
11/15/2021 12H,9011
11/15/2021 11H,8779
11/15/2021 10H,8742
