Net generation from natural gas for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NG.H
19:18:52 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NG.H megawatthours
11/19/2021 07H,8652
11/19/2021 06H,9109
11/19/2021 05H,9337
11/19/2021 04H,9697
11/19/2021 03H,9789
11/19/2021 02H,9884
11/19/2021 01H,9558
11/19/2021 00H,8555
11/18/2021 23H,7668
11/18/2021 22H,7436
11/18/2021 21H,7271
11/18/2021 20H,7397
11/18/2021 19H,7465
11/18/2021 18H,7678
11/18/2021 17H,8219
11/18/2021 16H,9019
11/18/2021 15H,9799
11/18/2021 14H,9132
11/18/2021 13H,8043
11/18/2021 12H,7754
11/18/2021 11H,7489
11/18/2021 10H,7412
11/18/2021 09H,7915
11/18/2021 08H,8704
11/18/2021 07H,9094
11/18/2021 06H,10405
11/18/2021 05H,11144
11/18/2021 04H,11707
11/18/2021 03H,11922
11/18/2021 02H,12021
11/18/2021 01H,11583
11/18/2021 00H,9433
11/17/2021 23H,7551
11/17/2021 22H,7006
11/17/2021 21H,6783
11/17/2021 20H,6949
11/17/2021 19H,7247
11/17/2021 18H,7308
11/17/2021 17H,7758
11/17/2021 16H,8862
11/17/2021 15H,9389
11/17/2021 14H,8633
11/17/2021 13H,7915
11/17/2021 12H,7267
11/17/2021 11H,7137
11/17/2021 10H,7235
11/17/2021 09H,7503
11/17/2021 08H,7636
11/17/2021 07H,8029
11/17/2021 06H,8786
11/17/2021 05H,9063
11/17/2021 04H,9346
11/17/2021 03H,9289
11/17/2021 02H,9402
11/17/2021 01H,9370
11/17/2021 00H,8265
11/16/2021 23H,7043
11/16/2021 22H,6992
11/16/2021 21H,6822
11/16/2021 20H,6611
11/16/2021 19H,6505
11/16/2021 18H,7198
11/16/2021 17H,7701
11/16/2021 16H,8421
11/16/2021 15H,8412
11/16/2021 14H,7892
11/16/2021 13H,6717
11/16/2021 12H,6059
11/16/2021 11H,5946
11/16/2021 10H,6243
11/16/2021 09H,6151
11/16/2021 08H,5976
11/16/2021 07H,6256
11/16/2021 06H,7101
11/16/2021 05H,8091
11/16/2021 04H,8849
11/16/2021 03H,9445
11/16/2021 02H,9929
11/16/2021 01H,9838
11/16/2021 00H,8895
11/15/2021 23H,7828
11/15/2021 22H,7171
11/15/2021 21H,6975
11/15/2021 20H,6826
11/15/2021 19H,6613
11/15/2021 18H,6284
11/15/2021 17H,6209
11/15/2021 16H,6995
11/15/2021 15H,7441
11/15/2021 14H,6973
11/15/2021 13H,6326
11/15/2021 12H,6045
11/15/2021 11H,5830
11/15/2021 10H,5823
11/15/2021 09H,5780
11/15/2021 08H,5994
11/15/2021 07H,5720
11/15/2021 06H,6410
11/15/2021 05H,6913
11/15/2021 04H,7316
11/15/2021 03H,7698
11/15/2021 02H,8017
11/15/2021 01H,8052
11/15/2021 00H,6608
11/14/2021 23H,5683
11/14/2021 22H,5289
11/14/2021 21H,4970
11/14/2021 20H,5010
11/14/2021 19H,5017
11/14/2021 18H,4914
11/14/2021 17H,4924
11/14/2021 16H,5181
11/14/2021 15H,5997
11/14/2021 14H,6233
11/14/2021 13H,6331
11/14/2021 12H,6275
11/14/2021 11H,6023
11/14/2021 10H,5601
11/14/2021 09H,5804
11/14/2021 08H,6312
11/14/2021 07H,6428
11/14/2021 06H,7414
