Net generation from nuclear for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.NUC.H
19:18:59 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.NUC.H megawatthours
11/19/2021 07H,1164
11/19/2021 06H,1165
11/19/2021 05H,1165
11/19/2021 04H,1165
11/19/2021 03H,1165
11/19/2021 02H,1165
11/19/2021 01H,1165
11/19/2021 00H,1164
11/18/2021 23H,1175
11/18/2021 22H,1177
11/18/2021 21H,1176
11/18/2021 20H,1177
11/18/2021 19H,1177
11/18/2021 18H,1177
11/18/2021 17H,1178
11/18/2021 16H,1178
11/18/2021 15H,1178
11/18/2021 14H,1180
11/18/2021 13H,1178
11/18/2021 12H,1179
11/18/2021 11H,1179
11/18/2021 10H,1179
11/18/2021 09H,1178
11/18/2021 08H,1177
11/18/2021 07H,1177
11/18/2021 06H,1177
11/18/2021 05H,1177
11/18/2021 04H,1175
11/18/2021 03H,1176
11/18/2021 02H,1175
11/18/2021 01H,1175
11/18/2021 00H,1174
11/17/2021 23H,1175
11/17/2021 22H,1175
11/17/2021 21H,1177
11/17/2021 20H,1178
11/17/2021 19H,1178
11/17/2021 18H,1180
11/17/2021 17H,1171
11/17/2021 16H,1171
11/17/2021 15H,1172
11/17/2021 14H,1171
11/17/2021 13H,1170
11/17/2021 12H,1170
11/17/2021 11H,1171
11/17/2021 10H,1169
11/17/2021 09H,1167
11/17/2021 08H,1169
11/17/2021 07H,1167
11/17/2021 06H,1165
11/17/2021 05H,1166
11/17/2021 04H,1164
11/17/2021 03H,1162
11/17/2021 02H,1162
11/17/2021 01H,1163
11/17/2021 00H,1162
11/16/2021 23H,1161
11/16/2021 22H,1160
11/16/2021 21H,1161
11/16/2021 20H,1162
11/16/2021 19H,1165
11/16/2021 18H,1166
11/16/2021 17H,1169
11/16/2021 16H,1168
11/16/2021 15H,1169
11/16/2021 14H,1168
