Net generation from other for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.OTH.H
19:19:06 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.OTH.H megawatthours
11/19/2021 07H,945
11/19/2021 06H,956
11/19/2021 05H,957
11/19/2021 04H,948
11/19/2021 03H,946
11/19/2021 02H,931
11/19/2021 01H,921
11/19/2021 00H,910
11/18/2021 23H,921
11/18/2021 22H,924
11/18/2021 21H,903
11/18/2021 20H,910
11/18/2021 19H,917
11/18/2021 18H,932
11/18/2021 17H,933
11/18/2021 16H,931
11/18/2021 15H,931
11/18/2021 14H,924
11/18/2021 13H,924
11/18/2021 12H,917
11/18/2021 11H,917
11/18/2021 10H,916
11/18/2021 09H,919
11/18/2021 08H,919
11/18/2021 07H,922
11/18/2021 06H,925
11/18/2021 05H,924
11/18/2021 04H,937
11/18/2021 03H,923
11/18/2021 02H,919
11/18/2021 01H,917
11/18/2021 00H,1015
11/17/2021 23H,1093
11/17/2021 22H,1100
11/17/2021 21H,1142
11/17/2021 20H,987
11/17/2021 19H,986
11/17/2021 18H,1035
11/17/2021 17H,1005
11/17/2021 16H,986
11/17/2021 15H,976
11/17/2021 14H,954
11/17/2021 13H,959
11/17/2021 12H,964
11/17/2021 11H,960
11/17/2021 10H,967
11/17/2021 09H,954
11/17/2021 08H,953
11/17/2021 07H,950
11/17/2021 06H,959
11/17/2021 05H,961
11/17/2021 04H,954
11/17/2021 03H,933
11/17/2021 02H,949
11/17/2021 01H,919
11/17/2021 00H,909
11/16/2021 23H,926
11/16/2021 22H,929
11/16/2021 21H,916
11/16/2021 20H,920
11/16/2021 19H,933
11/16/2021 18H,949
11/16/2021 17H,971
11/16/2021 16H,950
11/16/2021 15H,925
11/16/2021 14H,921
11/16/2021 13H,916
11/16/2021 12H,902
11/16/2021 11H,893
11/16/2021 10H,877
11/16/2021 09H,862
11/16/2021 08H,876
11/16/2021 07H,895
11/16/2021 06H,898
11/16/2021 05H,882
11/16/2021 04H,855
11/16/2021 03H,851
11/16/2021 02H,849
11/16/2021 01H,848
11/16/2021 00H,866
11/15/2021 23H,849
11/15/2021 22H,841
11/15/2021 21H,871
11/15/2021 20H,877
11/15/2021 19H,870
11/15/2021 18H,885
11/15/2021 17H,893
11/15/2021 16H,902
11/15/2021 15H,910
11/15/2021 14H,905
11/15/2021 13H,891
11/15/2021 12H,898
11/15/2021 11H,852
11/15/2021 10H,861
11/15/2021 09H,885
11/15/2021 08H,883
11/15/2021 07H,912
11/15/2021 06H,910
11/15/2021 05H,906
11/15/2021 04H,893
11/15/2021 03H,885
11/15/2021 02H,882
11/15/2021 01H,866
11/15/2021 00H,867
11/14/2021 23H,892
11/14/2021 22H,889
11/14/2021 21H,879
11/14/2021 20H,892
11/14/2021 19H,898
11/14/2021 18H,916
11/14/2021 17H,939
11/14/2021 16H,940
11/14/2021 15H,934
11/14/2021 14H,939
11/14/2021 13H,934
11/14/2021 12H,930
11/14/2021 11H,930
11/14/2021 10H,935
11/14/2021 09H,920
11/14/2021 08H,924
11/14/2021 07H,925
11/14/2021 06H,923
11/14/2021 05H,921
11/14/2021 04H,916
11/14/2021 03H,918
11/14/2021 02H,918
11/14/2021 01H,899
11/14/2021 00H,914
11/13/2021 23H,925
11/13/2021 22H,935
11/13/2021 21H,950
11/13/2021 20H,960
11/13/2021 19H,964
11/13/2021 18H,980
11/13/2021 17H,964
11/13/2021 16H,932
11/13/2021 15H,929
11/13/2021 14H,927
11/13/2021 13H,923
11/13/2021 12H,936
11/13/2021 11H,927
11/13/2021 10H,925
11/13/2021 09H,928
11/13/2021 08H,918
11/13/2021 07H,917
11/13/2021 06H,912
11/13/2021 05H,910
11/13/2021 04H,909
11/13/2021 03H,900
11/13/2021 02H,883
11/13/2021 01H,890
11/13/2021 00H,899
11/12/2021 23H,897
11/12/2021 22H,910
11/12/2021 21H,925
11/12/2021 20H,930
11/12/2021 19H,943
11/12/2021 18H,941
11/12/2021 17H,959
11/12/2021 16H,942
11/12/2021 15H,940
11/12/2021 14H,943
11/12/2021 13H,934
11/12/2021 12H,927
11/12/2021 11H,933
11/12/2021 10H,926
11/12/2021 09H,928
11/12/2021 08H,914
11/12/2021 07H,920
11/12/2021 06H,921
11/12/2021 05H,923
11/12/2021 04H,932
11/12/2021 03H,919
11/12/2021 02H,906
11/12/2021 01H,893
11/12/2021 00H,897
11/11/2021 23H,938
11/11/2021 22H,948
11/11/2021 21H,966
11/11/2021 20H,969
11/11/2021 19H,979
11/11/2021 18H,983
11/11/2021 17H,977
11/11/2021 16H,949
11/11/2021 15H,945
11/11/2021 14H,929
11/11/2021 13H,914
11/11/2021 12H,898
11/11/2021 11H,890
11/11/2021 10H,885
11/11/2021 09H,915
11/11/2021 08H,781
11/11/2021 07H,999
11/11/2021 06H,950
11/11/2021 05H,865
11/11/2021 04H,927
11/11/2021 03H,927
11/11/2021 02H,920
11/11/2021 01H,904
11/11/2021 00H,921
11/10/2021 23H,929
11/10/2021 22H,943
11/10/2021 21H,935
11/10/2021 20H,935
11/10/2021 19H,921
11/10/2021 18H,958
11/10/2021 17H,933
11/10/2021 16H,932
11/10/2021 15H,920
11/10/2021 14H,922
11/10/2021 13H,914
11/10/2021 12H,901
11/10/2021 11H,897
11/10/2021 10H,892
11/10/2021 09H,895
11/10/2021 08H,887
11/10/2021 07H,880
11/10/2021 06H,885
11/10/2021 05H,868
11/10/2021 04H,866
11/10/2021 03H,859
11/10/2021 02H,860
11/10/2021 01H,842
11/10/2021 00H,860
11/9/2021 23H,871
11/9/2021 22H,869
11/9/2021 21H,874
11/9/2021 20H,870
11/9/2021 19H,869
11/9/2021 18H,887
11/9/2021 17H,860
11/9/2021 16H,839
11/9/2021 15H,837
11/9/2021 14H,845
11/9/2021 13H,832
11/9/2021 12H,833
11/9/2021 11H,845
11/9/2021 10H,838
11/9/2021 09H,847
11/9/2021 08H,832
11/9/2021 07H,867
11/9/2021 06H,879
11/9/2021 05H,878
11/9/2021 04H,877
11/9/2021 03H,886
11/9/2021 02H,889
11/9/2021 01H,880
11/9/2021 00H,880
11/8/2021 23H,900
11/8/2021 22H,938
11/8/2021 21H,937
11/8/2021 20H,930
11/8/2021 19H,929
11/8/2021 18H,933
11/8/2021 17H,928
11/8/2021 16H,898
11/8/2021 15H,888
11/8/2021 14H,883
11/8/2021 13H,877
11/8/2021 12H,868
11/8/2021 11H,871
11/8/2021 10H,866
11/8/2021 09H,877
11/8/2021 08H,860
11/8/2021 07H,871
11/8/2021 06H,866
11/8/2021 05H,865
11/8/2021 04H,882
11/8/2021 03H,868
11/8/2021 02H,873
11/8/2021 01H,866
11/8/2021 00H,879
11/7/2021 23H,901
11/7/2021 22H,913
11/7/2021 21H,920
11/7/2021 20H,937
11/7/2021 19H,930
11/7/2021 18H,914
11/7/2021 17H,905
11/7/2021 16H,900
11/7/2021 15H,889
11/7/2021 14H,894
11/7/2021 13H,893
11/7/2021 12H,881
11/7/2021 11H,879
11/7/2021 10H,767
11/7/2021 09H,927
11/7/2021 08H,877
11/7/2021 07H,876
11/7/2021 06H,871
11/7/2021 05H,875
11/7/2021 04H,886
11/7/2021 03H,875
11/7/2021 02H,879
11/7/2021 01H,860
11/7/2021 00H,861
11/6/2021 23H,856
11/6/2021 22H,854
11/6/2021 21H,859
11/6/2021 20H,856
11/6/2021 19H,865
11/6/2021 18H,889
11/6/2021 17H,884
11/6/2021 16H,881
11/6/2021 15H,872
11/6/2021 14H,875
11/6/2021 13H,867
11/6/2021 12H,848
11/6/2021 11H,856
11/6/2021 10H,860
11/6/2021 09H,873
11/6/2021 08H,880
11/6/2021 07H,875
11/6/2021 06H,871
11/6/2021 05H,872
11/6/2021 04H,868
11/6/2021 03H,876
11/6/2021 02H,874
11/6/2021 01H,880
11/6/2021 00H,873
11/5/2021 23H,879
11/5/2021 22H,896
11/5/2021 21H,901
11/5/2021 20H,920
11/5/2021 19H,943
11/5/2021 18H,939
11/5/2021 17H,951
11/5/2021 16H,932
11/5/2021 15H,937
11/5/2021 14H,926
11/5/2021 13H,904
11/5/2021 12H,894
11/5/2021 11H,889
11/5/2021 10H,886
11/5/2021 09H,889
11/5/2021 08H,884
11/5/2021 07H,887
11/5/2021 06H,883
11/5/2021 05H,897
11/5/2021 04H,887
11/5/2021 03H,881
11/5/2021 02H,873
11/5/2021 01H,854
