Net generation from petroleum for Northwest (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390114&sdid=EBA.NW-ALL.NG.OIL.H
19:19:12 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NW-ALL.NG.OIL.H megawatthours
11/19/2021 07H,61
11/19/2021 06H,61
11/19/2021 05H,58
11/19/2021 04H,57
11/19/2021 03H,60
11/19/2021 02H,60
11/19/2021 01H,60
11/19/2021 00H,60
11/18/2021 23H,60
11/18/2021 22H,59
11/18/2021 21H,60
11/18/2021 20H,60
11/18/2021 19H,60
11/18/2021 18H,60
11/18/2021 17H,59
11/18/2021 16H,60
11/18/2021 15H,58
11/18/2021 14H,60
11/18/2021 13H,60
11/18/2021 12H,61
11/18/2021 11H,60
11/18/2021 10H,60
11/18/2021 09H,60
11/18/2021 08H,59
11/18/2021 07H,60
11/18/2021 06H,61
11/18/2021 05H,58
11/18/2021 04H,59
11/18/2021 03H,59
11/18/2021 02H,58
11/18/2021 01H,59
11/18/2021 00H,59
11/17/2021 23H,60
11/17/2021 22H,57
11/17/2021 21H,54
11/17/2021 20H,58
11/17/2021 19H,59
11/17/2021 18H,58
11/17/2021 17H,55
11/17/2021 16H,30
11/17/2021 15H,16
11/17/2021 14H,3
11/17/2021 13H,48
11/17/2021 12H,58
11/17/2021 11H,59
11/17/2021 10H,59
11/17/2021 09H,59
11/17/2021 08H,59
11/17/2021 07H,59
11/17/2021 06H,59
11/17/2021 05H,59
11/17/2021 04H,59
11/17/2021 03H,58
11/17/2021 02H,60
11/17/2021 01H,57
11/17/2021 00H,58
11/16/2021 23H,58
11/16/2021 22H,58
11/16/2021 21H,58
11/16/2021 20H,60
11/16/2021 19H,59
11/16/2021 18H,60
11/16/2021 17H,60
11/16/2021 16H,59
11/16/2021 15H,59
11/16/2021 14H,59
11/16/2021 13H,58
11/16/2021 12H,55
11/16/2021 11H,54
11/16/2021 10H,55
11/16/2021 09H,54
11/16/2021 08H,53
11/16/2021 07H,58
11/16/2021 06H,60
11/16/2021 05H,59
11/16/2021 04H,58
11/16/2021 03H,56
11/16/2021 02H,56
11/16/2021 01H,60
11/16/2021 00H,58
11/15/2021 23H,57
11/15/2021 22H,57
11/15/2021 21H,59
11/15/2021 20H,59
11/15/2021 19H,57
11/15/2021 18H,58
11/15/2021 17H,58
11/15/2021 16H,57
11/15/2021 15H,59
11/15/2021 14H,59
11/15/2021 13H,57
11/15/2021 12H,58
11/15/2021 11H,56
11/15/2021 10H,57
11/15/2021 09H,57
11/15/2021 08H,56
11/15/2021 07H,57
11/15/2021 06H,59
11/15/2021 05H,58
11/15/2021 04H,59
11/15/2021 03H,59
11/15/2021 02H,60
11/15/2021 01H,58
11/15/2021 00H,59
11/14/2021 23H,58
11/14/2021 22H,60
11/14/2021 21H,59
11/14/2021 20H,58
11/14/2021 19H,60
11/14/2021 18H,58
11/14/2021 17H,57
11/14/2021 16H,57
11/14/2021 15H,60
11/14/2021 14H,60
11/14/2021 13H,59
11/14/2021 12H,59
11/14/2021 11H,58
11/14/2021 10H,58
11/14/2021 09H,59
11/14/2021 08H,59
11/14/2021 07H,60
11/14/2021 06H,59
11/14/2021 05H,58
11/14/2021 04H,59
11/14/2021 03H,58
11/14/2021 02H,60
11/14/2021 01H,60
11/14/2021 00H,58
11/13/2021 23H,58
11/13/2021 22H,57
11/13/2021 21H,58
11/13/2021 20H,57
11/13/2021 19H,58
11/13/2021 18H,58
11/13/2021 17H,58
11/13/2021 16H,57
11/13/2021 15H,57
11/13/2021 14H,57
11/13/2021 13H,55
11/13/2021 12H,57
11/13/2021 11H,59
11/13/2021 10H,59
11/13/2021 09H,58
11/13/2021 08H,59
11/13/2021 07H,59
11/13/2021 06H,57
11/13/2021 05H,59
11/13/2021 04H,57
11/13/2021 03H,57
11/13/2021 02H,60
11/13/2021 01H,60
11/13/2021 00H,60
11/12/2021 23H,60
11/12/2021 22H,59
11/12/2021 21H,60
11/12/2021 20H,60
11/12/2021 19H,60
11/12/2021 18H,59
11/12/2021 17H,60
11/12/2021 16H,59
11/12/2021 15H,59
11/12/2021 14H,59
11/12/2021 13H,60
11/12/2021 12H,59
11/12/2021 11H,59
11/12/2021 10H,59
11/12/2021 09H,58
11/12/2021 08H,60
11/12/2021 07H,61
11/12/2021 06H,60
11/12/2021 05H,61
11/12/2021 04H,60
11/12/2021 03H,59
11/12/2021 02H,58
11/12/2021 01H,59
11/12/2021 00H,58
11/11/2021 23H,59
11/11/2021 22H,58
11/11/2021 21H,58
11/11/2021 20H,59
11/11/2021 19H,58
11/11/2021 18H,58
11/11/2021 17H,57
11/11/2021 16H,59
11/11/2021 15H,58
11/11/2021 14H,59
11/11/2021 13H,58
11/11/2021 12H,59
11/11/2021 11H,57
11/11/2021 10H,59
11/11/2021 09H,60
11/11/2021 08H,59
11/11/2021 07H,60
11/11/2021 06H,60
11/11/2021 05H,59
11/11/2021 04H,60
11/11/2021 03H,59
11/11/2021 02H,59
11/11/2021 01H,57
11/11/2021 00H,58
11/10/2021 23H,58
11/10/2021 22H,57
11/10/2021 21H,59
11/10/2021 20H,58
11/10/2021 19H,58
11/10/2021 18H,57
11/10/2021 17H,58
11/10/2021 16H,59
11/10/2021 15H,59
11/10/2021 14H,59
11/10/2021 13H,60
11/10/2021 12H,59
11/10/2021 11H,58
11/10/2021 10H,57
11/10/2021 09H,59
11/10/2021 08H,60
11/10/2021 07H,60
11/10/2021 06H,60
11/10/2021 05H,58
11/10/2021 04H,59
11/10/2021 03H,60
11/10/2021 02H,59
11/10/2021 01H,59
11/10/2021 00H,58
11/9/2021 23H,60
11/9/2021 22H,59
11/9/2021 21H,59
11/9/2021 20H,57
11/9/2021 19H,59
11/9/2021 18H,58
11/9/2021 17H,57
11/9/2021 16H,58
11/9/2021 15H,58
11/9/2021 14H,58
11/9/2021 13H,60
11/9/2021 12H,60
11/9/2021 11H,59
11/9/2021 10H,60
11/9/2021 09H,60
11/9/2021 08H,60
11/9/2021 07H,59
11/9/2021 06H,58
11/9/2021 05H,58
11/9/2021 04H,58
11/9/2021 03H,60
11/9/2021 02H,60
11/9/2021 01H,60
11/9/2021 00H,58
11/8/2021 23H,58
