Net generation from natural gas for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.NG.H
19:20:20 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.NG.H megawatthours
11/19/2021 06H,12850
11/19/2021 05H,13553
11/19/2021 04H,14301
11/19/2021 03H,15413
11/19/2021 02H,15422
11/19/2021 01H,15440
11/19/2021 00H,15718
11/18/2021 23H,15476
11/18/2021 22H,15160
11/18/2021 21H,14172
11/18/2021 20H,13944
11/18/2021 19H,14108
11/18/2021 18H,13891
11/18/2021 17H,13560
11/18/2021 16H,13526
11/18/2021 15H,14490
11/18/2021 14H,14883
11/18/2021 13H,14891
11/18/2021 12H,14000
11/18/2021 11H,11977
11/18/2021 10H,11181
11/18/2021 09H,11044
11/18/2021 08H,11315
11/18/2021 07H,11380
11/18/2021 06H,11183
11/18/2021 05H,12053
11/18/2021 04H,13202
11/18/2021 03H,14485
11/18/2021 02H,14808
11/18/2021 01H,15057
11/18/2021 00H,15566
11/17/2021 23H,15404
11/17/2021 22H,14257
11/17/2021 21H,13240
11/17/2021 20H,13127
11/17/2021 19H,12835
11/17/2021 18H,12594
11/17/2021 17H,12540
11/17/2021 16H,12881
11/17/2021 15H,12815
11/17/2021 14H,14326
11/17/2021 13H,15514
11/17/2021 12H,14041
11/17/2021 11H,12994
11/17/2021 10H,11987
11/17/2021 09H,11308
11/17/2021 08H,10974
11/17/2021 07H,11159
11/17/2021 06H,11521
11/17/2021 05H,12387
11/17/2021 04H,13811
11/17/2021 03H,14968
11/17/2021 02H,15410
11/17/2021 01H,15692
11/17/2021 00H,16363
11/16/2021 23H,15803
11/16/2021 22H,14983
11/16/2021 21H,13976
11/16/2021 20H,13989
11/16/2021 19H,14228
11/16/2021 18H,14010
11/16/2021 17H,14221
11/16/2021 16H,14320
11/16/2021 15H,14810
11/16/2021 14H,15974
11/16/2021 13H,16887
11/16/2021 12H,15546
11/16/2021 11H,14459
11/16/2021 10H,14368
11/16/2021 09H,14339
11/16/2021 08H,14213
11/16/2021 07H,14388
11/16/2021 06H,14392
11/16/2021 05H,14373
11/16/2021 04H,15241
11/16/2021 03H,15834
11/16/2021 02H,16134
11/16/2021 01H,16474
11/16/2021 00H,16628
11/15/2021 23H,15343
11/15/2021 22H,14205
11/15/2021 21H,13587
11/15/2021 20H,13631
11/15/2021 19H,14198
11/15/2021 18H,14366
11/15/2021 17H,14565
11/15/2021 16H,14430
11/15/2021 15H,14753
11/15/2021 14H,15696
11/15/2021 13H,16808
11/15/2021 12H,16086
11/15/2021 11H,14617
11/15/2021 10H,14101
